theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
3.108397,3.282779,9.991302,0.150743
4.884001,5.059747,10.069465,0.144168
0.365813,0.542006,10.095078,0.130088
2.127559,2.303930,10.105336,0.125601
3.887874,4.064205,10.103011,0.115896
5.649115,5.825519,10.107171,0.113757
1.115048,1.290966,10.079338,0.112111
2.869138,3.044878,10.069142,0.109937
4.625618,4.801360,10.069237,0.117307
0.085217,0.260378,10.035950,0.123298
1.827394,2.002105,10.010219,0.126202
3.583623,3.758646,10.028062,0.127547
5.324687,5.499310,10.005153,0.132061
0.794669,0.969500,10.017074,0.133353
2.553811,2.729062,10.041138,0.137268
4.298484,4.473417,10.022947,0.136500
6.041688,6.216302,10.004650,0.134431
1.502609,1.677077,9.996247,0.135992
3.237004,3.411006,9.969550,0.141717
4.978763,5.152710,9.966467,0.142671
0.434146,0.607967,9.959192,0.147575
2.174037,2.347877,9.960296,0.151877
3.910467,4.084117,9.949424,0.152570
5.666045,5.840392,9.989324,0.152013
1.121428,1.295567,9.977407,0.149090
2.872165,3.046700,10.000133,0.148307
4.641016,4.816577,10.058861,0.143143
0.125762,0.301942,10.094376,0.138555
1.883586,2.059754,10.093676,0.124782
3.653781,3.830422,10.120776,0.112523
5.402941,5.579027,10.088964,0.108989
0.873572,1.049420,10.075315,0.112907
2.637101,2.813179,10.088499,0.118144
4.387687,4.563379,10.066444,0.119880
6.132632,0.024612,10.036287,0.119197
1.591937,1.766704,10.013412,0.122699
3.342189,3.517041,10.018294,0.132725
5.084261,5.258754,9.997665,0.136728
0.551473,0.726131,10.007184,0.137942
2.307847,2.482919,10.030882,0.138642
4.052499,4.227293,10.014980,0.138980
5.807468,5.982500,10.028612,0.133673
1.265515,1.440159,10.006371,0.132915
2.999451,3.173489,9.971677,0.136231
4.748233,4.922507,9.985157,0.147176
0.198416,0.372263,9.960673,0.150855
1.937321,2.111104,9.957011,0.153360
3.687405,3.861640,9.982945,0.154589
5.433860,5.608291,9.994120,0.150454
0.891780,1.066028,9.983703,0.147737
2.648662,2.823531,10.019267,0.149516
4.411452,4.586999,10.058096,0.144060
6.180665,0.073697,10.096535,0.135602
1.654922,1.831046,10.091213,0.126040
3.423820,3.600381,10.116232,0.120561
5.172350,5.348324,10.082528,0.120390
0.646968,0.822901,10.080223,0.117525
2.398223,2.573882,10.064517,0.115067
4.153760,4.329412,10.064078,0.121304
5.906338,6.081835,10.055236,0.121854
1.382569,1.558320,10.069771,0.124015
3.125878,3.301093,10.039085,0.126111
4.880429,5.055729,10.043975,0.129993
0.352338,0.527739,10.049751,0.127839
2.116054,2.291903,10.075409,0.127152
3.859973,4.035187,10.039009,0.123944
5.610453,5.785569,10.033412,0.125415
1.057427,1.231611,9.980005,0.131618
2.796206,2.970113,9.964086,0.142929
4.538698,4.712626,9.965286,0.147843
6.274164,0.164634,9.949726,0.150411
1.728520,1.902085,9.944518,0.149592
3.480324,3.654499,9.979540,0.156586
5.221955,5.396099,9.977680,0.154572
0.685309,0.859612,9.986784,0.150386
2.434596,2.609164,10.001988,0.144510
4.199088,4.374484,10.049412,0.143349
5.964859,6.140812,10.081356,0.137359
1.450171,1.626637,10.110752,0.126983
3.211078,3.387538,10.110430,0.120183
4.966258,5.142383,10.091208,0.113825
0.444940,0.621165,10.096976,0.111926
2.202281,2.378396,10.090618,0.112104
3.953452,4.129206,10.069975,0.116398
5.702656,5.878061,10.049933,0.116452
1.163009,1.337997,10.026093,0.122154
2.910430,3.085247,10.016255,0.126852
4.660136,4.834969,10.017192,0.125434
0.124391,0.299158,10.013412,0.134798
1.876592,2.051469,10.019744,0.134182
3.632798,3.807903,10.032740,0.134918
5.377702,5.552536,10.017220,0.135087
0.835959,1.010435,9.996736,0.135357
2.575640,2.749835,9.980637,0.142344
4.318027,4.492194,9.979078,0.143861
6.046089,6.219565,9.939468,0.147017
1.506339,1.680067,9.953897,0.155161
3.245559,3.419291,9.954149,0.156386
4.997613,5.171859,9.983517,0.156120
0.460589,0.634953,9.990298,0.153500
2.211196,2.385900,10.009836,0.150117
3.973384,4.148764,10.048536,0.143390
5.747586,5.923917,10.103021,0.135931
1.225093,1.401505,10.107655,0.129363
2.985499,3.161880,10.105891,0.119857
4.747935,4.924376,10.109300,0.110888
0.215753,0.391758,10.084387,0.112613
1.963740,2.139278,10.057589,0.114064
3.718917,3.894447,10.057114,0.119304
5.472168,5.647625,10.052933,0.124033
0.936717,1.111834,10.033469,0.123897
2.696616,2.872051,10.051659,0.122478
4.441142,4.616186,10.029270,0.125730
6.189253,0.080981,10.021804,0.129219
1.658143,1.833117,10.025276,0.129508
3.421020,3.596523,10.055593,0.129259
5.158016,5.332762,10.012247,0.124514
0.628647,0.803582,10.023069,0.125209
2.362350,2.536623,9.985047,0.130520
4.097209,4.271070,9.961485,0.140546
5.829403,6.002830,9.936646,0.144415
1.285122,1.458626,9.941044,0.150854
3.020441,3.193822,9.934030,0.152392
4.773104,4.947175,9.973547,0.153449
0.233542,0.407728,9.980084,0.152302
1.975112,2.149300,9.980258,0.151777
3.735579,3.910537,10.024340,0.149208
5.511584,5.687785,10.095580,0.140345
0.977389,1.153176,10.071856,0.124370
2.742660,2.918875,10.096387,0.117806
4.493476,4.669346,10.076609,0.117070
6.244711,0.137178,10.064115,0.117767
1.710790,1.886150,10.047422,0.118374
3.472032,3.647752,10.068021,0.121341
5.214566,5.389696,10.034243,0.119636
0.675380,0.850168,10.014656,0.122921
2.425569,2.600414,10.017905,0.130310
4.169171,4.343766,10.003538,0.136235
5.914116,6.088599,9.997105,0.136781
1.398128,1.573530,10.049812,0.134667
3.148442,3.323758,10.044834,0.129341
4.894518,5.069551,10.028645,0.127137
0.352273,0.526906,10.005758,0.131214
2.089626,2.263839,9.981667,0.136146
3.821946,3.995643,9.952086,0.141376
5.564437,5.738233,9.957791,0.146260
1.013215,1.186684,9.939043,0.150823
2.760928,2.934842,9.964507,0.150587
4.501721,4.675671,9.966608,0.153045
6.250672,0.141799,9.987389,0.151471
1.706347,1.880445,9.975083,0.147286
3.470233,3.645329,10.032282,0.145615
5.229376,5.404926,10.058235,0.140412
0.710246,0.886231,10.083174,0.130920
2.472281,2.648541,10.098943,0.124065
4.228721,4.404852,10.091599,0.120962
5.979891,6.155657,10.070649,0.115674
1.458285,1.634288,10.084212,0.114627
3.204717,3.380253,10.057498,0.115403
4.961720,5.137327,10.061515,0.117067
0.419915,0.594953,10.028944,0.119540
2.169999,2.345022,10.028067,0.124443
3.914001,4.088712,10.010220,0.127918
5.665028,5.839854,10.016788,0.130825
1.129891,1.304682,10.014753,0.132469
2.883687,3.058634,10.023703,0.134827
4.637105,4.812205,10.032548,0.129207
0.091146,0.265691,10.000721,0.137193
1.826591,2.000625,9.971432,0.137055
3.568369,3.742373,9.969697,0.142159
5.301863,5.475533,9.950540,0.146891
0.748166,0.921420,9.926733,0.151693
2.492775,2.666431,9.949752,0.158179
4.244746,4.419023,9.985333,0.158248
5.989691,6.164016,9.988058,0.151508
1.456107,1.630690,10.002833,0.148048
3.210929,3.385942,10.027533,0.144843
4.977980,5.153756,10.071186,0.136531
0.461574,0.637815,10.097872,0.128107
2.220569,2.396856,10.100498,0.125785
3.977092,4.153211,10.090876,0.117526
5.734349,5.910388,10.086340,0.114971
1.203469,1.379288,10.073690,0.116651
2.954705,3.130276,10.059491,0.118761
4.715653,4.891468,10.073430,0.120173
0.177644,0.352964,10.045113,0.126300
1.920867,2.095744,10.019739,0.125599
3.675984,3.851060,10.031082,0.125641
5.428290,5.603423,10.034386,0.131208
0.900704,1.075975,10.042258,0.130945
2.661653,2.837234,10.060083,0.126479
4.405780,4.580906,10.033989,0.126884
6.141348,0.032574,9.993033,0.128644
1.598641,1.772799,9.978490,0.132342
3.337043,3.511011,9.967667,0.144093
5.071356,5.244966,9.947118,0.146687
0.527641,0.701270,9.948181,0.151254
2.267238,2.440929,9.951772,0.154603
4.010107,4.183944,9.960134,0.155912
5.761176,5.935470,9.986283,0.153247
1.221824,1.396147,9.987997,0.149909
2.971110,3.145700,10.003253,0.145885
4.742354,4.918063,10.067376,0.147339
0.224650,0.400833,10.094533,0.137331
1.984065,2.160303,10.097713,0.125496
3.750045,3.926522,10.111427,0.113331
5.503840,5.680004,10.093450,0.112626
0.966084,1.141644,10.058818,0.115838
2.729022,2.904906,10.077407,0.118197
4.482461,4.658165,10.067106,0.123007
6.239066,0.131615,10.068874,0.123806
1.699210,1.874367,10.035767,0.123645
3.458837,3.634319,10.054427,0.128061
5.201705,5.376680,10.025369,0.130816
0.677663,0.852985,10.045198,0.130516
2.438315,2.613962,10.063813,0.129164
4.183681,4.358865,10.037312,0.124075
5.929675,6.104548,10.019538,0.125545
1.388770,1.563339,10.002037,0.130406
3.116959,3.290726,9.956167,0.139620
4.863770,5.037761,9.968905,0.143912
0.316973,0.490705,9.954121,0.151272
2.057263,2.231035,9.956413,0.153772
3.798747,3.972567,9.959106,0.157550
5.553424,5.727880,9.995640,0.155908
1.011264,1.185555,9.986173,0.152680
2.762313,2.936938,10.005289,0.149796
4.527701,4.703179,10.054114,0.142670
0.015784,0.192048,10.099177,0.138028
1.773124,1.949295,10.093887,0.128006
3.546741,3.723531,10.129346,0.122705
5.297389,5.473635,10.098178,0.118578
