omega_ref,omega_pll,Iq_ref,Iq_meas
499.992371,499.219391,0.486406,0.420894
499.992371,501.236206,0.242586,0.294826
499.992371,503.321838,0.242586,0.348182
499.992371,503.346802,-0.100055,-0.087379
499.992371,503.178375,-0.100055,0.220379
499.992371,502.293701,-0.135672,-0.078271
499.992371,502.003021,-0.135672,-0.102755
499.992371,501.258209,-0.079363,-0.194614
499.992371,501.859467,-0.079363,0.061339
499.992371,500.320038,0.012838,-0.090604
499.992371,499.548584,0.012838,-0.089816
499.992371,499.692780,0.175115,0.049026
499.992371,499.215302,0.175115,0.115107
499.992371,498.979736,0.235865,0.188951
499.992371,500.425842,0.235865,0.302130
499.992371,500.243011,0.180531,-0.039283
499.992371,498.921906,0.180531,0.081023
499.992371,497.628998,0.292992,0.195190
499.992371,497.000305,0.292992,0.002008
499.992371,495.837372,0.495807,0.618504
499.992371,495.713379,0.495807,0.623369
499.992371,496.142303,0.711868,0.554507
499.992371,497.058289,0.711868,0.715508
499.992371,497.996613,0.509665,0.566495
499.992371,498.739685,0.509665,0.458251
499.992371,498.543793,0.384291,0.275417
499.992371,501.904236,0.384291,0.304198
499.992371,503.134888,0.074636,0.260422
499.992371,503.363678,0.074636,0.179002
499.992371,503.641724,-0.176349,-0.087850
499.992371,503.400269,-0.176349,-0.080266
499.992371,501.496704,-0.144970,-0.141346
499.992371,501.496094,-0.144970,-0.073880
499.992371,501.187469,0.075569,0.068111
499.992371,501.086517,0.075569,0.033645
499.992371,499.670410,0.113506,0.078552
499.992371,500.623383,0.113506,0.153711
499.992371,499.179535,0.159360,0.095970
499.992371,500.589447,0.159360,0.264070
499.992371,501.447693,0.159152,0.062136
499.992371,500.232025,0.159152,0.004029
499.992371,499.310913,0.131084,0.087436
499.992371,498.576508,0.131084,0.203490
499.992371,496.251404,0.399586,-0.010433
499.992371,496.597168,0.399586,0.495665
499.992371,496.200836,0.607062,0.525263
499.992371,496.166046,0.607062,0.564513
499.992371,496.506500,0.628912,0.583560
499.992371,498.009674,0.628912,0.577296
499.992371,497.533386,0.492512,0.585570
499.992371,498.861877,0.492512,0.649199
499.992371,500.813873,0.419707,0.832357
499.992371,503.096100,0.419707,0.408985
499.992371,502.968353,-0.078805,0.160059
499.992371,504.574707,-0.078805,0.076176
499.992371,502.757294,-0.216451,-0.201342
499.992371,501.940857,-0.216451,-0.212578
499.992371,501.667847,0.050040,-0.062281
499.992371,501.413605,0.050040,-0.053498
499.992371,500.992279,0.061686,0.085307
499.992371,501.768402,0.061686,0.139680
499.992371,500.451538,0.106101,-0.048321
499.992371,500.055267,0.106101,0.017696
499.992371,500.761292,0.247398,0.340418
499.992371,501.889648,0.247398,0.004048
499.992371,500.634338,-0.015357,0.085625
499.992371,500.758270,-0.015357,0.094346
499.992371,498.425079,0.125886,0.022679
499.992371,496.796265,0.125886,0.042066
499.992371,496.676361,0.554980,0.388269
499.992371,495.702972,0.554980,0.342240
499.992371,495.747559,0.668736,0.653602
499.992371,497.931915,0.668736,0.470788
499.992371,497.721741,0.550873,0.575318
499.992371,498.050323,0.550873,0.634975
499.992371,499.167175,0.499455,0.556216
499.992371,501.141724,0.499455,0.496601
499.992371,502.752502,0.102156,0.179659
499.992371,503.670349,0.102156,0.212066
499.992371,503.905609,-0.107626,-0.124991
499.992371,503.005554,-0.107626,-0.306682
499.992371,502.919830,-0.088527,0.040554
499.992371,502.519257,-0.088527,-0.180336
499.992371,501.982849,-0.077951,0.116262
499.992371,501.421509,-0.077951,-0.014011
499.992371,500.887268,0.092494,0.050973
499.992371,499.710602,0.092494,0.255755
499.992371,499.877167,0.208725,0.282170
499.992371,499.707886,0.208725,0.122952
499.992371,500.564972,0.210053,0.152681
499.992371,500.419708,0.210053,0.165994
499.992371,500.457062,0.173954,0.137232
499.992371,499.027802,0.173954,0.132849
499.992371,497.771729,0.329241,0.743481
499.992371,497.426697,0.329241,0.280858
499.992371,496.091095,0.483552,0.350002
499.992371,496.516144,0.483552,0.461038
