theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
2.169465,2.169465,0.000000,0.152142
3.909523,3.909523,0.000000,0.151899
5.668248,5.668248,0.000000,0.153360
1.123862,1.123862,0.000000,0.150082
2.869124,2.869124,0.000000,0.146554
4.639212,4.639212,0.000000,0.145798
0.122809,0.122809,0.000000,0.145768
1.879245,1.879245,0.000000,0.127224
3.650531,3.650531,0.000000,0.119260
5.401434,5.401434,0.000000,0.115929
0.865350,0.865350,0.000000,0.114257
2.626279,2.626279,0.000000,0.116856
4.381627,4.381627,0.000000,0.117568
6.131079,6.131079,0.000000,0.118271
1.596824,1.596824,0.000000,0.116704
3.347388,3.347388,0.000000,0.126823
5.091725,5.091725,0.000000,0.129652
0.568501,0.568501,0.000000,0.129038
2.327310,2.327310,0.000000,0.132111
4.069926,4.069926,0.000000,0.125339
5.820975,5.820975,0.000000,0.122479
1.272458,1.272458,0.000000,0.131529
3.003226,3.003226,0.000000,0.135813
4.746682,4.746682,0.000000,0.142928
0.194663,0.194663,0.000000,0.149299
1.928031,1.928031,0.000000,0.156383
3.679750,3.679750,0.000000,0.154264
5.428072,5.428072,0.000000,0.155267
0.883708,0.883708,0.000000,0.152363
2.638907,2.638907,0.000000,0.147675
4.398051,4.398051,0.000000,0.146985
6.164914,6.164914,0.000000,0.134200
1.641860,1.641860,0.000000,0.128181
3.409034,3.409034,0.000000,0.121404
5.157797,5.157797,0.000000,0.119198
0.628469,0.628469,0.000000,0.116259
2.387361,2.387361,0.000000,0.115377
4.143294,4.143294,0.000000,0.119800
5.891196,5.891196,0.000000,0.114839
1.359563,1.359563,0.000000,0.119793
3.098426,3.098426,0.000000,0.119367
4.853396,4.853396,0.000000,0.122389
0.312722,0.312722,0.000000,0.127659
2.071090,2.071090,0.000000,0.135380
3.815446,3.815446,0.000000,0.133581
5.569180,5.569180,0.000000,0.133884
1.018230,1.018230,0.000000,0.133415
2.755269,2.755269,0.000000,0.141265
4.494195,4.494195,0.000000,0.142022
6.226472,6.226472,0.000000,0.149908
1.680934,1.680934,0.000000,0.153254
3.428165,3.428165,0.000000,0.156239
5.174914,5.174914,0.000000,0.159112
0.637973,0.637973,0.000000,0.146154
2.383739,2.383739,0.000000,0.145930
4.145858,4.145858,0.000000,0.144535
5.913666,5.913666,0.000000,0.143404
1.396209,1.396209,0.000000,0.125757
3.154555,3.154555,0.000000,0.114664
4.910155,4.910155,0.000000,0.108919
0.378982,0.378982,0.000000,0.106975
2.131288,2.131288,0.000000,0.117515
3.880176,3.880176,0.000000,0.119756
5.634789,5.634789,0.000000,0.123023
1.094157,1.094157,0.000000,0.124911
2.845477,2.845477,0.000000,0.123301
4.594092,4.594092,0.000000,0.126663
0.056418,0.056418,0.000000,0.132292
1.807090,1.807090,0.000000,0.132179
3.569337,3.569337,0.000000,0.127965
5.308577,5.308577,0.000000,0.125942
0.770337,0.770337,0.000000,0.128083
2.503936,2.503936,0.000000,0.130195
4.241792,4.241792,0.000000,0.145015
5.969666,5.969666,0.000000,0.147332
1.426728,1.426728,0.000000,0.156454
3.160159,3.160159,0.000000,0.154648
4.915066,4.915066,0.000000,0.154312
0.376196,0.376196,0.000000,0.150955
2.122127,2.122127,0.000000,0.152713
3.876342,3.876342,0.000000,0.148174
5.654006,5.654006,0.000000,0.138277
1.125033,1.125033,0.000000,0.135569
2.888122,2.888122,0.000000,0.126139
4.645503,4.645503,0.000000,0.114376
0.113408,0.113408,0.000000,0.120667
1.861100,1.861100,0.000000,0.118294
3.622550,3.622550,0.000000,0.117791
5.369132,5.369132,0.000000,0.122055
0.834498,0.834498,0.000000,0.122943
2.594752,2.594752,0.000000,0.120979
4.341838,4.341838,0.000000,0.132261
6.088606,6.088606,0.000000,0.129869
1.565026,1.565026,0.000000,0.131233
3.326392,3.326392,0.000000,0.131870
5.066200,5.066200,0.000000,0.128535
0.531754,0.531754,0.000000,0.125963
2.265018,2.265018,0.000000,0.136019
4.001260,4.001260,0.000000,0.142212
5.743730,5.743730,0.000000,0.145602
1.194773,1.194773,0.000000,0.146703
2.934160,2.934160,0.000000,0.150254
4.689549,4.689549,0.000000,0.153370
0.153889,0.153889,0.000000,0.152402
1.894641,1.894641,0.000000,0.149780
3.657538,3.657538,0.000000,0.145248
5.426619,5.426619,0.000000,0.144814
0.900149,0.900149,0.000000,0.125622
2.669673,2.669673,0.000000,0.116484
4.422923,4.422923,0.000000,0.115651
6.173697,6.173697,0.000000,0.115327
1.644792,1.644792,0.000000,0.115799
3.400725,3.400725,0.000000,0.116967
5.146342,5.146342,0.000000,0.119630
0.613763,0.613763,0.000000,0.120310
2.365064,2.365064,0.000000,0.131337
4.111938,4.111938,0.000000,0.135236
5.863532,5.863532,0.000000,0.135336
1.344125,1.344125,0.000000,0.135462
3.096471,3.096471,0.000000,0.130613
4.844668,4.844668,0.000000,0.128312
0.301813,0.301813,0.000000,0.134060
2.043151,2.043151,0.000000,0.135346
3.779016,3.779016,0.000000,0.147767
5.530231,5.530231,0.000000,0.145092
0.978715,0.978715,0.000000,0.148495
2.725737,2.725737,0.000000,0.149560
4.469067,4.469067,0.000000,0.152923
6.218794,6.218794,0.000000,0.154666
1.674537,1.674537,0.000000,0.147318
3.444018,3.444018,0.000000,0.150494
5.206450,5.206450,0.000000,0.139058
0.691581,0.691581,0.000000,0.135466
2.457431,2.457431,0.000000,0.117929
4.218341,4.218341,0.000000,0.120567
5.969784,5.969784,0.000000,0.111169
1.451236,1.451236,0.000000,0.108174
3.198365,3.198365,0.000000,0.116408
4.956290,4.956290,0.000000,0.118518
0.419915,0.419915,0.000000,0.121348
2.171992,2.171992,0.000000,0.125815
3.918048,3.918048,0.000000,0.125981
5.667901,5.667901,0.000000,0.126515
1.136226,1.136226,0.000000,0.133564
2.893209,2.893209,0.000000,0.132465
4.648912,4.648912,0.000000,0.126453
0.110230,0.110230,0.000000,0.127902
1.846304,1.846304,0.000000,0.125309
3.586426,3.586426,0.000000,0.128226
