ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.005168,0.123836,0.123944,9.033983
-0.004626,0.123443,0.123530,9.026378
-0.005439,0.130922,0.131035,9.036032
-0.004988,0.132151,0.132245,9.021142
-0.005472,0.131255,0.131369,9.018035
-0.008213,0.133913,0.134164,9.050872
-0.007389,0.128369,0.128582,9.044447
-0.006758,0.121397,0.121585,9.024892
-0.001826,0.127464,0.127477,9.007852
-0.001832,0.131362,0.131375,8.986056
-0.004052,0.141324,0.141382,8.952116
-0.010802,0.147594,0.147989,8.957080
-0.017267,0.153394,0.154363,8.934632
-0.015071,0.155412,0.156142,8.957251
-0.013645,0.153154,0.153761,8.979236
-0.010784,0.152003,0.152385,8.985723
-0.013320,0.149863,0.150454,8.980568
-0.018156,0.151716,0.152799,9.041675
-0.017985,0.139267,0.140423,9.073168
-0.014801,0.132925,0.133746,9.087423
-0.009590,0.122268,0.122644,9.103632
-0.004380,0.122573,0.122651,9.096107
-0.008643,0.117694,0.118011,9.066677
-0.006484,0.116362,0.116543,9.084081
-0.005819,0.120675,0.120816,9.071412
-0.004841,0.119593,0.119691,9.063932
-0.003713,0.120145,0.120202,9.047296
-0.002092,0.123817,0.123834,9.043378
-0.005962,0.126808,0.126948,9.014382
-0.007803,0.130040,0.130273,9.037398
-0.007369,0.127676,0.127889,9.052261
-0.006579,0.126174,0.126345,9.037123
-0.002200,0.123242,0.123261,9.048966
-0.000678,0.129008,0.129010,9.004328
-0.004229,0.137624,0.137689,8.980535
-0.008431,0.142958,0.143206,8.968255
-0.008491,0.146736,0.146982,8.968969
-0.014312,0.147620,0.148312,8.939763
-0.008885,0.151487,0.151747,8.963512
-0.009296,0.156006,0.156283,8.975400
-0.013728,0.152225,0.152843,8.975554
-0.017968,0.149424,0.150501,8.987016
-0.018325,0.148479,0.149605,9.015656
-0.018553,0.146178,0.147351,9.055205
-0.012615,0.129705,0.130317,9.085595
-0.010884,0.125737,0.126207,9.094990
-0.008482,0.120379,0.120677,9.099127
-0.008342,0.113437,0.113744,9.080792
-0.005184,0.114136,0.114254,9.094614
-0.005723,0.112427,0.112573,9.074155
-0.002899,0.112402,0.112439,9.084712
0.000181,0.112875,0.112875,9.031320
-0.001025,0.122176,0.122180,9.017715
-0.005487,0.127128,0.127246,9.010393
-0.005973,0.131190,0.131326,9.019998
-0.009271,0.131861,0.132186,9.026003
-0.004692,0.128200,0.128286,9.045541
0.000351,0.129563,0.129564,9.038301
-0.003496,0.133559,0.133605,8.997640
-0.003967,0.133653,0.133712,8.971867
-0.007622,0.145478,0.145678,8.979194
-0.010117,0.149069,0.149412,8.954806
-0.011243,0.152847,0.153260,8.956100
-0.008469,0.155453,0.155684,8.961081
-0.012177,0.159422,0.159886,8.976465
-0.015211,0.152895,0.153649,8.991455
-0.017939,0.148182,0.149263,8.999419
-0.019019,0.145371,0.146610,9.012979
-0.015015,0.136991,0.137812,9.069939
-0.010286,0.133515,0.133910,9.089662
-0.007799,0.124453,0.124697,9.095005
-0.005268,0.116121,0.116241,9.090454
-0.003940,0.113181,0.113249,9.089717
-0.006461,0.111655,0.111842,9.068006
-0.004896,0.115485,0.115589,9.059449
-0.002322,0.117752,0.117775,9.064008
-0.002270,0.121625,0.121646,9.039023
-0.005203,0.121191,0.121302,9.008457
-0.004452,0.126603,0.126682,9.034648
-0.007045,0.129116,0.129308,9.015468
-0.006072,0.130916,0.131057,9.026664
-0.004886,0.128251,0.128344,9.045146
-0.001683,0.125892,0.125904,9.023955
-0.004093,0.124097,0.124164,9.004990
-0.005074,0.129737,0.129836,8.991525
-0.007914,0.135001,0.135233,8.960325
-0.009253,0.145740,0.146033,8.944909
-0.011268,0.150954,0.151374,8.940822
-0.008323,0.155680,0.155903,8.951152
-0.014872,0.156777,0.157481,8.960614
-0.016136,0.150045,0.150910,8.994514
-0.020216,0.146529,0.147917,8.982282
-0.017731,0.146474,0.147544,8.996643
-0.015049,0.146400,0.147171,9.050476
-0.009672,0.134396,0.134744,9.070516
-0.011204,0.124501,0.125004,9.072409
-0.006851,0.113898,0.114104,9.109046
-0.000815,0.111615,0.111618,9.078532
-0.005954,0.114724,0.114878,9.057623
-0.001141,0.113315,0.113321,9.062963
-0.000877,0.117699,0.117702,9.054749
-0.004196,0.115001,0.115077,9.028965
-0.005526,0.125925,0.126046,9.019218
-0.006626,0.133001,0.133166,9.014706
-0.004992,0.137679,0.137770,8.999966
-0.004697,0.134676,0.134758,9.022548
-0.001269,0.132535,0.132541,9.038759
-0.003211,0.127725,0.127765,9.011436
-0.002449,0.130993,0.131016,9.011045
-0.005561,0.133406,0.133522,8.982194
-0.007525,0.138575,0.138779,8.953317
-0.006287,0.144817,0.144954,8.968779
-0.006420,0.150823,0.150960,8.956710
-0.011207,0.150532,0.150949,8.953721
-0.015365,0.150392,0.151175,8.980084
-0.016428,0.151335,0.152224,8.983210
-0.018896,0.147521,0.148726,8.978225
-0.014543,0.151679,0.152375,9.003505
-0.011444,0.141297,0.141760,9.037733
-0.012719,0.136901,0.137490,9.068552
-0.012298,0.125853,0.126453,9.078200
-0.007397,0.119793,0.120021,9.094528
-0.009465,0.116056,0.116441,9.070258
-0.005846,0.113974,0.114124,9.070479
-0.002434,0.116064,0.116089,9.067161
-0.004205,0.115838,0.115914,9.066462
-0.002874,0.116182,0.116217,9.039637
-0.003554,0.119592,0.119645,9.035138
-0.006391,0.124181,0.124345,9.006724
-0.004433,0.127416,0.127493,9.016277
-0.002774,0.135758,0.135787,8.998581
-0.004446,0.136295,0.136368,9.023049
-0.006725,0.135810,0.135977,9.014627
-0.007056,0.134800,0.134985,9.024046
-0.009890,0.135071,0.135433,8.995992
-0.005705,0.135712,0.135832,8.979137
-0.003322,0.142837,0.142876,8.974630
-0.008991,0.144475,0.144755,8.952861
-0.010763,0.150847,0.151231,8.958004
-0.018199,0.151810,0.152897,8.978908
-0.020487,0.148837,0.150240,8.978281
-0.015913,0.146260,0.147123,8.992016
-0.011867,0.145743,0.146225,8.998425
-0.012792,0.145811,0.146371,9.033570
-0.012131,0.133744,0.134293,9.074766
-0.010944,0.128037,0.128504,9.095515
-0.010410,0.118545,0.119001,9.082263
-0.003017,0.115779,0.115818,9.082078
-0.005654,0.113911,0.114051,9.067842
-0.004655,0.116788,0.116881,9.058873
-0.004672,0.118892,0.118983,9.052227
-0.005240,0.120209,0.120323,9.047997
-0.009145,0.125461,0.125794,9.023248
-0.005816,0.126793,0.126926,9.023638
-0.003733,0.130510,0.130564,9.020914
-0.003502,0.133108,0.133154,9.024997
-0.002329,0.130609,0.130629,9.028088
-0.005537,0.131498,0.131614,9.047839
-0.006226,0.131512,0.131660,9.011637
-0.004306,0.130325,0.130396,9.009327
-0.003315,0.138324,0.138364,8.982844
-0.003620,0.143995,0.144041,8.980393
-0.007397,0.146282,0.146469,8.952049
-0.013222,0.152106,0.152680,8.969226
-0.020400,0.150859,0.152233,8.963225
-0.019366,0.149827,0.151073,8.985355
-0.013489,0.146963,0.147581,8.996349
-0.013341,0.146337,0.146944,9.008306
-0.013300,0.140035,0.140665,9.028462
-0.018223,0.141331,0.142501,9.093893
-0.013534,0.127002,0.127721,9.079768
-0.010412,0.119155,0.119609,9.093780
-0.002844,0.118069,0.118104,9.083796
-0.003783,0.115407,0.115469,9.067613
-0.004153,0.117787,0.117860,9.055256
