omega_ref,omega_pll,Iq_ref,Iq_meas
699.984741,696.604858,0.317624,-0.004741
699.984741,695.995544,0.317624,0.153672
699.984741,694.909058,0.617891,0.661594
699.984741,694.936951,0.617891,0.818089
699.984741,696.268127,0.691009,0.646130
699.984741,697.363892,0.691009,0.686299
699.984741,701.104614,0.559955,0.408105
699.984741,701.730591,0.559955,0.715070
699.984741,702.007507,0.044896,-0.021893
699.984741,701.692200,0.044896,0.187274
699.984741,702.987427,-0.054656,-0.163888
699.984741,702.032593,-0.054656,0.015069
699.984741,700.979004,-0.047190,-0.117191
699.984741,701.330322,-0.047190,-0.030536
699.984741,701.954529,-0.013219,0.046108
699.984741,702.929138,-0.013219,0.090868
699.984741,702.089844,-0.265911,-0.359836
699.984741,698.328308,-0.265911,-0.248614
699.984741,696.828613,0.294458,0.071815
699.984741,695.487366,0.294458,0.186735
699.984741,694.319458,0.682484,0.738932
699.984741,694.964355,0.682484,0.784967
699.984741,695.555420,0.644348,0.551613
699.984741,696.813538,0.644348,0.639653
699.984741,702.074585,0.502858,0.333645
699.984741,701.460510,0.502858,0.630769
699.984741,701.143311,0.092540,0.339002
699.984741,701.152649,0.092540,0.182867
699.984741,702.256165,-0.040530,-0.113205
699.984741,701.334839,-0.040530,0.031540
699.984741,701.221191,0.030634,-0.156030
699.984741,701.477722,0.030634,0.041693
699.984741,701.970337,0.033340,0.108281
699.984741,703.441711,0.033340,0.181346
699.984741,701.966125,-0.260424,-0.320832
699.984741,698.006470,-0.260424,-0.248088
699.984741,697.030396,0.296194,-0.217133
699.984741,695.884216,0.296194,0.375091
699.984741,693.993225,0.680381,0.765937
699.984741,694.750916,0.680381,0.692302
699.984741,695.014404,0.676736,0.607273
699.984741,696.972412,0.676736,0.653304
699.984741,701.555054,0.454623,0.325145
699.984741,701.507141,0.454623,0.651147
699.984741,700.725281,0.087542,0.130842
699.984741,702.118896,0.087542,0.181800
699.984741,703.113281,-0.133462,-0.252452
699.984741,701.483215,-0.133462,-0.097547
699.984741,700.639343,0.027755,-0.152584
699.984741,701.115906,0.027755,-0.032576
699.984741,701.021301,0.119484,0.265685
699.984741,703.495728,0.119484,0.181388
699.984741,701.194397,-0.191628,-0.216925
699.984741,697.903809,-0.191628,-0.229521
699.984741,696.499329,0.382114,0.026531
699.984741,695.486694,0.382114,0.545100
