ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.013949,0.160725,0.161329,13.998090
-0.022665,0.169345,0.170855,13.949084
-0.020906,0.181682,0.182881,13.944408
-0.027716,0.180982,0.183092,13.947083
-0.040192,0.186216,0.190504,13.949155
-0.038327,0.190843,0.194654,13.964991
-0.032119,0.183418,0.186209,14.078682
-0.030826,0.182362,0.184949,14.073167
-0.021187,0.160664,0.162055,14.102197
-0.023251,0.155658,0.157385,14.110531
-0.024791,0.156654,0.158603,14.089236
-0.017209,0.153762,0.154722,14.086526
-0.016751,0.153836,0.154745,14.074839
-0.021049,0.154052,0.155483,14.062459
-0.013384,0.155216,0.155792,14.077155
-0.015803,0.153900,0.154709,14.102887
-0.017865,0.151036,0.152089,14.066586
-0.012944,0.150219,0.150776,14.022310
-0.016197,0.162984,0.163787,13.974223
-0.022882,0.172514,0.174025,13.948686
-0.017784,0.177629,0.178517,13.937807
-0.030376,0.183889,0.186381,13.958243
-0.039856,0.186130,0.190349,13.938677
-0.036087,0.190760,0.194143,13.977642
-0.031828,0.184598,0.187322,14.078467
-0.030204,0.184649,0.187104,14.078478
-0.021570,0.162106,0.163534,14.091132
-0.025304,0.158290,0.160300,14.106411
-0.026390,0.154221,0.156463,14.088917
-0.014984,0.153357,0.154088,14.097451
-0.016366,0.153009,0.153882,14.059772
-0.019850,0.155426,0.156689,14.075600
-0.016039,0.152640,0.153480,14.071819
-0.015885,0.154559,0.155373,14.088642
-0.021284,0.149989,0.151491,14.067970
-0.010987,0.150522,0.150922,14.036336
-0.017123,0.164565,0.165453,13.969254
-0.021321,0.171103,0.172426,13.959405
-0.022203,0.177803,0.179184,13.938268
-0.033263,0.182061,0.185075,13.948449
-0.037900,0.185998,0.189820,13.945044
-0.030701,0.187061,0.189564,13.994167
-0.028648,0.182555,0.184789,14.060872
-0.025824,0.182934,0.184748,14.076708
-0.023138,0.161478,0.163127,14.087491
-0.025828,0.158300,0.160393,14.082149
-0.023215,0.153231,0.154980,14.084962
-0.014372,0.151730,0.152409,14.088768
-0.017820,0.154062,0.155090,14.038040
-0.018514,0.157096,0.158184,14.058011
-0.016081,0.152906,0.153750,14.073637
-0.017117,0.154655,0.155599,14.077874
-0.015460,0.150007,0.150801,14.062991
-0.009478,0.149804,0.150103,14.013882
-0.018004,0.170674,0.171621,13.959252
-0.018409,0.175216,0.176180,13.948443
-0.024312,0.183536,0.185139,13.929809
-0.037727,0.185178,0.188982,13.936890
-0.037369,0.184090,0.187845,13.932858
-0.032738,0.181517,0.184445,13.995384
-0.030082,0.181677,0.184151,14.054106
-0.023917,0.182129,0.183692,14.078908
-0.022666,0.164341,0.165897,14.086728
-0.024781,0.157807,0.159741,14.071522
-0.022530,0.153819,0.155460,14.077449
-0.016080,0.151813,0.152662,14.085779
-0.018754,0.155289,0.156417,14.043705
-0.018871,0.154889,0.156035,14.050948
-0.019547,0.155163,0.156390,14.067191
-0.020954,0.157086,0.158478,14.074443
-0.016065,0.150503,0.151357,14.061003
-0.005522,0.147417,0.147520,14.012876
-0.018891,0.167237,0.168300,13.964228
-0.017875,0.173660,0.174578,13.956460
-0.025126,0.181398,0.183130,13.935566
-0.035441,0.185358,0.188716,13.931718
-0.033920,0.183047,0.186163,13.943557
-0.031409,0.180307,0.183022,13.985817
-0.029785,0.181729,0.184153,14.055308
-0.026517,0.183406,0.185313,14.070068
-0.030445,0.162534,0.165361,14.082142
-0.026377,0.156631,0.158836,14.066661
-0.020292,0.154557,0.155883,14.087458
-0.015604,0.151719,0.152519,14.068851
-0.019443,0.158978,0.160163,14.048829
-0.018916,0.157388,0.158521,14.055174
-0.021283,0.157901,0.159329,14.074254
-0.018180,0.157057,0.158105,14.092595
-0.012693,0.150748,0.151281,14.070452
-0.009456,0.149196,0.149495,13.996889
-0.018318,0.164742,0.165757,13.964311
-0.018104,0.170410,0.171369,13.950486
-0.027729,0.183016,0.185104,13.936740
-0.036947,0.186908,0.190525,13.932848
-0.032519,0.184894,0.187732,13.941944
-0.030915,0.186509,0.189054,13.993387
-0.027595,0.179529,0.181637,14.062174
-0.025618,0.173451,0.175333,14.061345
-0.029295,0.164372,0.166962,14.076955
-0.024590,0.159141,0.161030,14.077371
-0.019538,0.153662,0.154900,14.087867
-0.014849,0.150875,0.151604,14.058488
-0.017348,0.159190,0.160132,14.058190
-0.018087,0.161496,0.162506,14.064584
-0.023332,0.160285,0.161975,14.054768
-0.021408,0.156770,0.158225,14.093165
-0.009949,0.154160,0.154481,14.078362
-0.011918,0.150321,0.150793,14.013144
-0.016201,0.169304,0.170077,13.994490
-0.020267,0.168691,0.169904,13.972861
-0.028629,0.180718,0.182971,13.957672
-0.033218,0.185731,0.188678,13.952056
-0.031550,0.184883,0.187556,13.967236
-0.031347,0.184299,0.186946,13.983826
-0.026030,0.180275,0.182145,14.067755
-0.027210,0.174997,0.177100,14.084663
-0.027610,0.162567,0.164895,14.086436
-0.021850,0.157134,0.158646,14.094831
-0.018012,0.153585,0.154637,14.105778
-0.017340,0.152314,0.153298,14.083851
-0.015170,0.158569,0.159293,14.076264
-0.018389,0.158247,0.159312,14.082087
-0.022552,0.159065,0.160655,14.073703
-0.017521,0.156895,0.157870,14.121621
-0.014428,0.153730,0.154405,14.082087
-0.013874,0.153051,0.153679,14.021852
-0.013901,0.168266,0.168839,13.993196
-0.022978,0.168238,0.169800,13.974020
-0.032493,0.182288,0.185161,13.951299
-0.031357,0.185665,0.188294,13.978746
