theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
1.942977,1.942977,0.000000,0.087031
2.998668,2.998668,0.000000,0.083878
4.052653,4.052653,0.000000,0.083652
5.100688,5.100688,0.000000,0.085217
6.144671,6.144671,0.000000,0.090110
0.903560,0.903560,0.000000,0.095313
1.954698,1.954698,0.000000,0.100699
2.997363,2.997363,0.000000,0.101338
4.042060,4.042060,0.000000,0.105049
5.087784,5.087784,0.000000,0.105951
6.137536,6.137536,0.000000,0.107321
0.899867,0.899867,0.000000,0.107772
1.951800,1.951800,0.000000,0.108357
2.997231,2.997231,0.000000,0.107975
4.046334,4.046334,0.000000,0.108311
5.091828,5.091828,0.000000,0.105610
6.147559,6.147559,0.000000,0.104470
0.912320,0.912320,0.000000,0.101558
1.971238,1.971238,0.000000,0.100047
3.023255,3.023255,0.000000,0.100457
4.073678,4.073678,0.000000,0.097296
5.122382,5.122382,0.000000,0.096173
6.179013,6.179013,0.000000,0.093830
0.942412,0.942412,0.000000,0.092242
1.990949,1.990949,0.000000,0.094380
3.031137,3.031137,0.000000,0.100220
4.077995,4.077995,0.000000,0.105634
5.119610,5.119610,0.000000,0.104326
6.165063,6.165063,0.000000,0.108880
0.921626,0.921626,0.000000,0.109230
1.973245,1.973245,0.000000,0.109049
3.022850,3.022850,0.000000,0.103503
4.076922,4.076922,0.000000,0.109109
5.124557,5.124557,0.000000,0.105839
6.177077,6.177077,0.000000,0.105885
0.937686,0.937686,0.000000,0.101163
1.988616,1.988616,0.000000,0.100503
3.038032,3.038032,0.000000,0.103869
4.094623,4.094623,0.000000,0.102481
5.152846,5.152846,0.000000,0.099141
6.209687,6.209687,0.000000,0.097087
0.975478,0.975478,0.000000,0.093436
2.034503,2.034503,0.000000,0.093359
3.086623,3.086623,0.000000,0.089982
4.140864,4.140864,0.000000,0.085802
5.184973,5.184973,0.000000,0.090808
6.232441,6.232441,0.000000,0.093634
0.990029,0.990029,0.000000,0.098532
2.040368,2.040368,0.000000,0.102500
3.080539,3.080539,0.000000,0.105042
4.127481,4.127481,0.000000,0.107091
5.173352,5.173352,0.000000,0.105739
6.227948,6.227948,0.000000,0.106420
0.989293,0.989293,0.000000,0.103710
2.042968,2.042968,0.000000,0.105102
3.084813,3.084813,0.000000,0.102642
4.137061,4.137061,0.000000,0.103579
5.182450,5.182450,0.000000,0.099766
6.236563,6.236563,0.000000,0.103387
1.000762,1.000762,0.000000,0.099163
2.060014,2.060014,0.000000,0.100504
3.109893,3.109893,0.000000,0.099236
4.158092,4.158092,0.000000,0.097783
5.203041,5.203041,0.000000,0.096318
6.257910,6.257910,0.000000,0.096498
1.017430,1.017430,0.000000,0.095277
2.065715,2.065715,0.000000,0.096517
3.105778,3.105778,0.000000,0.103409
4.152824,4.152824,0.000000,0.107574
5.192300,5.192300,0.000000,0.110930
6.238571,6.238571,0.000000,0.112859
0.997315,0.997315,0.000000,0.110758
2.049542,2.049542,0.000000,0.109866
3.101748,3.101748,0.000000,0.105512
4.155485,4.155485,0.000000,0.104773
5.201672,5.201672,0.000000,0.103195
6.255409,6.255409,0.000000,0.102912
1.015811,1.015811,0.000000,0.099646
2.068015,2.068015,0.000000,0.100753
3.117621,3.117621,0.000000,0.098265
4.173812,4.173812,0.000000,0.096767
5.227446,5.227446,0.000000,0.095156
0.007060,0.007060,0.000000,0.095556
1.052489,1.052489,0.000000,0.093298
2.107127,2.107127,0.000000,0.091955
3.158267,3.158267,0.000000,0.090527
4.207221,4.207221,0.000000,0.093140
5.251162,5.251162,0.000000,0.091896
0.015382,0.015382,0.000000,0.095595
1.058566,1.058566,0.000000,0.100895
2.109094,2.109094,0.000000,0.107214
3.149432,3.149432,0.000000,0.104787
4.195807,4.195807,0.000000,0.106518
5.240925,5.240925,0.000000,0.106550
0.007365,0.007365,0.000000,0.106523
1.050994,1.050994,0.000000,0.106709
2.103263,2.103263,0.000000,0.107892
3.146974,3.146974,0.000000,0.103917
4.192637,4.192637,0.000000,0.108259
5.237250,5.237250,0.000000,0.103904
0.011264,0.011264,0.000000,0.106171
1.063699,1.063699,0.000000,0.099695
2.121715,2.121715,0.000000,0.099550
3.171363,3.171363,0.000000,0.094832
4.221345,4.221345,0.000000,0.097793
5.270174,5.270174,0.000000,0.095198
0.039216,0.039216,0.000000,0.096127
1.082340,1.082340,0.000000,0.094855
2.128213,2.128213,0.000000,0.097362
3.169324,3.169324,0.000000,0.100719
4.216728,4.216728,0.000000,0.106327
5.261216,5.261216,0.000000,0.109244
0.023085,0.023085,0.000000,0.112146
1.062455,1.062455,0.000000,0.109568
2.113739,2.113739,0.000000,0.110988
3.162862,3.162862,0.000000,0.105987
4.219556,4.219556,0.000000,0.103750
5.267651,5.267651,0.000000,0.102188
0.039755,0.039755,0.000000,0.102438
1.083739,1.083739,0.000000,0.099011
2.135734,2.135734,0.000000,0.100517
3.186934,3.186934,0.000000,0.096056
4.243190,4.243190,0.000000,0.095166
5.299193,5.299193,0.000000,0.092600
0.073184,0.073184,0.000000,0.095613
1.121951,1.121951,0.000000,0.092758
2.178412,2.178412,0.000000,0.098655
3.227454,3.227454,0.000000,0.095153
4.277919,4.277919,0.000000,0.091366
5.324671,5.324671,0.000000,0.093063
0.087943,0.087943,0.000000,0.096370
1.130881,1.130881,0.000000,0.099800
2.178094,2.178094,0.000000,0.104101
3.218682,3.218682,0.000000,0.102150
4.266274,4.266274,0.000000,0.108883
5.312651,5.312651,0.000000,0.106849
0.080287,0.080287,0.000000,0.106202
1.128087,1.128087,0.000000,0.103426
2.181071,2.181071,0.000000,0.104508
3.227445,3.227445,0.000000,0.099487
4.274449,4.274449,0.000000,0.102961
5.320616,5.320616,0.000000,0.101994
0.088923,0.088923,0.000000,0.102308
1.139180,1.139180,0.000000,0.099949
2.197740,2.197740,0.000000,0.102115
3.251645,3.251645,0.000000,0.098668
4.300473,4.300473,0.000000,0.096858
5.353665,5.353665,0.000000,0.094947
0.119749,0.119749,0.000000,0.097579
1.164783,1.164783,0.000000,0.095533
2.209040,2.209040,0.000000,0.095996
3.253801,3.253801,0.000000,0.101769
4.300722,4.300722,0.000000,0.106105
5.347832,5.347832,0.000000,0.105892
0.108421,0.108421,0.000000,0.108056
1.150938,1.150938,0.000000,0.107411
2.200795,2.200795,0.000000,0.109111
3.250946,3.250946,0.000000,0.108729
4.300111,4.300111,0.000000,0.106298
5.348940,5.348940,0.000000,0.104328
0.115905,0.115905,0.000000,0.106863
1.160708,1.160708,0.000000,0.103622
2.210544,2.210544,0.000000,0.105497
3.265624,3.265624,0.000000,0.101827
4.321334,4.321334,0.000000,0.103123
5.384821,5.384821,0.000000,0.095518
0.154578,0.154578,0.000000,0.093043
1.209994,1.209994,0.000000,0.091373
2.266120,2.266120,0.000000,0.090019
3.318748,3.318748,0.000000,0.088709
4.367114,4.367114,0.000000,0.087610
5.415038,5.415038,0.000000,0.092288
0.176637,0.176637,0.000000,0.096337
1.224311,1.224311,0.000000,0.099954
2.268380,2.268380,0.000000,0.099933
3.312219,3.312219,0.000000,0.104957
4.356540,4.356540,0.000000,0.109383
5.403775,5.403775,0.000000,0.108694
0.173257,0.173257,0.000000,0.109899
1.224708,1.224708,0.000000,0.106382
2.272342,2.272342,0.000000,0.106725
3.322848,3.322848,0.000000,0.103237
4.372706,4.372706,0.000000,0.106375
5.422858,5.422858,0.000000,0.103162
0.192569,0.192569,0.000000,0.104323
1.247668,1.247668,0.000000,0.099604
2.302938,2.302938,0.000000,0.097959
3.356547,3.356547,0.000000,0.096177
4.407182,4.407182,0.000000,0.096693
5.458590,5.458590,0.000000,0.097552
0.224150,0.224150,0.000000,0.098744
1.272036,1.272036,0.000000,0.096857
2.315140,2.315140,0.000000,0.096703
3.361830,3.361830,0.000000,0.103275
4.405332,4.405332,0.000000,0.105839
5.455315,5.455315,0.000000,0.107990
0.212948,0.212948,0.000000,0.110705
1.260959,1.260959,0.000000,0.111874
2.313920,2.313920,0.000000,0.110964
3.366462,3.366462,0.000000,0.108791
4.417933,4.417933,0.000000,0.108331
5.473139,5.473139,0.000000,0.103223
0.242222,0.242222,0.000000,0.100847
1.295562,1.295562,0.000000,0.100662
2.346927,2.346927,0.000000,0.100514
3.405971,3.405971,0.000000,0.096751
4.458346,4.458346,0.000000,0.096649
5.518984,5.518984,0.000000,0.094488
0.292384,0.292384,0.000000,0.091351
1.354472,1.354472,0.000000,0.090312
2.402587,2.402587,0.000000,0.086961
3.456115,3.456115,0.000000,0.092151
4.497687,4.497687,0.000000,0.087574
5.548193,5.548193,0.000000,0.096117
0.307965,0.307965,0.000000,0.097517
1.358893,1.358893,0.000000,0.104165
2.403359,2.403359,0.000000,0.104965
3.454495,3.454495,0.000000,0.106703
4.498460,4.498460,0.000000,0.106752
5.552699,5.552699,0.000000,0.108282
0.313079,0.313079,0.000000,0.106845
1.369145,1.369145,0.000000,0.106505
2.416045,2.416045,0.000000,0.100983
3.469363,3.469363,0.000000,0.105414
4.515571,4.515571,0.000000,0.106834
5.568196,5.568196,0.000000,0.107440
0.335832,0.335832,0.000000,0.106576
1.393617,1.393617,0.000000,0.104470
2.445949,2.445949,0.000000,0.101209
3.500964,3.500964,0.000000,0.098550
4.554891,4.554891,0.000000,0.095089
5.617771,5.617771,0.000000,0.096833
0.383225,0.383225,0.000000,0.095913
1.434403,1.434403,0.000000,0.096743
2.475494,2.475494,0.000000,0.094834
3.524911,3.524911,0.000000,0.102386
4.569420,4.569420,0.000000,0.103606
5.621480,5.621480,0.000000,0.106925
0.384292,0.384292,0.000000,0.105784
1.436582,1.436582,0.000000,0.110386
2.483671,2.483671,0.000000,0.114430
3.537555,3.537555,0.000000,0.107783
4.586090,4.586090,0.000000,0.110034
5.642701,5.642701,0.000000,0.104840
0.407044,0.407044,0.000000,0.101180
1.465625,1.465625,0.000000,0.103104
2.515044,2.515044,0.000000,0.100207
3.574672,3.574672,0.000000,0.101500
4.630572,4.630572,0.000000,0.098978
5.690955,5.690955,0.000000,0.095035
0.465579,0.465579,0.000000,0.089683
1.525416,1.525416,0.000000,0.089654
2.582614,2.582614,0.000000,0.093818
3.635554,3.635554,0.000000,0.093690
4.682978,4.682978,0.000000,0.092493
5.728768,5.728768,0.000000,0.096602
0.495357,0.495357,0.000000,0.097105
1.545924,1.545924,0.000000,0.100304
2.592467,2.592467,0.000000,0.101000
3.643729,3.643729,0.000000,0.104503
4.692873,4.692873,0.000000,0.109106
5.742899,5.742899,0.000000,0.107947
0.508418,0.508418,0.000000,0.107282
1.559218,1.559218,0.000000,0.106019
2.609179,2.609179,0.000000,0.104289
3.659308,3.659308,0.000000,0.105493
4.714640,4.714640,0.000000,0.104876
5.770117,5.770117,0.000000,0.104505
0.542453,0.542453,0.000000,0.100867
1.593274,1.593274,0.000000,0.097818
2.648688,2.648688,0.000000,0.094781
3.698733,3.698733,0.000000,0.092927
4.756308,4.756308,0.000000,0.092446
5.810025,5.810025,0.000000,0.094645
0.575271,0.575271,0.000000,0.096196
1.615773,1.615773,0.000000,0.100371
2.662169,2.662169,0.000000,0.102343
3.707748,3.707748,0.000000,0.106727
4.757668,4.757668,0.000000,0.108950
5.804044,5.804044,0.000000,0.108657
0.572289,0.572289,0.000000,0.108472
1.619377,1.619377,0.000000,0.110757
2.668920,2.668920,0.000000,0.108010
3.718295,3.718295,0.000000,0.110777
4.768844,4.768844,0.000000,0.106823
5.818890,5.818890,0.000000,0.106099
0.591056,0.591056,0.000000,0.102482
1.640807,1.640807,0.000000,0.102504
2.701236,2.701236,0.000000,0.101722
3.754008,3.754008,0.000000,0.097689
4.812926,4.812926,0.000000,0.097990
5.868195,5.868195,0.000000,0.092078
0.642940,0.642940,0.000000,0.088574
1.695189,1.695189,0.000000,0.087156
2.757232,2.757232,0.000000,0.084464
3.804694,3.804694,0.000000,0.087276
4.850359,4.850359,0.000000,0.086684
5.889456,5.889456,0.000000,0.097832
0.655730,0.655730,0.000000,0.098763
1.700555,1.700555,0.000000,0.102455
2.750495,2.750495,0.000000,0.103088
3.794461,3.794461,0.000000,0.107907
4.847649,4.847649,0.000000,0.107509
5.892453,5.892453,0.000000,0.110462
0.659669,0.659669,0.000000,0.108397
1.704556,1.704556,0.000000,0.105991
2.756993,2.756993,0.000000,0.102465
3.802949,3.802949,0.000000,0.100360
4.855406,4.855406,0.000000,0.102231
5.904677,5.904677,0.000000,0.104853
0.677955,0.677955,0.000000,0.104004
1.728272,1.728272,0.000000,0.101079
2.787694,2.787694,0.000000,0.098022
3.836984,3.836984,0.000000,0.097911
4.890154,4.890154,0.000000,0.090793
5.941878,5.941878,0.000000,0.093697
0.711275,0.711275,0.000000,0.091527
1.749891,1.749891,0.000000,0.095713
2.794694,2.794694,0.000000,0.093999
3.835786,3.835786,0.000000,0.100847
4.884929,4.884929,0.000000,0.104722
5.928138,5.928138,0.000000,0.105916
0.692293,0.692293,0.000000,0.103769
1.737893,1.737893,0.000000,0.108439
2.788651,2.788651,0.000000,0.107463
3.832720,3.832720,0.000000,0.108036
4.884423,4.884423,0.000000,0.106959
5.930127,5.930127,0.000000,0.106009
0.696105,0.696105,0.000000,0.101251
1.741836,1.741836,0.000000,0.103541
2.799281,2.799281,0.000000,0.104765
3.855430,3.855430,0.000000,0.103302
4.917094,4.917094,0.000000,0.095999
5.968358,5.968358,0.000000,0.092288
0.740169,0.740169,0.000000,0.087792
1.792754,1.792754,0.000000,0.086952
2.848815,2.848815,0.000000,0.089053
3.896262,3.896262,0.000000,0.088363
4.940730,4.940730,0.000000,0.089508
5.982174,5.982174,0.000000,0.096941
0.745536,0.745536,0.000000,0.097815
1.785953,1.785953,0.000000,0.104068
2.836270,2.836270,0.000000,0.103238
3.877553,3.877553,0.000000,0.103488
4.929127,4.929127,0.000000,0.105404
5.972231,5.972231,0.000000,0.107978
0.736367,0.736367,0.000000,0.106163
1.780980,1.780980,0.000000,0.107082
2.834046,2.834046,0.000000,0.100034
3.875955,3.875955,0.000000,0.104749
4.927992,4.927992,0.000000,0.101895
5.978541,5.978541,0.000000,0.103804
0.753980,0.753980,0.000000,0.099559
1.804297,1.804297,0.000000,0.097892
2.856692,2.856692,0.000000,0.095021
3.903613,3.903613,0.000000,0.091624
4.954749,4.954749,0.000000,0.093059
5.999951,5.999951,0.000000,0.096704
0.766810,0.766810,0.000000,0.095551
1.806874,1.806874,0.000000,0.101130
2.850082,2.850082,0.000000,0.101922
3.891278,3.891278,0.000000,0.108792
4.939835,4.939835,0.000000,0.107280
5.983526,5.983526,0.000000,0.107461
0.748856,0.748856,0.000000,0.104956
1.796342,1.796342,0.000000,0.106968
2.847647,2.847647,0.000000,0.104998
3.890667,3.890667,0.000000,0.107657
4.943103,4.943103,0.000000,0.106635
5.987634,5.987634,0.000000,0.105264
0.755542,0.755542,0.000000,0.102523
1.805335,1.805335,0.000000,0.101151
2.863353,2.863353,0.000000,0.105492
3.919730,3.919730,0.000000,0.096579
4.974978,4.974978,0.000000,0.094401
6.026181,6.026181,0.000000,0.092508
0.796920,0.796920,0.000000,0.091178
1.848014,1.848014,0.000000,0.088944
2.903682,2.903682,0.000000,0.087032
3.950580,3.950580,0.000000,0.092675
4.995467,4.995467,0.000000,0.091397
6.037102,6.037102,0.000000,0.098144
0.799371,0.799371,0.000000,0.099572
1.840650,1.840650,0.000000,0.106126
2.884362,2.884362,0.000000,0.103526
3.926522,3.926522,0.000000,0.107704
4.977009,4.977009,0.000000,0.106446
6.026110,6.026110,0.000000,0.107458
0.791900,0.791900,0.000000,0.103178
1.839681,1.839681,0.000000,0.102787
2.889350,2.889350,0.000000,0.100221
3.930797,3.930797,0.000000,0.103967
4.978577,4.978577,0.000000,0.100990
6.027281,6.027281,0.000000,0.104048
0.800580,0.800580,0.000000,0.101703
1.853059,1.853059,0.000000,0.099554
2.906060,2.906060,0.000000,0.098845
3.949920,3.949920,0.000000,0.097591
5.000489,5.000489,0.000000,0.093363
6.051501,6.051501,0.000000,0.095420
0.818570,0.818570,0.000000,0.092919
1.861214,1.861214,0.000000,0.097839
2.902493,2.902493,0.000000,0.098788
3.946141,3.946141,0.000000,0.105875
4.991322,4.991322,0.000000,0.105091
6.033839,6.033839,0.000000,0.107191
0.796630,0.796630,0.000000,0.105329
1.844495,1.844495,0.000000,0.107820
2.894667,2.894667,0.000000,0.105326
3.937016,3.937016,0.000000,0.104753
4.986663,4.986663,0.000000,0.107061
6.030983,6.030983,0.000000,0.105976
0.799396,0.799396,0.000000,0.103895
1.845794,1.845794,0.000000,0.104482
2.901793,2.901793,0.000000,0.100516
3.953853,3.953853,0.000000,0.103234
5.009039,5.009039,0.000000,0.096740
6.062150,6.062150,0.000000,0.096107
0.832488,0.832488,0.000000,0.092280
1.884906,1.884906,0.000000,0.089642
2.937343,2.937343,0.000000,0.086422
3.985732,3.985732,0.000000,0.088306
5.029673,5.029673,0.000000,0.089921
6.070868,6.070868,0.000000,0.099157
0.834729,0.834729,0.000000,0.101974
1.878926,1.878926,0.000000,0.101936
2.923936,2.923936,0.000000,0.102410
3.965425,3.965425,0.000000,0.108888
5.016037,5.016037,0.000000,0.107884
6.063315,6.063315,0.000000,0.106290
0.829230,0.829230,0.000000,0.103207
1.876887,1.876887,0.000000,0.102333
2.926219,2.926219,0.000000,0.098398
3.968064,3.968064,0.000000,0.101306
5.015425,5.015425,0.000000,0.103044
6.063920,6.063920,0.000000,0.103462
0.832374,0.832374,0.000000,0.101680
1.885942,1.885942,0.000000,0.100073
2.936408,2.936408,0.000000,0.094882
3.984042,3.984042,0.000000,0.099518
5.035576,5.035576,0.000000,0.100590
6.089545,6.089545,0.000000,0.094991
0.855902,0.855902,0.000000,0.090462
1.899572,1.899572,0.000000,0.092645
2.944081,2.944081,0.000000,0.095864
3.985276,3.985276,0.000000,0.103739
5.026639,5.026639,0.000000,0.104220
6.067394,6.067394,0.000000,0.108942
0.827355,0.827355,0.000000,0.107904
1.877401,1.877401,0.000000,0.108517
2.926167,2.926167,0.000000,0.102502
3.976339,3.976339,0.000000,0.104703
5.024456,5.024456,0.000000,0.101589
6.069950,6.069950,0.000000,0.103552
0.836516,0.836516,0.000000,0.101670
1.884109,1.884109,0.000000,0.101989
2.936084,2.936084,0.000000,0.103313
3.991206,3.991206,0.000000,0.101267
5.045908,5.045908,0.000000,0.096730
6.098660,6.098660,0.000000,0.095820
0.865794,0.865794,0.000000,0.091813
1.920371,1.920371,0.000000,0.092447
2.971881,2.971881,0.000000,0.091360
4.020858,4.020858,0.000000,0.090040
5.063624,5.063624,0.000000,0.086387
6.105496,6.105496,0.000000,0.097776
0.869544,0.869544,0.000000,0.101067
1.916863,1.916863,0.000000,0.104225
2.964013,2.964013,0.000000,0.105905
4.007119,4.007119,0.000000,0.100735
5.053221,5.053221,0.000000,0.101486
6.096493,6.096493,0.000000,0.104493
0.857755,0.857755,0.000000,0.104740
1.903333,1.903333,0.000000,0.105893
2.950107,2.950107,0.000000,0.103720
3.988513,3.988513,0.000000,0.108309
5.036377,5.036377,0.000000,0.106399
6.087451,6.087451,0.000000,0.106567
0.856366,0.856366,0.000000,0.103625
1.911633,1.911633,0.000000,0.099541
2.962937,2.962937,0.000000,0.098002
4.008349,4.008349,0.000000,0.100857
5.058669,5.058669,0.000000,0.097825
6.113076,6.113076,0.000000,0.095328
0.878384,0.878384,0.000000,0.092133
1.922872,1.922872,0.000000,0.094468
2.963795,2.963795,0.000000,0.098217
4.008073,4.008073,0.000000,0.104138
5.050841,5.050841,0.000000,0.104232
6.093484,6.093484,0.000000,0.107232
0.853633,0.853633,0.000000,0.105770
1.904078,1.904078,0.000000,0.105966
2.952572,2.952572,0.000000,0.109594
4.000289,4.000289,0.000000,0.109073
5.047861,5.047861,0.000000,0.105573
6.093230,6.093230,0.000000,0.106157
0.854217,0.854217,0.000000,0.103739
1.903426,1.903426,0.000000,0.103800
2.960074,2.960074,0.000000,0.103715
4.020000,4.020000,0.000000,0.097842
5.071768,5.071768,0.000000,0.096013
6.127686,6.127686,0.000000,0.094191
0.894252,0.894252,0.000000,0.091248
1.947589,1.947589,0.000000,0.089482
2.996943,2.996943,0.000000,0.091883
4.046172,4.046172,0.000000,0.092725
5.091563,5.091563,0.000000,0.092982
6.134581,6.134581,0.000000,0.100098
0.896890,0.896890,0.000000,0.102315
1.943349,1.943349,0.000000,0.103164
2.987693,2.987693,0.000000,0.103259
4.032180,4.032180,0.000000,0.102401
5.079499,5.079499,0.000000,0.103224
6.129525,6.129525,0.000000,0.104554
0.891099,0.891099,0.000000,0.103646
1.940391,1.940391,0.000000,0.104012
2.985885,2.985885,0.000000,0.104064
4.029956,4.029956,0.000000,0.104851
5.075995,5.075995,0.000000,0.107373
6.129164,6.129164,0.000000,0.104542
0.895082,0.895082,0.000000,0.103527
1.952153,1.952153,0.000000,0.100911
3.002387,3.002387,0.000000,0.099281
4.049476,4.049476,0.000000,0.101416
5.098430,5.098430,0.000000,0.094439
6.153132,6.153132,0.000000,0.094298
0.917833,0.917833,0.000000,0.092850
1.963244,1.963244,0.000000,0.095794
3.003035,3.003035,0.000000,0.097083
4.048424,4.048424,0.000000,0.101845
5.092430,5.092430,0.000000,0.107593
6.134212,6.134212,0.000000,0.108355
0.893082,0.893082,0.000000,0.107492
1.942059,1.942059,0.000000,0.107519
2.991203,2.991203,0.000000,0.110973
4.037725,4.037725,0.000000,0.103958
5.085233,5.085233,0.000000,0.103417
6.134231,6.134231,0.000000,0.105668
0.895911,0.895911,0.000000,0.104623
