ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.030235,0.153415,0.156366,10.564791
-0.028049,0.151574,0.154147,10.569406
-0.029681,0.152829,0.155684,10.571502
-0.024589,0.151323,0.153308,10.556659
-0.025692,0.155239,0.157351,10.566149
-0.029981,0.150349,0.153309,10.544849
-0.026397,0.145002,0.147385,10.579409
-0.020788,0.150018,0.151451,10.558189
-0.022290,0.156747,0.158324,10.508832
-0.022456,0.166826,0.168330,10.483032
-0.032482,0.170231,0.173303,10.466077
-0.040451,0.179581,0.184081,10.438779
-0.038521,0.183701,0.187696,10.461339
-0.040708,0.184607,0.189042,10.445590
-0.042204,0.181532,0.186374,10.479076
-0.036691,0.183061,0.186702,10.551450
-0.042089,0.172842,0.177893,10.552343
-0.037532,0.161463,0.165768,10.555225
-0.028393,0.152795,0.155411,10.583481
-0.026517,0.148283,0.150635,10.574103
-0.025938,0.151996,0.154194,10.562983
-0.025283,0.152376,0.154459,10.547012
-0.028788,0.156855,0.159475,10.554237
-0.030049,0.152775,0.155702,10.545979
-0.022573,0.149592,0.151286,10.577991
-0.021808,0.150179,0.151754,10.545081
-0.022178,0.158173,0.159720,10.500812
-0.025143,0.163206,0.165132,10.474390
-0.034292,0.173292,0.176652,10.454959
-0.042146,0.180678,0.185529,10.441843
-0.039330,0.185385,0.189511,10.471704
-0.040474,0.183063,0.187483,10.442834
-0.041813,0.183457,0.188162,10.494938
-0.039009,0.177141,0.181385,10.556412
-0.043283,0.172942,0.178276,10.555152
-0.039729,0.157498,0.162431,10.554399
-0.029040,0.150114,0.152897,10.582090
-0.026314,0.150134,0.152422,10.571132
-0.025980,0.154730,0.156896,10.553492
-0.026361,0.152942,0.155197,10.549688
-0.032169,0.156115,0.159395,10.542781
-0.029709,0.155053,0.157874,10.550538
-0.020823,0.150487,0.151921,10.575398
-0.022023,0.149743,0.151354,10.547155
-0.019315,0.155857,0.157049,10.504173
-0.025011,0.167484,0.169341,10.475912
-0.036884,0.174014,0.177880,10.449294
-0.042170,0.185850,0.190574,10.444507
-0.040602,0.186060,0.190438,10.476912
-0.042690,0.183572,0.188471,10.454866
-0.038866,0.178650,0.182829,10.504066
-0.038824,0.173199,0.177497,10.558525
-0.043313,0.165950,0.171510,10.558142
-0.031659,0.157773,0.160918,10.563334
-0.027306,0.150031,0.152495,10.578907
-0.028405,0.150622,0.153277,10.567377
-0.024989,0.156558,0.158540,10.549379
-0.028230,0.153403,0.155979,10.556312
-0.032360,0.155375,0.158709,10.547990
-0.028400,0.153963,0.156561,10.555707
-0.023262,0.150192,0.151983,10.568613
-0.024695,0.152260,0.154250,10.544479
-0.020601,0.157756,0.159095,10.502186
-0.028378,0.163297,0.165744,10.486141
-0.038079,0.171790,0.175960,10.451703
-0.039936,0.182848,0.187159,10.455205
-0.041369,0.185614,0.190168,10.474473
