theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
4.162248,4.293573,7.524411,0.126875
5.911869,6.043105,7.519278,0.121843
1.369875,1.500822,7.502706,0.129962
3.097181,3.227488,7.466006,0.132994
4.841687,4.972110,7.472685,0.142675
0.294219,0.424473,7.463051,0.149702
2.032872,2.163121,7.462749,0.152579
3.775090,3.905441,7.468548,0.147221
5.528802,5.659607,7.494561,0.154655
0.983432,1.114013,7.481727,0.152558
2.739158,2.870205,7.508461,0.148787
4.501174,4.632739,7.538115,0.149438
6.269360,0.118247,7.567186,0.134927
1.744288,1.876366,7.567467,0.125011
3.516269,3.648793,7.593111,0.116825
5.264231,5.396272,7.565392,0.114363
0.734212,0.866059,7.554264,0.114064
2.494153,2.626099,7.559938,0.113786
4.248786,4.380625,7.553817,0.114975
5.995282,6.126746,7.532371,0.112300
1.464131,1.595593,7.532222,0.119016
3.204778,3.335874,7.511253,0.122787
4.950875,5.081866,7.505255,0.129809
0.422807,0.554066,7.520605,0.130410
2.180776,2.312304,7.536026,0.129146
3.923224,4.054375,7.514388,0.128623
5.673014,5.804155,7.513799,0.132324
1.122652,1.253253,7.482907,0.131441
2.857384,2.987663,7.464433,0.137550
4.599078,4.729413,7.467656,0.139650
0.049324,0.179443,7.455268,0.148743
1.782147,1.912104,7.445987,0.148922
3.534747,3.665275,7.478696,0.158355
5.277196,5.407790,7.482454,0.160649
0.737845,0.868488,7.485253,0.148616
2.487845,2.618754,7.500485,0.148697
4.253112,4.384673,7.537903,0.142579
6.015069,6.146934,7.555337,0.139266
1.495723,1.627857,7.570745,0.123249
3.254886,3.387044,7.572143,0.121558
5.010508,5.142518,7.563575,0.112316
0.479104,0.610939,7.553584,0.110176
2.232522,2.364279,7.549132,0.118974
3.982562,4.114126,7.538078,0.117279
5.737679,5.869274,7.539852,0.120759
1.200570,1.331948,7.527418,0.122203
2.947026,3.078211,7.516324,0.124649
4.697865,4.829082,7.518217,0.119311
0.166335,0.297609,7.521417,0.131106
1.920089,2.051440,7.525862,0.132889
3.671346,3.802646,7.522933,0.124893
5.415013,5.546084,7.509809,0.123012
0.869704,1.000408,7.488771,0.128977
2.605400,2.735820,7.472498,0.133739
4.341097,4.471355,7.463258,0.147104
6.067795,6.197617,7.438207,0.149577
1.523809,1.653790,7.447393,0.157595
3.263993,3.394128,7.456161,0.159632
5.014349,5.144876,7.478661,0.153232
0.475396,0.606014,7.483884,0.153118
2.221328,2.352119,7.493777,0.152140
3.981959,4.113301,7.525331,0.153056
5.755913,5.888052,7.570992,0.138527
1.232879,1.365109,7.576215,0.133808
2.992793,3.125036,7.576968,0.120766
4.753344,4.885599,7.577652,0.112554
0.215018,0.346803,7.550682,0.116293
1.966592,2.098238,7.542736,0.115170
3.723134,3.854842,7.546304,0.116252
5.473889,5.605452,7.538003,0.119082
0.932754,1.063909,7.514666,0.120915
2.690869,2.822274,7.528962,0.123151
4.428830,4.559784,7.503137,0.128527
6.189337,0.037550,7.528573,0.129339
1.662192,1.793689,7.534182,0.127691
3.421985,3.553696,7.546500,0.127952
5.153487,5.284440,7.503060,0.124150
0.616483,0.747381,7.499926,0.121709
2.344860,2.475188,7.467272,0.138500
4.077914,4.208003,7.453543,0.133605
5.810569,5.940452,7.441775,0.150199
1.264191,1.394143,7.445673,0.154075
3.001188,3.131171,7.447447,0.152506
4.755487,4.886073,7.482025,0.157368
0.215737,0.346402,7.486558,0.153127
1.956279,2.086891,7.483551,0.153417
3.716952,3.848171,7.518291,0.148810
5.486647,5.618597,7.560173,0.147474
0.957194,1.089051,7.554860,0.127228
2.727576,2.859911,7.582225,0.119448
4.481479,4.613597,7.569822,0.115135
6.231583,0.080245,7.554329,0.114463
1.699510,1.831169,7.543547,0.116491
3.461883,3.593799,7.558250,0.116714
5.207119,5.338631,7.535030,0.117041
0.669717,0.800956,7.519439,0.115323
2.421899,2.553209,7.523541,0.128603
4.163466,4.294466,7.505711,0.132500
5.913466,6.044525,7.509109,0.135452
1.393388,1.524956,7.538291,0.136670
3.145444,3.276983,7.536613,0.130454
4.892653,5.023991,7.525119,0.127648
0.350512,0.481525,7.506489,0.132841
2.091325,2.222123,7.494179,0.133966
3.821756,3.952043,7.464882,0.137468
5.564207,5.694549,7.468085,0.140697
1.008182,1.138111,7.444430,0.150917
2.754909,2.885181,7.463998,0.152383
4.504573,4.635211,7.485001,0.155991
6.254195,0.101882,7.498434,0.157315
1.708655,1.839272,7.483758,0.147838
3.476714,3.608182,7.532551,0.145691
5.237452,5.369257,7.551901,0.137471
0.722659,0.854867,7.574946,0.133753
2.484904,2.617238,7.582157,0.121506
4.241805,4.374002,7.574302,0.119854
5.991889,6.123734,7.554199,0.114055
1.468877,1.600842,7.561042,0.111911
3.220195,3.351961,7.549622,0.118952
4.975396,5.107110,7.546662,0.121435
0.437322,0.568707,7.527795,0.122064
2.188958,2.320346,7.527979,0.128352
3.933400,4.064509,7.512019,0.127677
5.690823,5.822185,7.526463,0.127180
1.157992,1.289328,7.524969,0.131108
2.909902,3.041219,7.523923,0.131582
4.665123,4.796579,7.531935,0.129351
0.123715,0.254840,7.512876,0.132467
1.860168,1.990854,7.487771,0.132642
3.600792,3.731377,7.482000,0.134572
5.338879,5.469338,7.474740,0.146669
0.783945,0.913982,7.450583,0.149237
2.530924,2.661288,7.469300,0.157635
4.281721,4.412455,7.490544,0.155024
6.023079,6.153707,7.484407,0.149875
1.493060,1.624004,7.502502,0.147883
3.244967,3.376136,7.515385,0.147005
5.009692,5.141385,7.545450,0.146259
0.494647,0.626784,7.570887,0.129938
2.258677,2.391018,7.582567,0.128069
4.019687,4.151999,7.580955,0.112282
5.772370,5.904396,7.564522,0.109922
1.244512,1.376459,7.560054,0.117032
2.997092,3.128860,7.549723,0.115823
4.756737,4.888623,7.556490,0.118220
0.216779,0.348218,7.530931,0.122024
1.964700,2.095959,7.520612,0.124904
3.719460,3.850804,7.525443,0.123831
5.470089,5.601398,7.523424,0.130817
0.936063,1.067291,7.518801,0.131485
2.700492,2.832137,7.542702,0.126160
4.453031,4.584614,7.539192,0.132576
6.191577,0.039471,7.510276,0.125427
1.644823,1.775467,7.485358,0.120553
3.382385,3.512834,7.474137,0.139010
5.114726,5.244860,7.456110,0.143585
0.569460,0.699570,7.454752,0.149681
2.309749,2.439967,7.460928,0.152847
4.057274,4.187782,7.477593,0.157283
5.806456,5.937200,7.491076,0.155268
1.265574,1.396297,7.489837,0.151261
3.015487,3.146429,7.502453,0.147511
4.788683,4.920507,7.552925,0.141012
0.269889,0.402015,7.570273,0.140871
2.029952,2.162143,7.574004,0.124713
3.792304,3.924552,7.577260,0.115418
5.547904,5.680012,7.569273,0.113003
1.010230,1.141902,7.544240,0.114104
2.770381,2.902198,7.552557,0.115259
4.525224,4.656979,7.549003,0.119490
6.276816,0.125247,7.541050,0.119609
1.734382,1.865528,7.514121,0.116681
3.492854,3.624262,7.529112,0.128925
5.232493,5.363486,7.505374,0.133128
0.705598,0.836840,7.519593,0.133313
2.463548,2.595043,7.534147,0.135175
4.209708,4.340992,7.522043,0.129033
