theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
6.097972,0.082463,15.336746,0.194660
2.250834,2.518508,15.336576,0.195753
4.717501,4.986715,15.424796,0.195032
0.899981,1.170037,15.473062,0.182287
3.358661,3.629023,15.490638,0.164332
5.816163,6.086642,15.497311,0.154421
1.981103,2.251212,15.476109,0.152585
4.437875,4.708078,15.481518,0.156228
0.604747,0.874686,15.466358,0.156504
3.053609,3.323294,15.451838,0.156210
5.506917,5.776615,15.452577,0.158033
1.680816,1.950763,15.466810,0.154221
4.137143,4.407142,15.469792,0.155233
0.303596,0.573303,15.453060,0.157074
2.732766,3.001359,15.389211,0.158077
5.165605,5.433632,15.356833,0.166076
1.317902,1.585693,15.343308,0.176301
3.750259,4.017802,15.329061,0.183824
6.191677,0.176318,15.345362,0.190690
2.345359,2.613164,15.344131,0.186250
4.813517,5.082895,15.434193,0.192727
0.991168,1.261084,15.465033,0.179390
3.453265,3.723701,15.494802,0.167001
5.899947,6.169942,15.469581,0.156563
2.083116,2.353725,15.504797,0.155943
4.541749,4.812381,15.506084,0.151056
0.696668,0.966266,15.446851,0.154834
3.149095,3.418720,15.448417,0.155599
5.608487,5.878434,15.466814,0.159361
1.780454,2.050483,15.471549,0.156407
4.243136,4.513480,15.489521,0.159855
0.402459,0.672109,15.449771,0.158730
2.831923,3.100501,15.388387,0.159964
5.269145,5.537385,15.368985,0.168214
1.418947,1.686798,15.346770,0.177061
3.848536,4.115944,15.321370,0.184733
0.014968,0.283056,15.360299,0.190217
2.448878,2.716764,15.348700,0.187837
4.919425,5.188897,15.439651,0.188919
1.103686,1.373952,15.485106,0.178315
3.564605,3.835210,15.504561,0.161961
6.011311,6.281375,15.473557,0.156548
2.195798,2.466536,15.512163,0.157333
4.656552,4.927421,15.519631,0.155316
0.810695,1.080447,15.455689,0.153731
3.267716,3.537643,15.465673,0.154063
5.724925,5.995032,15.476031,0.159544
1.903834,2.174264,15.494509,0.158796
4.367587,4.638262,15.508530,0.156224
0.527057,0.796941,15.463250,0.158337
2.957129,3.225895,15.399197,0.158689
5.400265,5.668890,15.391081,0.168089
1.546690,1.814638,15.352270,0.175471
3.976321,4.243776,15.324096,0.186579
0.142124,0.410185,15.358777,0.191899
2.579619,2.847674,15.358386,0.189895
5.052809,5.322489,15.451530,0.193191
1.241183,1.511775,15.503735,0.180207
3.701221,3.971982,15.513524,0.162871
6.156985,0.144402,15.504363,0.158844
2.338159,2.609091,15.523277,0.154854
4.798703,5.069679,15.525779,0.156145
0.954438,1.224348,15.464715,0.152271
3.424190,3.694838,15.506986,0.154487
5.881966,6.152592,15.505702,0.155127
2.065469,2.336490,15.528385,0.157763
4.524251,4.795159,15.521882,0.153581
0.680890,0.950832,15.466531,0.159431
3.102928,3.371351,15.379490,0.158533
5.542878,5.811136,15.370048,0.166173
1.688694,1.956364,15.336378,0.176587
4.129503,4.397312,15.344289,0.188968
0.292517,0.560711,15.366427,0.191648
2.732551,3.000823,15.370850,0.193678
5.206034,5.475911,15.462777,0.189617
1.393691,1.664389,15.509852,0.175978
3.847255,4.117768,15.499252,0.162819
0.025575,0.296279,15.510221,0.158743
2.481296,2.751883,15.503504,0.155580
4.942574,5.213360,15.514920,0.155922
1.104518,1.374649,15.477353,0.152965
3.567725,3.838266,15.500853,0.154628
6.019104,0.006173,15.484382,0.153441
2.205209,2.476135,15.522940,0.158063
4.663193,4.934036,15.518153,0.154996
0.814944,1.084612,15.450812,0.157199
3.243003,3.511562,15.387305,0.161483
5.682386,5.950720,15.374422,0.162463
1.825308,2.092894,15.331566,0.174247
4.261314,4.528857,15.329051,0.187681
0.424370,0.692390,15.356407,0.191919
2.860816,3.128778,15.353108,0.193552
5.338034,5.607864,15.460112,0.191209
1.513003,1.783110,15.475965,0.178493
3.972331,4.242713,15.491763,0.171084
0.149499,0.420084,15.503359,0.157396
2.605161,2.875675,15.499329,0.153055
5.063500,5.334076,15.502851,0.153872
1.230624,1.500900,15.485674,0.152937
3.685716,3.955976,15.484797,0.152071
6.138606,0.125574,15.478671,0.155721
2.320243,2.590921,15.508707,0.156527
4.776423,5.047015,15.503757,0.153250
0.926770,1.196164,15.435143,0.155831
3.359589,3.628218,15.391335,0.161170
5.789639,6.057583,15.352084,0.163871
1.936587,2.204085,15.326509,0.177545
4.368945,4.636268,15.316469,0.187331
0.530113,0.797897,15.342896,0.193087
2.965030,3.232769,15.340322,0.192934
5.444594,5.714395,15.458472,0.191248
1.613944,1.883777,15.460260,0.179806
4.075854,4.346191,15.489178,0.168227
0.249499,0.519922,15.494096,0.158267
2.708030,2.978587,15.501773,0.155706
5.166264,5.436837,15.502702,0.152638
1.333430,1.603751,15.488216,0.151848
3.780974,4.050957,15.468879,0.153953
6.241810,0.228978,15.490102,0.154160
2.420384,2.691077,15.509537,0.152771
4.872896,5.143295,15.492753,0.152138
1.016763,1.285738,15.411150,0.155985
3.451217,3.719646,15.379888,0.162891
5.873025,6.140445,15.322011,0.168480
2.022092,2.289344,15.312410,0.185126
4.457050,4.724356,15.315499,0.187483
0.616477,0.884181,15.338327,0.192994
3.054748,3.322585,15.345926,0.192679
5.538344,5.808432,15.474875,0.192124
1.699618,1.969295,15.451352,0.180965
4.163642,4.433974,15.488893,0.174632
0.336808,0.607253,15.495319,0.160011
2.794873,3.065423,15.501363,0.158541
5.248856,5.519217,15.490527,0.155659
1.424872,1.695468,15.503972,0.153615
3.873126,4.143322,15.481080,0.154396
0.047946,0.318276,15.488752,0.156317
2.516229,2.787181,15.524433,0.150395
4.967965,5.238512,15.501184,0.151149
1.122673,1.392203,15.442941,0.153931
3.558260,3.827119,15.404484,0.156656
5.984346,6.252253,15.349885,0.164798
2.138761,2.406568,15.344217,0.180559
4.572901,4.840561,15.335775,0.182747
0.727904,0.995607,15.338251,0.190216
3.167121,3.434999,15.348295,0.194648
5.654173,5.924446,15.485488,0.194149
1.817710,2.087621,15.464758,0.181512
4.281215,4.551662,15.495501,0.170518
0.456683,0.727296,15.504988,0.159356
2.909802,3.180192,15.492210,0.156279
5.366971,5.637350,15.491570,0.154519
1.541163,1.811633,15.496736,0.152841
3.991200,4.261356,15.478772,0.158964
0.165204,0.435435,15.483088,0.158383
2.637134,2.908165,15.528947,0.152922
5.084319,5.354656,15.489174,0.149595
1.243810,1.513397,15.446204,0.155184
3.674468,3.943090,15.390925,0.156698
6.104497,0.089215,15.349741,0.171880
2.258597,2.526385,15.343107,0.184177
4.699784,4.967755,15.353586,0.185674
0.850947,1.118664,15.339040,0.188231
3.298888,3.567204,15.373344,0.189889
5.780510,6.050810,15.487011,0.189641
1.947215,2.217266,15.472765,0.183665
4.409625,4.680110,15.497615,0.167679
0.586629,0.857340,15.510589,0.161595
3.039392,3.309833,15.495133,0.156428
5.502768,5.773482,15.510761,0.152913
1.662341,1.932307,15.467931,0.153469
4.121627,4.391816,15.480680,0.157795
0.291310,0.561360,15.472731,0.156331
2.758336,3.028943,15.504633,0.153438
5.209168,5.479323,15.478743,0.150727
1.370650,1.640196,15.443846,0.156276
3.795311,4.063580,15.370662,0.161371
6.232177,0.216966,15.353767,0.173566
2.380468,2.648042,15.330847,0.181709
4.824863,5.092844,15.354177,0.186867
0.971728,1.239278,15.329447,0.188642
3.425879,3.694411,15.385721,0.188854
5.900330,6.170408,15.474336,0.190884
2.075526,2.345835,15.487552,0.182131
4.536281,4.806874,15.503871,0.165189
