theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
5.559249,5.664652,6.039135,0.096568
0.321328,0.426403,6.020351,0.095953
1.368920,1.473869,6.013124,0.097376
2.407411,2.511877,5.985452,0.101280
3.453387,3.557868,5.986290,0.104665
4.498904,4.603375,5.985738,0.103091
5.550313,5.655077,6.002582,0.108012
0.309476,0.414062,5.992343,0.109077
1.357257,1.461959,5.999018,0.110100
2.405038,2.509789,6.001771,0.108059
3.455398,3.560291,6.009911,0.108338
4.501396,4.606180,6.003686,0.106289
5.553581,5.658579,6.015926,0.106651
0.316352,0.421219,6.008413,0.104658
1.368579,1.473652,6.020229,0.104326
2.419272,2.524405,6.023645,0.100567
3.479136,3.584682,6.047287,0.105124
4.532413,4.637927,6.045529,0.097583
5.587744,5.693323,6.049188,0.096663
0.357371,0.462869,6.044598,0.094292
1.420424,1.526374,6.070447,0.093591
2.471202,2.576934,6.057987,0.092416
3.527644,3.633438,6.061539,0.089633
4.571604,4.676886,6.032198,0.090408
5.621130,5.726290,6.025169,0.093430
0.380586,0.485375,6.003992,0.096041
1.430989,1.535873,6.009393,0.102149
2.471387,2.575907,5.988579,0.101564
3.521161,3.625871,5.999426,0.103739
4.565103,4.669693,5.992622,0.103454
5.618777,5.723718,6.012702,0.108348
0.381148,0.485941,6.004166,0.105008
1.433249,1.538243,6.015700,0.106457
2.477361,2.582129,6.002802,0.106498
3.531726,3.636795,6.019995,0.104744
4.579737,4.684761,6.017417,0.100372
5.635321,5.740630,6.033725,0.101937
0.399159,0.504281,6.023019,0.098780
1.454974,1.560349,6.037524,0.100249
2.505397,2.610681,6.032354,0.096779
3.556596,3.661854,6.030843,0.096759
4.606579,4.711808,6.029150,0.093030
5.663483,5.769023,6.047001,0.098276
0.423716,0.528849,6.023690,0.098424
1.472524,1.577596,6.020181,0.099092
2.514642,2.619386,6.001401,0.098069
3.561794,3.666517,6.000185,0.105103
4.607163,4.711796,5.995031,0.104159
5.656642,5.761423,6.003454,0.105415
0.418092,0.522783,5.998308,0.104948
1.468767,1.573675,6.010796,0.107769
2.513591,2.618371,6.003424,0.105183
3.564161,3.669081,6.011452,0.106823
4.605986,4.710608,5.994416,0.105777
5.659387,5.764312,6.011739,0.108412
0.425555,0.530517,6.013882,0.105359
1.481036,1.586326,6.032676,0.105991
2.527640,2.632756,6.022666,0.101128
3.585803,3.691293,6.044137,0.103242
4.636477,4.741887,6.039534,0.100043
5.694617,5.800244,6.051971,0.098144
0.463893,0.569423,6.046435,0.094647
1.525157,1.631030,6.066085,0.094741
2.580825,2.686716,6.067107,0.092563
3.636092,3.741961,6.065851,0.091416
4.678000,4.783260,6.030982,0.091090
5.726389,5.831480,6.021237,0.095989
0.488889,0.593762,6.008799,0.097545
