ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.026858,0.151473,0.153835,12.688020
-0.025667,0.152748,0.154890,12.664707
-0.021834,0.155604,0.157128,12.671766
-0.022338,0.157756,0.159329,12.661298
-0.018659,0.159890,0.160975,12.704493
-0.018287,0.144931,0.146080,12.705976
-0.015924,0.149813,0.150657,12.653817
-0.023242,0.157813,0.159516,12.598649
-0.020042,0.158204,0.159468,12.583972
-0.026244,0.176987,0.178922,12.550505
-0.027677,0.183891,0.185962,12.545462
-0.031793,0.189489,0.192137,12.560111
-0.044741,0.193474,0.198580,12.557741
-0.038665,0.188750,0.192670,12.642553
-0.033615,0.186897,0.189896,12.661267
-0.030800,0.168349,0.171144,12.678604
-0.024804,0.162438,0.164321,12.697770
-0.022554,0.148649,0.150351,12.694876
-0.018946,0.150442,0.151630,12.700047
-0.023130,0.151351,0.153108,12.668885
-0.018643,0.151548,0.152691,12.669172
-0.023702,0.156876,0.158656,12.664200
-0.019061,0.157958,0.159104,12.692669
-0.016719,0.150487,0.151413,12.682574
-0.018296,0.150007,0.151118,12.633484
-0.021145,0.161352,0.162731,12.593399
-0.022886,0.160209,0.161836,12.558431
-0.026781,0.179784,0.181768,12.541708
-0.028720,0.185727,0.187934,12.541502
-0.037982,0.186907,0.190727,12.558335
-0.045248,0.186437,0.191849,12.561419
-0.039327,0.183784,0.187945,12.655272
-0.030827,0.181676,0.184273,12.659207
-0.029349,0.167942,0.170487,12.682964
-0.025078,0.161318,0.163255,12.682573
-0.026939,0.153154,0.155506,12.685574
-0.028884,0.149631,0.152393,12.682462
-0.022428,0.151680,0.153329,12.686543
-0.021050,0.149459,0.150934,12.663881
-0.020588,0.156022,0.157375,12.680001
-0.019172,0.156206,0.157378,12.700017
-0.018493,0.151564,0.152688,12.683330
-0.018158,0.148573,0.149679,12.632376
-0.021311,0.157805,0.159238,12.595325
-0.024062,0.158438,0.160254,12.549146
-0.028451,0.184181,0.186365,12.544891
-0.032133,0.186194,0.188947,12.555694
-0.040598,0.181304,0.185794,12.566689
-0.042785,0.182888,0.187826,12.563346
-0.034673,0.179868,0.183180,12.666742
-0.028485,0.176824,0.179104,12.658967
-0.025069,0.163540,0.165450,12.680608
-0.025122,0.156742,0.158742,12.676577
-0.027322,0.153187,0.155605,12.682837
-0.023196,0.151432,0.153198,12.686904
-0.021563,0.151830,0.153354,12.667134
-0.022752,0.150861,0.152567,12.646038
-0.018741,0.159274,0.160373,12.653734
-0.021962,0.157706,0.159228,12.693002
-0.018088,0.151749,0.152823,12.660351
-0.018174,0.150307,0.151402,12.620502
-0.019454,0.161263,0.162432,12.591327
-0.026201,0.163294,0.165383,12.542607
-0.024049,0.181809,0.183392,12.539762
-0.031396,0.185684,0.188319,12.559439
-0.041862,0.183585,0.188297,12.558338
-0.042134,0.180278,0.185136,12.581981
-0.034202,0.176832,0.180109,12.679274
-0.032135,0.176150,0.179057,12.666277
-0.021861,0.158685,0.160184,12.671733
-0.025712,0.152094,0.154252,12.676591
-0.029555,0.154921,0.157715,12.661717
-0.022138,0.153926,0.155510,12.664017
-0.020104,0.152098,0.153421,12.657401
-0.024916,0.150171,0.152224,12.634826
-0.018029,0.160732,0.161740,12.649928
-0.023819,0.159280,0.161051,12.685833
-0.022840,0.153539,0.155229,12.659726
-0.017781,0.152248,0.153283,12.626094
-0.020233,0.160359,0.161630,12.593097
-0.026446,0.167336,0.169413,12.554938
-0.021865,0.179905,0.181229,12.544271
-0.031508,0.182117,0.184823,12.561025
-0.042820,0.183922,0.188841,12.551529
-0.037974,0.187460,0.191267,12.581348
-0.034676,0.180650,0.183948,12.662170
-0.032476,0.179660,0.182572,12.663460
-0.024098,0.159050,0.160866,12.677883
-0.028269,0.156832,0.159359,12.686573
-0.027911,0.154237,0.156742,12.675249
-0.019901,0.153367,0.154653,12.674232
-0.020594,0.152411,0.153796,12.643177
-0.023979,0.155969,0.157802,12.645885
-0.019450,0.157325,0.158523,12.662045
-0.022786,0.155135,0.156799,12.691705
-0.025074,0.149501,0.151589,12.654584
-0.015434,0.151466,0.152250,12.625948
-0.023857,0.169524,0.171194,12.570759
-0.025172,0.173346,0.175164,12.570003
-0.025257,0.176560,0.178357,12.550216
-0.035551,0.179462,0.182949,12.557608
-0.042267,0.185414,0.190171,12.549260
-0.036406,0.190537,0.193984,12.600744
-0.034344,0.179755,0.183006,12.656667
-0.030278,0.177484,0.180049,12.674207
-0.026184,0.158263,0.160414,12.679789
-0.027682,0.154498,0.156959,12.673225
-0.026717,0.154663,0.156954,12.682177
-0.017374,0.155012,0.155982,12.676723
-0.025573,0.156782,0.158854,12.646467
-0.022904,0.152146,0.153860,12.668795
-0.018628,0.154645,0.155763,12.676085
-0.021523,0.154063,0.155559,12.677857
-0.019743,0.152288,0.153562,12.666140
-0.014215,0.150127,0.150799,12.619173
-0.020982,0.163534,0.164875,12.574754
-0.022423,0.171756,0.173214,12.573974
-0.027805,0.178636,0.180787,12.550812
-0.037502,0.178345,0.182245,12.540362
-0.041143,0.187467,0.191929,12.547571
-0.038257,0.191896,0.195673,12.590221
-0.037023,0.185767,0.189420,12.651079
-0.030234,0.185519,0.187967,12.675518
-0.029596,0.159743,0.162461,12.691427
-0.028209,0.155092,0.157636,12.675724
-0.027114,0.152025,0.154424,12.685853
-0.019701,0.152044,0.153315,12.678568
-0.023811,0.155389,0.157202,12.653119
-0.021731,0.157665,0.159156,12.661674
-0.021656,0.152944,0.154469,12.697903
-0.017503,0.158567,0.159530,12.692712
-0.019297,0.149070,0.150314,12.667465
-0.010850,0.146887,0.147287,12.599416
-0.021762,0.169162,0.170556,12.566483
-0.022039,0.171819,0.173227,12.548318
-0.030365,0.182581,0.185089,12.534898
-0.039652,0.185730,0.189916,12.540580
-0.037792,0.186161,0.189959,12.559136
-0.037590,0.186267,0.190022,12.584517
-0.035298,0.184575,0.187920,12.649817
-0.031131,0.182056,0.184699,12.666447
-0.032489,0.163157,0.166360,12.689491
-0.028404,0.155441,0.158015,12.667824
-0.024549,0.151467,0.153444,12.696557
-0.020226,0.151793,0.153134,12.674805
-0.023959,0.156858,0.158677,12.657858
-0.021906,0.154972,0.156513,12.667785
-0.023523,0.153617,0.155407,12.678696
-0.019729,0.149808,0.151101,12.673991
-0.016541,0.152385,0.153280,12.675586
-0.010605,0.146620,0.147003,12.602181
-0.020540,0.167752,0.169005,12.580956
-0.023368,0.166825,0.168453,12.547917
-0.033461,0.185527,0.188520,12.536177
-0.038774,0.186481,0.190470,12.543285
-0.035212,0.184449,0.187780,12.556176
-0.034219,0.186263,0.189380,12.584662
-0.031808,0.182832,0.185578,12.662400
-0.031304,0.176063,0.178824,12.661081
-0.031389,0.162228,0.165237,12.670176
-0.025316,0.157337,0.159361,12.667193
-0.022493,0.152860,0.154506,12.688547
-0.019994,0.149687,0.151017,12.661099
-0.018417,0.153346,0.154448,12.651791
-0.020424,0.158450,0.159761,12.653671
-0.025620,0.155351,0.157449,12.654151
-0.019575,0.155696,0.156922,12.686694
-0.016219,0.151764,0.152628,12.672571
-0.012069,0.146584,0.147080,12.604466
-0.018776,0.166882,0.167935,12.577520
-0.023161,0.165790,0.167400,12.558466
-0.032294,0.179407,0.182290,12.538625
-0.040255,0.183122,0.187495,12.542831
-0.030445,0.182092,0.184620,12.547218
-0.035130,0.183483,0.186816,12.570111
-0.029390,0.182580,0.184931,12.654178
-0.031025,0.178014,0.180698,12.658921
-0.030580,0.166215,0.169005,12.648355
-0.027530,0.157821,0.160204,12.664946
-0.023475,0.152399,0.154196,12.678117
