ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.002765,0.137146,0.137174,10.038404
-0.003822,0.134254,0.134309,10.034308
-0.006004,0.128044,0.128185,10.067657
-0.005400,0.132639,0.132749,10.005602
-0.003077,0.136566,0.136601,10.007522
0.000413,0.141318,0.141318,9.971536
-0.002755,0.143888,0.143914,9.972090
-0.007260,0.148696,0.148873,9.947622
-0.013154,0.154588,0.155147,9.965603
-0.017910,0.154288,0.155324,9.960106
-0.014503,0.152891,0.153578,10.000536
-0.010366,0.148867,0.149227,10.001985
-0.009458,0.147490,0.147793,10.008986
-0.011041,0.140581,0.141014,10.036402
-0.013839,0.137450,0.138145,10.115326
-0.012964,0.129413,0.130061,10.100645
-0.009713,0.124606,0.124984,10.124676
-0.005217,0.111911,0.112033,10.112029
-0.002262,0.113373,0.113395,10.097506
-0.001034,0.111606,0.111611,10.073501
-0.002373,0.115905,0.115929,10.093393
-0.005952,0.116943,0.117095,10.058127
-0.005285,0.121667,0.121782,10.025158
-0.001916,0.124131,0.124146,10.037362
-0.001426,0.130568,0.130576,10.022092
-0.004588,0.130931,0.131012,10.015938
-0.006124,0.134093,0.134233,10.040061
-0.004815,0.135728,0.135813,10.060166
-0.004462,0.126694,0.126772,10.020654
-0.000883,0.126353,0.126356,10.018194
0.001769,0.132329,0.132341,9.970623
-0.004249,0.138181,0.138246,9.948209
-0.011820,0.148876,0.149344,9.955341
-0.014062,0.154585,0.155224,9.938916
-0.015452,0.157075,0.157834,9.946133
-0.013744,0.154221,0.154832,9.984559
-0.008544,0.152370,0.152609,9.998309
-0.011719,0.147652,0.148117,9.987143
-0.014950,0.148985,0.149734,10.035256
-0.014642,0.141799,0.142553,10.086168
-0.011958,0.129052,0.129605,10.082407
-0.006187,0.116471,0.116636,10.119648
-0.000348,0.112164,0.112165,10.103056
-0.003301,0.112989,0.113038,10.073590
-0.000863,0.115058,0.115062,10.070757
-0.003098,0.118168,0.118208,10.071847
-0.007379,0.114167,0.114405,10.050356
-0.002297,0.119695,0.119717,10.030685
0.001524,0.127895,0.127904,10.027771
-0.003546,0.131816,0.131864,9.999964
-0.005622,0.137395,0.137510,10.013389
-0.007621,0.136860,0.137072,10.037066
-0.007298,0.133298,0.133498,10.025633
-0.001939,0.129769,0.129783,10.027711
-0.000393,0.133222,0.133223,10.004859
-0.000408,0.134540,0.134541,9.983712
-0.006645,0.141681,0.141837,9.958561
-0.007887,0.145611,0.145824,9.972116
-0.014020,0.146701,0.147370,9.938287
-0.008089,0.147624,0.147846,9.958259
-0.009273,0.152989,0.153270,9.973326
-0.010608,0.152544,0.152913,9.987939
-0.013329,0.148227,0.148825,9.977541
-0.015669,0.147340,0.148171,10.027634
-0.016210,0.140700,0.141631,10.051270
-0.011052,0.130185,0.130653,10.088937
-0.005116,0.120807,0.120915,10.101668
-0.004117,0.121039,0.121109,10.097431
-0.004780,0.115439,0.115537,10.065931
-0.003571,0.114635,0.114690,10.086178
-0.005091,0.113649,0.113763,10.055264
-0.001889,0.116476,0.116492,10.070481
-0.000466,0.117028,0.117029,10.034586
-0.000598,0.122391,0.122393,10.033344
-0.003196,0.126582,0.126622,10.015435
-0.003626,0.129576,0.129626,10.034553
-0.005731,0.130396,0.130522,10.040505
-0.003197,0.131440,0.131479,10.042190
0.001528,0.125125,0.125135,10.027434
-0.000240,0.132920,0.132920,9.981891
0.002855,0.136193,0.136223,9.948973
