file,bandwidth_Hz,cmdOmega_rad_s,samples,logFs_Hz,meanOmegaDiff_rad_s,meanOmegaPll_rad_s,meanRpm,mechFreq_Hz,elecFreq_Hz,diffRippleRms_rad_s,pllRippleRms_rad_s,iqRippleRms_A,diffRipplePct,pllRipplePct,domFreqDiff_Hz,domFreqPll_Hz,domFreqIq_Hz,domOrderPll_Mech,domOrderPll_Elec,domOrderDiff_Mech,domOrderDiff_Elec,pllVsDiffAtDiffPeak_dB,diffLowBandRms_rad_s,diffHighBandRms_rad_s,pllLowBandRms_rad_s,pllHighBandRms_rad_s
PLL_BD80_V20_D3.csv,80,20,50000,2000,19.9972012868799,20.00050082046,190.990714193383,3.18317856988971,22.282249989228,2.07975754390208,1.953052180251,0.218739200898961,10.3985273297484,9.76501637525538,39.0625,39.0625,39.0625,12.2715390111945,1.75307700159922,12.2715390111945,1.75307700159922,1.00387690009501,1.75446648723507,1.10163346092938,1.92119269411081,0.32347801925791
PLL_BD80_V50_D3.csv,80,50,50000,2000,49.9887118029799,49.9896820408601,477.366300023702,7.95610500039503,55.6927350027652,2.0181030582572,1.19259772032007,0.155695805538837,4.03703919662393,2.38568774921449,93.75,93.75,93.75,11.7834040645951,1.6833434377993,11.7834040645951,1.6833434377993,0.511629674090831,1.10749971175529,1.68219222228907,1.07708016193605,0.510923838487454
PLL_BD80_V100_D3.csv,80,100,50000,2000,99.7406354802792,99.7819938759601,952.847853415457,15.8807975569243,111.16558289847,2.60410356429962,0.654896769510999,0.11695203545974,2.60979307302358,0.656327603881224,667.96875,570.3125,667.96875,35.9120817424774,5.13029739178248,42.0614108079701,6.00877297256715,-15.0934534617131,0.704724965682997,2.45688203198257,0.372077535214542,0.507889715248962
PLL_BD80_V200_D3.csv,80,200,50000,2000,200.80854038382,199.95005059844,1909.38233545298,31.9596718171535,223.717702720075,4.18193382617834,0.763922352975557,0.126113437375295,2.08254779312926,0.380423238730492,664.0625,62.5,62.5,1.95558954289558,0.279369934699369,20.7781388932655,2.96830555618079,-18.209281590177,1.92502293536906,3.53260145022395,0.595816921146535,0.439411305313633
PLL_BD80_V300_D3.csv,80,300,50000,2000,300.361167909459,299.93548755124,2864.17292714745,47.8039645856452,334.627752099517,5.52134083337839,1.05281116715874,0.147847616053375,1.83823390746794,0.35051507306567,992.1875,93.75,93.75,1.96113441244059,0.280162058920084,20.7553391983295,2.96504845690422,-24.8921001848873,2.64034747674897,4.4786744415563,0.935720706416434,0.468264992533303
PLL_BD80_V400_D3.csv,80,400,50000,2000,400.387897344981,399.99634685518,3819.68374924213,63.7237130166241,446.065991116368,7.04001068557214,1.1920543281983,0.158684153901108,1.75829757399144,0.297724865337578,11.71875,128.90625,128.90625,2.02289295299493,0.288984707570704,0.183899359363175,0.0262713370518822,-38.9676386279585,4.44172522204762,5.41909455530683,0.94041931702695,0.52709512578097
PLL_BD130_V20_D3.csv,130,20,50000,2000,20.0013907151999,20.00188631114,191.003944654803,3.18339907758004,22.2837935430603,2.04607508854803,1.91470394508561,0.209189593695609,10.2294106501769,9.57261687873518,39.0625,39.0625,39.0625,12.2706889862186,1.7529555694598,12.2706889862186,1.7529555694598,0.596176415749589,1.70893133259711,1.11100190558744,1.85418290817789,0.43626561641549
PLL_BD130_V50_D3.csv,130,50,50000,2000,50.0127194124599,50.0008062404201,477.472528304576,7.95977151196098,55.7184005837268,2.10563148740541,1.42722474800786,0.164079872960111,4.21019195145151,2.85372354228011,93.75,93.75,93.75,11.7779762721988,1.68256803888554,11.7779762721988,1.68256803888554,1.94783568448586,1.12824266461448,1.77355454828239,1.27072881579085,0.647149982492763
PLL_BD130_V100_D3.csv,130,100,50000,2000,99.6752031074198,99.7290778174598,952.342542278701,15.872375704645,111.106629932515,2.91576320248726,0.75165388535216,0.12308113782149,2.92368411129215,0.753695814502525,667.96875,570.3125,667.96875,35.9311366245633,5.13301951779476,42.083728512331,6.01196121604729,-11.8393712282734,0.669100593470097,2.6879318585337,0.418011956873164,0.608996681664174
PLL_BD130_V200_D3.csv,130,200,50000,2000,200.95506294898,199.9277620711,1909.16949569495,31.9829916076732,223.880941253712,4.13251094337357,0.879530147292488,0.13334288270009,2.05643534565872,0.437675037585785,664.0625,128.90625,62.5,4.03046255276112,0.57578036468016,20.7629889081634,2.96614127259476,-16.7639414318666,1.87114031294858,3.48953825580843,0.637088414641249,0.537331874104688
