dbg_omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep.active
101.361671,0.463969,0.214051,0.000000
98.535072,0.020290,0.214051,0.000000
93.665894,0.265891,0.262049,0.000000
93.646057,0.146942,0.262049,0.000000
96.339783,0.172805,0.279245,0.000000
95.161880,0.009363,0.279245,0.000000
93.498535,0.137840,0.285701,0.000000
98.561371,0.157119,0.285701,0.000000
100.865776,0.265169,0.219606,0.000000
100.366684,0.455623,0.219606,0.000000
104.741531,0.262601,0.212487,0.000000
105.639603,0.229387,0.212487,0.000000
100.967796,0.241124,0.183854,0.000000
96.996399,0.185617,0.183854,0.000000
97.262177,0.140114,0.259368,0.000000
96.141022,0.100005,0.259368,0.000000
90.070015,0.179778,0.286242,0.000000
89.197495,0.410832,0.286242,0.000000
91.720291,0.225086,0.322828,0.000000
87.348564,0.229348,0.322828,0.000000
86.117340,0.164273,0.368596,0.000000
91.362549,0.386530,0.368596,0.000000
92.469566,0.307697,0.304356,0.000000
91.320908,0.227387,0.304356,0.000000
94.071411,0.357337,0.309025,0.000000
100.301819,0.301821,0.309025,0.000000
100.633675,0.261265,0.214847,0.000000
99.988396,0.156598,0.214847,0.000000
106.183113,0.145619,0.201428,0.000000
106.211639,-0.102227,0.201428,0.000000
102.671028,0.320844,0.181812,0.000000
104.871422,0.226202,0.181812,0.000000
106.231232,0.204235,0.165341,0.000000
104.170578,-0.140324,0.165341,0.000000
101.945488,0.138960,0.196735,0.000000
103.626427,-0.074268,0.196735,0.000000
103.315239,0.073100,0.184085,0.000000
99.506996,0.041522,0.184085,0.000000
102.086021,0.456294,0.229569,0.000000
105.151360,0.147042,0.229569,0.000000
101.402199,0.195857,0.184500,0.000000
101.614113,0.184266,0.184500,0.000000
106.683182,0.284726,0.186217,0.000000
104.870064,0.207243,0.186217,0.000000
98.716843,0.103943,0.203747,0.000000
97.289032,0.028934,0.203747,0.000000
97.350182,0.116522,0.248825,0.000000
92.184242,0.230097,0.248825,0.000000
89.731133,0.395101,0.323833,0.000000
94.330383,0.278147,0.323833,0.000000
94.028481,0.254389,0.274780,0.000000
92.834389,0.503164,0.274780,0.000000
98.882782,0.166681,0.280120,0.000000
