dbg_id_a,dbg_iq_a,omega_diff,omega_pll
0.198129,0.041566,23.369789,22.184929
-0.004322,0.053718,24.209023,23.231501
-0.077375,0.099123,24.685860,24.173298
0.019566,0.043314,25.887489,24.997238
0.149936,-0.045215,27.799606,25.527792
0.096234,-0.119566,23.851395,26.137938
0.048849,-0.181075,23.789406,26.135597
-0.161339,0.095624,23.369789,25.302103
0.028533,-0.295437,21.629333,24.045866
0.042007,-0.299265,20.909309,22.628708
0.051097,-0.337467,20.670891,21.385500
0.091866,-0.291241,19.955635,20.846474
0.000000,0.000000,19.536018,20.208790
-0.021377,-0.158229,19.235611,19.784960
-0.063731,-0.159073,21.152496,19.790003
-0.042438,-0.189618,18.453598,19.223663
0.019947,0.098009,18.396378,18.816036
-0.022054,-0.196368,17.018318,18.680557
0.060254,0.071291,18.277168,18.516510
0.056036,0.032482,18.277168,17.972326
0.050958,0.266419,18.277168,17.730232
0.032954,0.430246,18.396378,17.922125
-0.091338,0.319912,18.391609,18.362858
-0.080519,0.340323,17.976761,18.064798
0.064828,0.511253,17.852783,18.147753
-0.051620,0.380538,18.277168,17.944086
-0.005707,0.410779,17.137527,17.557161
-0.205949,0.349978,18.033981,17.479401
0.087647,0.557804,15.759468,17.185093
-0.082390,0.459736,17.380714,17.439100
-0.176795,0.449865,18.396378,17.722845
-0.237625,0.402094,18.930435,18.237072
-0.039108,0.458786,19.235611,18.520147
-0.029191,0.399008,18.935204,18.931778
-0.258934,0.366494,18.692017,19.348873
-0.281296,0.238179,19.893646,19.893467
-0.011563,0.284933,19.416809,20.447290
-0.005664,0.203951,19.593239,20.571020
0.126383,0.198826,19.598007,20.550539
0.005530,0.171275,19.116402,20.382813
-0.391681,0.253788,19.836426,20.490602
-0.262901,0.297798,19.774437,20.004181
0.005686,0.220670,18.692017,20.027782
-0.018287,0.246284,19.354820,20.024048
0.019717,0.223500,20.489693,20.178427
0.085256,0.200420,19.950867,20.363794
0.053316,0.182482,20.852089,20.551294
0.234318,0.039591,20.613670,20.632725
0.046034,0.158075,19.474030,20.450003
0.051458,0.118880,20.732880,20.629864
0.059929,0.114843,20.494461,20.727560
0.085829,0.113857,21.209717,21.022816
0.031333,0.239639,24.204254,21.784365
0.207123,-0.004355,22.830963,22.412563
0.027919,0.403921,22.110939,22.734085
0.069226,-0.116626,22.649765,22.816626
0.037011,-0.148954,20.852089,22.419756
0.066932,-0.419415,20.494461,22.219263
0.006981,-0.035243,21.333694,21.511505
0.003490,-0.153444,19.893646,20.797459
-0.010557,-0.099460,19.416809,20.714781
0.053498,0.295248,20.432472,20.672018
0.006617,0.071550,18.992424,20.048771
0.000345,0.100018,18.696785,19.412786
0.015244,0.134765,20.313263,19.128319
-0.007089,0.189979,17.976761,19.077229
-0.025052,0.153541,18.215179,18.693180
0.182982,0.439745,20.432472,18.417686
0.184878,0.379833,18.515587,17.967102
0.067814,0.169232,18.396378,17.702768
0.052856,0.182616,16.536713,17.546036
0.231041,0.609603,19.235611,17.474247
0.029020,0.423730,19.292831,17.575232
0.078727,0.398374,18.634796,18.215139
0.153427,0.473937,19.416809,18.501997
-0.089048,0.243294,19.412041,18.808094
0.170854,0.402303,18.935204,19.332424
-0.150457,0.201524,18.935204,19.181797
-0.248158,0.193615,18.215179,18.818930
-0.177154,0.281608,18.453598,18.373093
-0.142068,0.297601,16.655922,18.042370
-0.300965,0.421407,15.521049,17.630260
-0.120737,0.404816,18.277168,17.789185
-0.347133,0.491824,22.888184,18.388962
-0.070132,0.479254,19.235611,18.439814
0.166577,0.371210,18.215179,18.664841
0.223901,0.325661,20.136833,18.786510
0.078659,0.350100,18.935204,19.070641
0.176654,0.264194,19.354820,19.263763
-0.085530,0.348948,20.256042,19.773018
-0.060362,0.354170,18.634796,20.297754
-0.036402,0.222123,20.489693,21.185970
-0.034327,0.197070,22.411346,21.945459
-0.025398,0.091600,23.188591,22.712605
-0.063043,0.108802,22.411346,23.045324
0.021078,0.022887,23.307800,23.179106
0.077001,-0.014218,21.271706,22.861128
-0.056953,0.195920,19.950867,22.379057
0.049022,0.066133,24.747849,21.891287
0.044750,0.046825,20.074844,21.205408
-0.003080,0.218518,20.971298,20.657726
0.033124,0.042510,20.794868,20.127167
0.000871,0.302197,21.753311,20.442509
0.043743,0.084393,21.271706,20.887249
0.036400,0.169370,25.887489,21.923283
0.010706,-0.143312,27.327538,22.770611
0.000265,0.071855,21.810532,22.846159
-0.050441,-0.230131,22.168159,23.015406
-0.000782,-0.100015,24.266243,23.243217
-0.008301,-0.164432,20.494461,22.699711
0.002374,-0.142564,22.411346,22.268188
-0.026253,-0.144678,21.033287,21.926304
-0.077169,-0.222597,19.950867,21.333628
-0.001348,-0.093333,21.271706,20.729446
-0.030779,-0.044238,18.815994,20.075226
0.033766,0.042002,19.111633,19.581860
0.078447,0.062046,19.054413,19.200455
0.043910,0.084306,21.395683,19.032923
-0.003905,0.117732,20.432472,18.971931
-0.088695,0.108710,21.152496,19.140762
-0.157465,0.067606,19.593239,19.402958
-0.167494,0.088123,20.012856,19.695755
0.156866,0.271097,20.432472,20.310402
-0.075472,0.187848,20.494461,20.287811
-0.041082,0.150049,19.950867,20.306438
-0.048223,0.148996,18.577576,20.103006
-0.226989,0.142962,20.017624,19.809141
-0.047787,0.184008,19.054413,19.250742
0.036199,0.186633,18.997192,18.832727
-0.071297,0.285307,17.552376,18.374187
0.046874,0.291984,18.095970,17.998291
0.294545,0.243776,18.277168,17.841686
0.126310,0.304624,17.976761,17.877796
0.186951,0.249363,18.696785,17.981396
0.319822,0.071924,18.873215,18.056488
0.037393,0.344918,20.136833,18.498400
0.059305,0.359771,17.495155,18.471544
0.204845,0.312162,18.033981,18.590548
0.162556,0.305974,18.391609,18.457726
0.366293,0.095436,18.754005,18.609659
-0.012951,0.383805,19.893646,18.984097
-0.014596,0.251070,19.774437,19.381351
-0.032010,0.246848,23.007393,20.259464
-0.036924,0.169256,20.256042,20.452156
-0.096427,0.203386,19.655228,20.507654
0.002605,-0.078259,19.717216,20.429138
-0.058972,0.150536,18.396378,20.097744
-0.037605,0.119992,18.992424,19.992155
-0.059651,0.179615,18.997192,19.308321
-0.079957,0.277824,19.412041,18.965803
-0.051195,0.039676,18.873215,18.672943
-0.036832,0.528881,19.059181,18.698088
-0.019694,0.431805,18.811226,18.764200
-0.019364,0.452973,21.448135,19.090502
-0.059678,0.210234,20.432472,19.532217
-0.027189,0.219063,20.613670,20.123913
-0.034090,0.199551,20.074844,20.702526
-0.101750,0.080170,22.172928,21.483438
0.080450,0.301099,20.670891,21.882498
0.011418,0.170983,21.691322,22.067701
-0.015037,0.032629,20.732880,22.417456
0.283678,0.219737,21.514893,22.619801
0.117039,-0.013345,21.810532,22.452858
0.153353,-0.051201,22.530556,22.272301
-0.033852,-0.103894,22.053719,21.937481
0.033769,-0.052269,22.773743,21.884073
-0.330533,-0.144209,20.313263,21.776295
0.078291,0.001372,19.831657,21.067341
0.285111,0.005679,20.732880,20.819115
-0.030214,0.007432,20.012856,20.365650
0.028628,0.037938,20.012856,20.208576
-0.115364,0.046698,22.768974,20.196110
0.139087,0.071972,19.116402,19.953564
-0.332204,0.109289,18.458366,19.817776
-0.067206,0.067223,20.494461,19.841639
0.068827,0.037338,20.370483,19.771030
-0.109821,0.087316,18.572807,19.900764
-0.081971,0.072254,18.992424,19.745359
-0.248453,0.157336,19.536018,19.837305
-0.103855,0.097695,20.132065,19.894810
-0.113445,0.130925,19.116402,19.652613
-0.040919,0.154334,20.914078,20.049337
-0.038774,0.220993,18.634796,20.018539
-0.142562,0.262800,19.655228,20.015610
-0.222435,0.389727,21.033287,20.059912
-0.010048,0.220515,17.437935,19.585152
-0.035241,0.246407,20.015240,19.270342
0.003511,0.187515,17.976761,18.809252
0.039742,0.327369,17.976761,17.993692
0.098371,0.353397,17.616749,17.965548
0.127824,0.173579,18.274784,17.589169
0.034650,0.357151,16.059875,17.196693
-0.079745,0.547616,19.414425,17.822203
-0.032606,0.434378,20.372868,18.511822
-0.044820,0.519952,22.110939,19.744596
0.046848,0.219423,21.691322,20.911938
0.094005,0.161291,21.932125,21.556091
0.080986,0.038842,21.572113,21.560272
-0.012259,-0.188863,19.893646,21.196999
0.097144,0.079846,18.875599,20.598553
0.117712,0.237002,19.593239,19.990917
-0.003722,0.125692,17.976761,19.447332
-0.052174,0.150901,19.953251,19.122879
-0.174766,0.102174,17.316341,18.922102
-0.073126,0.266707,20.074844,19.012753
0.046868,0.386199,18.095970,19.205263
0.038352,0.387970,20.432472,19.598553
-0.008537,0.306321,19.474030,20.045776
-0.146236,0.161406,22.890568,20.439491
0.218759,0.347731,22.408962,21.081636
-0.073050,0.175517,20.432472,21.777594
0.001675,0.089804,22.470951,22.578981
0.076308,0.136756,22.890568,23.344084
0.233762,0.066404,22.950172,23.871521
0.090107,-0.024365,23.188591,23.965931
0.211027,-0.056807,23.069382,23.885071
0.055463,-0.103923,21.691322,23.450981
0.002157,-0.093318,22.292137,22.641512
-0.042247,-0.122456,21.212101,21.829754
