dbg_id_a,dbg_iq_a,omega_diff,omega_pll
-0.060895,0.287707,288.701050,297.876556
-0.096242,0.370028,299.963959,299.862885
-0.208134,0.242185,295.653351,300.985199
0.062316,0.525260,298.767090,301.850525
-0.096038,0.183564,292.115204,299.667145
-0.109410,0.139037,299.124725,300.455383
-0.271775,-0.076455,292.954437,298.349457
-0.201214,0.198040,290.498749,299.184265
-0.183314,0.273538,290.439148,298.348602
0.050181,0.479738,298.049469,299.119232
0.088036,0.303256,291.395203,296.591736
-0.017966,0.424342,295.770172,297.261230
0.013665,0.498936,292.775635,296.873657
-0.162160,0.547680,297.687073,298.163879
-0.128491,0.168361,291.275970,297.377472
-0.129319,0.434553,296.609406,299.377686
-0.383657,0.426947,289.897919,299.162933
-0.070656,0.491150,295.770172,299.682220
-0.092060,0.274051,292.535431,298.830841
-0.068238,0.334422,300.444366,299.410492
-0.196882,0.314691,289.239288,298.642639
-0.142861,0.309976,296.669495,299.165222
-0.090297,0.304715,289.125458,298.235870
-0.046020,0.363934,302.724854,301.219757
-0.183121,0.064982,289.297119,300.666901
0.026970,0.169229,300.979614,301.504547
-0.168700,0.111907,294.332520,299.875824
-0.153979,0.236638,300.264374,300.546356
-0.039117,0.129860,293.130890,299.929352
-0.100852,0.201228,297.327057,302.038544
-0.027907,0.066215,290.079132,299.358398
-0.159215,0.176417,297.269836,298.891327
0.017851,-0.002010,288.639069,296.343811
-0.090571,0.401515,296.974182,297.789001
-0.097819,0.448143,290.203094,296.627808
-0.044549,0.520905,303.621307,298.501068
0.081653,0.648527,288.038269,297.345642
0.102250,0.380478,298.709869,300.054779
-0.152681,0.187342,288.701050,299.485168
-0.094214,0.479165,301.585205,300.586517
-0.240285,0.384477,292.835236,299.244629
-0.026988,0.331599,300.445557,300.669342
0.146975,0.359753,287.680634,298.860992
-0.146362,0.220463,296.192169,301.206055
-0.220981,0.432878,294.089325,300.438019
-0.127330,0.219099,297.927856,300.813538
0.196634,0.133445,292.057983,298.907532
-0.124263,0.454507,296.368591,300.057129
-0.038624,0.130008,293.431274,297.872528
-0.123008,0.250279,291.700378,298.603851
-0.128597,-0.015598,287.981049,298.638794
-0.341365,0.167450,298.407074,299.541748
-0.168507,0.347873,293.192871,297.285492
-0.061269,0.522920,296.909821,297.363251
-0.338549,0.222073,293.972504,297.202118
-0.019589,0.502606,298.106689,298.908264
-0.248263,0.400478,290.079132,297.981659
-0.156400,0.313828,297.328247,299.877991
-0.086128,0.305920,290.616760,298.933044
-0.034399,0.378664,293.433685,298.886047
0.023921,0.357127,290.557739,297.661346
-0.002723,0.453379,298.946503,299.110718
-0.242840,0.600180,288.460266,298.453522
-0.289639,0.183227,300.504456,299.421967
-0.094590,0.352144,289.297119,298.627655
-0.029767,0.331361,304.155365,301.957062
0.166215,0.467539,290.803925,301.314331
-0.100327,0.230616,303.792969,302.280457
-0.214888,0.180449,291.633606,299.298584
-0.153068,0.159054,299.186707,300.242676
-0.106429,0.091419,294.094086,300.009186
-0.105217,0.092813,298.109070,302.393524
-0.046553,-0.009575,287.742615,299.149994
-0.102130,0.122730,297.098175,298.142792
-0.085425,0.119681,289.840698,296.329590
-0.095860,0.496701,296.134949,297.709900
0.186125,0.386807,288.286224,296.295288
-0.013286,0.455324,300.092712,298.353027
-0.131623,0.295348,289.897919,297.711060
0.226614,0.335045,299.425140,300.413818
-0.293963,0.389950,286.903381,298.271759
-0.026965,0.519011,300.922394,299.479675
-0.086150,0.305914,291.695587,298.724335
-0.044407,0.176822,300.383575,300.006592
-0.184025,0.143775,287.618652,298.096954
0.151488,0.234141,295.052521,300.039886
-0.260417,0.434801,290.617950,299.995697
-0.027583,0.457512,298.166290,301.923615
0.060922,0.212170,292.534821,299.803680
-0.028111,0.066128,297.803894,299.961090
-0.175065,-0.025579,297.927856,298.859253
-0.027047,0.144532,291.037567,299.321899
-0.095408,0.105959,285.522949,298.600922
-0.123326,0.250123,299.365540,298.810211
-0.037983,0.395421,287.320618,296.306274
-0.000955,0.579037,295.293335,297.643341
0.035560,0.528052,291.876801,297.135925
-0.229620,0.507335,298.168671,297.747040
-0.062022,0.208783,291.817200,296.912476
-0.144964,0.388152,296.969421,298.462189
-0.089268,0.414068,289.119476,298.881378
-0.055694,0.458479,295.411346,300.505707
0.051501,0.448298,290.797363,299.693390
-0.127773,0.356304,298.587097,300.007111
-0.240955,0.304901,290.198029,299.230225
