dbg_id_a,dbg_iq_a,omega_diff,omega_pll
-0.037201,-0.111769,22.350550,21.982912
0.150222,-0.451986,21.392107,21.419321
-0.000669,0.218539,20.852089,20.981348
0.037367,-0.052904,20.313263,20.256840
0.037515,-0.120020,24.267435,19.853485
0.112182,-0.000684,19.354820,18.890001
0.161083,0.073171,18.575191,18.614418
0.173439,-0.162455,18.635988,18.357534
0.072567,0.137610,19.774437,18.572567
-0.012906,0.099182,18.335581,18.438421
-0.040141,0.238322,18.215179,18.765079
-0.052511,0.163120,18.216372,18.756220
-0.054045,0.113540,16.897917,18.073885
-0.028777,0.233139,16.179085,17.787924
0.052410,0.372718,16.358496,17.538681
0.095787,0.418433,16.298891,16.913094
0.218572,0.573707,16.478300,16.476391
0.072470,0.342128,18.875004,16.667788
-0.032195,0.516219,15.639663,16.316179
-0.024373,0.644990,16.717911,16.041811
-0.103418,0.555097,17.737150,16.226187
0.015433,0.651735,16.238689,16.454023
-0.114874,0.554297,17.197132,17.017334
0.032247,0.552159,19.534231,17.850163
0.012937,0.471010,18.156172,18.335287
0.319215,0.552876,17.437340,18.224707
0.197018,0.462797,19.414425,18.541044
0.233676,0.349160,16.118885,18.774027
0.216095,0.384985,18.635393,18.444666
0.172883,0.348045,19.174814,19.025091
0.071994,0.353362,21.092297,19.704792
0.039887,0.196020,19.953848,19.945660
0.015158,0.220222,20.732285,20.623253
0.031162,0.218533,22.110939,21.154373
-0.163631,0.148164,19.893646,20.609507
0.029558,0.168796,21.151901,20.759802
0.111844,0.105109,19.115210,20.182554
-0.047063,0.238410,19.953848,20.788803
0.030871,0.170464,20.193459,20.377941
-0.084524,0.189142,20.792484,20.727352
-0.037070,0.142291,20.912291,20.984287
-0.133505,0.193283,22.230745,21.616764
-0.006389,0.082072,22.350550,22.429010
-0.149019,0.211932,22.710264,22.913185
-0.045409,0.068664,22.710264,23.355057
0.053130,0.009029,23.129583,23.750311
0.094774,-0.054385,25.526585,24.073280
0.161747,-0.124363,23.968519,24.170631
0.130680,-0.166668,23.848713,23.640526
0.071302,-0.232315,23.189486,23.323383
0.024895,-0.310665,24.627747,23.246887
-0.019807,-0.058992,22.889824,23.240664
0.006407,-0.442536,23.009777,22.831055
-0.007623,-0.189107,24.447741,22.426767
-0.006576,-0.197493,21.451712,21.560448
-0.025044,-0.232183,21.391809,21.107067
-0.015840,-0.088411,19.953699,20.011755
0.095981,0.253699,18.695370,19.557890
-0.017581,-0.003687,20.493046,19.667706
-0.145595,-0.192901,19.234718,19.554447
0.005810,0.047171,19.474365,19.666132
-0.017917,0.031141,20.313282,19.656168
-0.093980,-0.055746,18.875153,19.679512
0.209735,0.269269,17.433167,19.315218
-0.147033,-0.001438,18.396378,18.684422
-0.093176,0.235660,18.873215,18.820808
-0.091474,0.311698,19.054413,18.287048
0.088698,0.418454,18.215179,18.353081
-0.098625,0.363233,18.939972,18.921547
0.065503,0.358694,18.510818,18.891056
0.021494,0.286617,18.644333,18.776377
-0.201866,0.237451,18.873215,18.946760
0.070352,0.333984,19.416809,18.919270
0.196255,0.355505,18.520355,18.617430
-0.063715,0.288777,18.215179,18.370766
0.018330,0.362833,17.919540,18.088224
0.003770,0.389843,17.557144,18.089859
0.351109,0.325825,17.805099,17.730064
0.236387,0.295635,19.054413,18.396162
0.052222,0.322624,19.178391,18.398085
-0.161186,0.381701,19.121170,18.845661
0.048417,0.244820,21.209717,19.471165
0.065151,0.240907,20.732880,19.806938
0.069745,0.207112,19.712448,20.368954
0.115840,0.202774,19.836426,20.903748
0.052110,0.187191,20.074844,20.861416
0.032501,0.168254,20.313263,20.528099
0.116181,0.125967,19.950867,19.979427
0.055474,0.162137,19.474030,19.928207
-0.113341,0.309683,18.873215,19.949291
0.015399,0.080868,19.178391,19.678429
-0.098429,0.226499,18.568039,19.547976
0.035927,0.000195,19.836426,20.017200
0.045888,-0.127625,21.028519,19.944366
-0.049660,0.241918,20.914078,19.556318
-0.062293,0.234891,20.313263,19.873524
-0.028061,0.233917,23.660660,20.371349
-0.058040,-0.028748,20.437241,20.801811
-0.036891,0.203858,21.219254,21.406174
-0.033463,0.088971,22.344589,22.110477
0.001809,0.035882,21.867752,22.164742
0.117939,0.301609,22.115707,22.746017
0.149187,0.179665,22.897720,22.516216
0.094634,-0.008948,21.390915,22.152958
0.075920,-0.019170,20.256042,22.036957
-0.001997,-0.078277,19.235611,20.776350
0.053884,0.000885,18.873215,20.754862
0.032286,0.107438,17.805099,18.989723
0.057146,0.103007,18.815994,18.554611
0.011158,0.061220,17.614365,18.259274
0.077961,0.124672,20.017624,18.934509
0.153106,0.179061,19.721985,19.187183
-0.007487,0.053369,18.930435,19.301647
0.084267,0.132001,18.882751,19.577160
0.077495,0.152840,19.111633,19.557375
0.027910,0.187192,18.634796,19.352966
-0.068594,0.190467,20.246506,19.341825
-0.120266,0.189413,19.893646,19.069065
0.004904,0.194247,17.795563,19.086552
-0.093317,0.251503,19.655228,19.537754
0.077837,0.259840,19.054413,19.942175
-0.117228,0.180904,19.054413,19.187429
-0.085746,0.219436,20.856857,19.830191
-0.002144,0.296804,19.054413,19.029072
0.067887,0.210045,18.339157,18.592987
-0.089372,0.433465,20.370483,18.737083
-0.173677,0.502837,18.758774,18.427151
0.047599,0.346464,18.157959,18.288731
-0.011723,0.378340,18.215179,18.754841
-0.091041,0.292604,20.370483,19.237247
-0.054909,0.306786,20.017624,19.684847
-0.056389,0.230852,19.712448,20.058475
0.043709,0.165696,21.810532,20.730949
-0.121141,0.224026,20.856857,21.225563
0.046219,0.041668,20.494461,21.057135
-0.019600,0.075810,19.531250,20.780033
0.004003,0.078200,21.209717,21.310963
0.009473,0.077727,19.292831,20.402767
-0.013123,0.063426,20.551682,20.139938
0.000475,0.125746,20.256042,20.010231
0.030955,0.056894,19.712448,19.932169
0.064290,-0.067673,20.732880,19.988300
0.077175,0.104040,20.189285,19.910637
0.099966,-0.062312,19.474030,19.445709
0.051909,0.343034,18.272400,19.402752
0.052496,0.150789,18.453598,19.349678
0.097441,0.179258,17.623901,19.400845
0.078146,-0.004956,19.474030,20.111343
0.213524,0.334974,21.629333,20.285805
0.005187,0.064562,21.572113,21.076431
-0.037385,0.152078,21.572113,21.468687
-0.074851,0.058591,22.115707,21.975985
-0.017094,0.031601,21.810532,22.310705
-0.060898,0.022058,23.002625,22.344393
-0.263373,-0.141501,22.344589,22.098225
-0.192742,-0.061914,20.551682,21.805313
-0.061204,0.070477,19.168854,21.444155
0.034849,0.103564,21.629333,21.360676
0.042517,0.100659,21.457672,21.371037
0.144003,0.111809,27.141571,21.944927
0.215768,0.111795,22.583008,21.519657
-0.241008,-0.017992,22.048950,22.205776
0.146900,0.006424,22.048950,22.083447
0.411593,-0.002896,20.914078,21.305065
-0.092994,-0.057376,20.732880,20.602877
0.207055,-0.006893,20.971298,19.912390
-0.330038,0.087002,18.692017,19.598465
-0.016000,0.111037,19.531250,19.920292
0.092088,0.110329,20.313263,20.519161
-0.074685,0.146728,23.727417,20.545555
0.190077,0.003607,19.416809,20.485107
-0.138772,0.207421,20.313263,20.351658
-0.283655,0.278101,20.198822,20.368931
0.248594,-0.072955,21.934509,20.415443
-0.139543,0.226272,19.178391,19.637486
-0.015641,0.111089,18.692017,19.314253
0.001311,0.082310,17.681122,18.498978
0.113847,0.061800,17.490387,17.800812
-0.076861,0.254487,18.939972,17.739485
-0.086880,0.318123,17.318726,17.494659
-0.093023,0.305483,16.536713,17.329964
-0.020596,0.279847,16.412735,16.739632
-0.004390,0.280570,22.411346,16.639696
-0.103907,0.730478,17.728806,16.078560
-0.061453,0.609792,16.365051,16.994556
-0.043608,0.728612,17.442703,17.429493
-0.058509,0.650775,18.091202,17.962811
-0.042806,0.530260,15.764236,18.397003
-0.044124,0.428868,20.732880,18.947075
-0.024986,0.277753,19.302368,19.589828
-0.023013,0.234467,19.655228,19.783382
-0.023416,0.228148,19.292831,19.723045
-0.002347,0.446929,19.359589,19.384415
0.019502,0.346391,18.033981,19.179214
-0.124145,0.020009,18.043518,19.034388
-0.029133,0.184399,17.976761,18.299248
0.054517,0.380134,16.412735,17.923176
0.157507,0.425149,16.775131,17.730503
0.127847,0.354006,15.945435,17.629740
0.086528,0.335496,16.956329,18.252098
0.027833,0.499963,20.189285,19.138466
0.046397,0.388754,19.893646,20.119478
-0.017966,0.299517,21.991730,21.182190
0.089320,0.148435,22.287369,22.505684
0.117814,0.115007,21.924973,22.868958
0.017115,0.080522,22.649765,22.974377
0.087117,0.090681,23.727417,23.032154
-0.183798,0.032708,21.505356,22.618748
0.013518,0.052169,22.706985,22.417191
-0.129382,0.006385,20.313263,22.112671
0.256971,-0.032980,22.649765,22.378805
0.064645,-0.044184,22.287369,21.869186
0.033536,-0.063550,21.810532,21.985283
0.064534,-0.069792,19.960403,20.946489
0.106146,-0.067419,18.634796,21.236759
0.357016,-0.125771,22.172928,20.492754
-0.016858,0.088223,19.836426,21.365425
0.026685,0.039329,22.287369,20.567860
-0.001646,0.035890,18.997192,20.411619
-0.135586,0.156639,20.551682,20.941235
0.005662,0.053593,23.250580,21.627697
