dbg_id_a,dbg_iq_a,omega_diff,omega_pll
0.218912,-0.321596,24.088324,23.605053
0.099974,0.002970,23.069681,23.524422
0.148643,-0.253749,22.710264,23.461224
0.034463,-0.010155,23.429096,23.303032
0.053082,-0.137125,21.871180,23.317051
-0.000998,-0.189258,21.571518,23.100468
-0.061952,-0.520985,20.852537,22.618095
0.005405,-0.135516,20.612926,22.192602
-0.006236,-0.253334,21.032244,21.528715
-0.019444,-0.087689,21.032394,20.836592
-0.018133,-0.116393,19.354523,20.185312
0.031273,0.084199,20.133480,19.758720
0.048617,0.145580,19.953773,19.445173
0.204450,0.349012,19.054935,19.179043
-0.006240,0.078054,19.953735,19.006969
0.002222,0.109247,18.695389,18.892742
-0.042707,0.070376,17.910004,18.636915
-0.060586,0.094417,17.795563,18.541218
-0.075595,0.120895,18.873215,18.279547
-0.155691,0.274727,18.692017,17.847076
0.135023,0.519247,18.329620,17.670723
-0.047858,0.447622,18.281937,17.709175
-0.129601,0.389840,18.873215,17.817669
-0.026854,0.381395,19.054413,18.144993
0.065470,0.407948,18.043518,18.354807
-0.023954,0.383276,20.065308,18.518330
0.188188,0.412487,18.091202,18.522251
-0.021786,0.343448,18.091202,18.544559
-0.006983,0.327735,19.111633,18.443007
-0.003674,0.326803,19.474030,18.454031
0.033302,0.263747,17.862320,18.203911
0.410955,0.260106,25.224686,18.363302
0.040662,0.324284,18.329620,18.214239
-0.042883,0.391637,19.779205,18.187092
0.005095,0.371169,20.790100,18.627714
-0.258108,0.493452,20.790100,19.347174
0.005572,0.424686,21.572113,20.026222
0.057933,0.216760,22.058487,21.035812
0.164140,0.152968,21.629333,21.323845
-0.027127,0.275216,21.276474,21.505829
0.099518,0.098898,19.655228,21.322414
-0.051048,0.163584,21.038055,21.251032
-0.010987,0.061251,20.008087,21.153097
-0.052798,0.072662,18.930435,21.061605
0.048225,-0.107473,22.106171,21.231716
0.045889,-0.188812,20.132065,21.178379
-0.075226,0.133784,19.407272,20.776789
-0.015742,-0.234380,19.054413,20.353703
-0.047368,-0.003890,19.531250,20.152575
-0.049084,0.164184,18.577576,20.346340
-0.061173,0.109864,20.246506,20.408516
-0.055649,0.167944,25.587082,20.859871
-0.060253,0.091157,20.494461,21.119320
0.013850,0.296488,24.499893,21.613916
-0.002176,0.164627,22.592545,21.962803
0.005194,0.082157,20.618439,22.012947
0.064241,0.139392,23.250580,22.151049
0.138717,0.126222,22.773743,21.903484
0.165369,0.116773,20.484924,21.372440
0.109430,0.059285,21.810532,21.305973
0.108670,0.099054,20.017624,20.484791
0.089694,0.158723,18.815994,19.905199
0.009008,0.077783,19.292831,19.593910
0.076176,0.155590,19.655228,19.504854
0.142848,0.194944,19.474030,19.596581
-0.143300,0.032956,18.568039,19.673512
0.106763,0.154194,19.655228,19.784414
0.037013,0.105902,19.769669,19.704308
0.188701,0.130353,19.721985,19.628437
0.034073,0.094036,18.634796,19.400908
0.100423,0.075680,18.215179,19.150135
0.205252,0.072859,19.054413,19.147293
-0.138050,0.154471,19.235611,19.088806
-0.321990,0.260766,18.692017,19.263983
-0.132998,0.234348,18.157959,19.359341
-0.302406,0.302525,17.385483,18.917486
-0.179844,0.275832,17.623901,18.580914
-0.125949,0.327239,19.712448,18.438578
-0.079910,0.359821,18.215179,18.059202
-0.097866,0.410944,18.043518,18.003633
-0.002557,0.371196,18.339157,18.014292
-0.056810,0.392336,18.510818,18.463211
0.094298,0.377003,21.324158,18.809792
-0.107838,0.466702,18.873215,18.972723
-0.216834,0.583563,20.380020,19.353188
-0.031064,0.300598,20.370483,19.947849
-0.051659,0.323713,22.468567,20.327593
-0.161885,0.414257,20.551682,20.497847
-0.108971,0.286410,21.629333,20.739170
-0.013993,0.201958,20.008087,20.782970
-0.046686,0.157884,19.779205,20.647606
0.056988,-0.053700,20.608902,20.604702
-0.012619,0.366615,20.856857,20.509304
-0.007433,0.323763,20.017624,20.385677
0.040124,0.117812,19.960403,20.282524
0.038417,0.068231,19.588470,20.120199
0.043017,0.065428,20.847321,19.930813
0.046767,0.008468,19.960403,19.694683
0.166958,0.338283,18.815994,19.439039
0.123666,0.199721,18.281937,19.327269
0.121733,0.120610,18.453598,19.350451
0.185253,0.301478,19.235611,19.605696
-0.002011,0.173225,21.514893,20.015005
-0.053281,0.182492,22.172928,20.520330
-0.101250,0.138254,22.239685,21.145084
-0.048273,0.096369,22.048950,21.602671
-0.011841,0.111558,21.934509,21.992500
-0.140439,0.030490,22.535324,22.157930
-0.037877,0.092569,22.411346,22.320972
0.039096,0.051639,20.618439,22.173481
-0.050192,0.040937,20.484924,21.941118
0.030873,0.036135,21.934509,21.847342
0.083238,0.075211,26.416779,21.974501
-0.003557,0.082244,20.618439,22.028866
0.072702,0.038616,26.493073,22.304859
-0.010663,-0.034309,20.189285,22.079823
-0.057300,-0.102922,22.649765,21.788300
0.060976,-0.088877,19.779205,21.095518
0.108242,-0.061428,19.292831,20.619469
0.097662,-0.021583,17.728806,20.077353
0.050664,0.040352,19.769669,20.042299
0.053894,0.084256,20.074844,19.883440
0.042322,0.085114,18.815994,19.773300
-0.258350,0.290863,20.561218,20.083191
-0.065216,0.164465,19.645691,19.858067
0.026833,0.108928,20.790100,19.977455
-0.056915,0.181392,18.701553,19.797588
-0.154127,0.340075,19.598007,19.634731
0.090079,0.066867,20.017624,19.437382
0.094272,0.060812,19.588470,19.040161
0.124325,-0.018856,18.396378,18.380417
0.150997,-0.084917,18.100739,17.963842
0.123529,-0.143389,18.091202,17.704460
-0.015219,0.139474,17.194748,17.340313
-0.084303,0.374656,18.758774,16.996828
-0.100571,0.600019,17.738342,16.603647
-0.038733,0.460222,15.878677,16.520573
-0.080187,0.618143,19.712448,16.869169
-0.071087,0.725780,15.697479,16.973246
-0.031925,0.534660,16.899109,17.396948
-0.035372,0.584619,17.976761,17.866497
-0.040075,0.537423,20.189285,18.296169
-0.001840,0.467057,22.411346,19.133778
-0.025524,0.316786,21.514893,19.738605
0.016073,0.460169,19.474030,19.911680
-0.014654,0.306090,20.494461,20.403446
0.006356,0.418552,18.749237,20.356598
-0.038618,0.166956,21.028519,20.379482
0.131733,0.373900,19.235611,20.175861
-0.128217,0.056966,17.976761,19.568142
0.061120,0.309804,17.261505,19.117962
