dbg_id_a,dbg_iq_a,omega_diff,omega_pll
-0.025399,0.205606,207.738876,200.075317
0.045815,0.281463,199.356079,197.842331
-0.313174,0.173302,199.356079,199.789093
0.072713,0.142148,200.862885,198.611176
-0.051543,0.200655,201.387405,198.335480
0.008161,0.264498,201.997757,198.746262
-0.052216,0.428335,204.391479,199.513809
-0.106881,0.318117,202.112198,198.032852
0.105656,0.218840,201.511383,198.815536
0.032829,0.395066,205.764771,199.384216
0.263461,0.502315,196.056366,196.223099
-0.006666,0.404431,200.614929,200.139084
0.039444,0.566411,203.194626,199.206238
-0.040426,0.211742,198.097229,200.473770
-0.028445,0.139717,200.376511,200.621765
0.152655,0.257069,201.396942,199.889435
-0.128660,0.176653,200.557709,199.043777
0.105573,0.218880,202.474594,199.972733
0.012551,0.453213,207.867630,200.298233
0.170774,0.352305,211.582184,198.983307
0.052866,0.155923,200.796127,200.517471
-0.024033,0.240481,205.173492,199.179733
-0.109481,0.399613,200.252533,197.790588
0.033205,0.280365,199.480057,200.510834
-0.023026,0.440520,208.764084,199.692108
-0.205827,0.335937,203.609467,199.934296
0.122439,0.281491,203.552246,199.577194
-0.033150,0.269814,200.195313,200.592087
0.090363,0.364049,200.557709,199.210464
0.358707,0.187780,198.636063,200.581360
0.154999,0.073082,202.050217,201.306427
-0.050966,0.365047,198.040009,198.006165
-0.026609,0.077902,201.935776,201.123001
-0.129233,0.167792,203.492645,198.396790
-0.043415,0.147215,199.477676,197.464050
0.186356,0.235170,201.334961,199.019501
-0.001470,0.382336,200.676926,198.475601
0.127146,0.482658,206.069946,198.427567
0.361652,0.303633,200.614929,198.433945
-0.124751,0.619108,204.989914,200.068298
-0.103844,0.574726,200.557709,197.628754
0.269166,0.691897,199.837692,199.653290
-0.109404,0.542469,207.326416,200.011627
-0.188423,0.373795,196.900375,198.919708
0.013004,0.280303,202.533005,201.880585
-0.039405,0.051403,200.495728,199.081589
-0.011024,0.135175,202.593216,199.253098
-0.047689,0.139092,203.372849,199.644379
0.036460,0.130631,200.975250,200.071442
-0.069879,0.434810,203.612000,199.026901
0.227074,0.439000,200.136566,199.917328
0.087802,0.349770,204.324722,200.205017
-0.130373,0.258035,195.999146,197.789246
0.130331,0.390425,206.375122,201.068085
0.010930,0.453255,208.587646,200.467361
0.011628,0.276305,202.350616,199.884506
-0.072157,0.155432,207.328796,201.878693
0.099406,-0.063203,206.308365,201.098038
-0.076955,0.077575,205.116272,199.914780
0.017708,0.217821,200.490952,199.320145
-0.118160,0.222008,211.162567,200.789841
-0.015740,0.088429,199.422836,198.651932
-0.070839,0.125039,203.790665,201.269745
0.091786,0.430718,206.184387,199.239258
-0.012541,0.152970,196.180344,196.554550
0.096094,0.327507,197.381973,198.427536
0.084677,0.532222,202.112198,197.553192
-0.082375,0.816905,198.154449,197.654495
0.028803,0.373989,200.252533,199.113800
-0.079293,0.403094,204.925537,199.386902
0.027200,0.335452,206.899643,198.626129
0.127515,0.298769,201.997757,199.256699
-0.005836,0.382295,203.971863,199.644485
-0.084591,0.174930,197.973251,197.296417
0.058986,0.172507,202.236176,201.066544
-0.219048,0.331389,201.754578,198.987137
-0.053698,0.181483,197.443970,198.601974
0.056206,0.235052,201.931000,199.839508
-0.092607,0.448889,203.790665,199.168488
-0.199941,0.343255,206.308365,198.652069
0.008167,0.576187,204.091080,199.525330
0.075175,0.633461,206.909180,200.128174
-0.014153,0.281969,197.319992,197.220627
0.302464,0.337750,201.272964,199.744690
0.154908,0.332520,205.173492,199.374954
-0.109452,0.426571,198.159225,198.354324
