dbg_id_a,dbg_iq_a,omega_diff,omega_pll
0.062101,0.152480,47.817230,49.584873
-0.064303,0.205752,47.159195,48.056236
-0.106971,0.565659,50.573349,48.372162
-0.033370,0.280345,53.148270,50.846352
-0.028021,0.218958,52.490234,52.646088
-0.168397,-0.112363,50.458908,52.344688
0.123415,0.241546,47.092438,50.072357
0.019452,0.043365,47.330856,48.263412
0.057718,0.042800,50.220490,49.867287
0.090318,0.201421,50.506592,50.096634
0.003318,0.147003,50.573349,49.940739
0.083300,0.149756,51.774979,51.196590
-0.200637,0.092047,49.371719,50.649723
0.164435,-0.008238,46.672821,48.903164
-0.371677,0.518441,48.894882,48.669552
-0.034570,0.469917,50.516129,48.826851
0.001898,0.276543,49.486160,49.763538
0.053949,0.240998,49.552917,50.172890
0.037416,0.169148,49.438477,50.055359
-0.036227,0.232792,50.754547,50.194000
0.031898,0.274704,48.360825,50.126148
0.063851,0.275009,49.190521,49.562309
0.026138,-0.024649,49.133301,48.856194
0.086112,0.275978,52.490234,50.401772
-0.270933,-0.013070,52.013397,51.438251
-0.106275,0.203238,51.116943,51.591454
-0.358727,-0.008488,50.630569,51.236244
-0.083186,0.132685,50.811768,50.862148
-0.030015,0.185131,56.867599,53.253807
-0.358090,0.188953,48.112869,50.757114
-0.097904,0.212017,52.614212,49.758362
0.046225,0.132469,51.298141,51.000717
-0.237294,0.271551,54.769516,51.886848
-0.198846,0.320579,51.231384,51.982971
0.000712,0.112182,48.894882,50.605736
0.117498,-0.008391,48.952103,49.981144
0.207768,-0.084697,45.413971,47.875298
0.133326,0.043692,48.112869,46.912739
-0.061286,0.165970,47.397614,46.931511
-0.028759,0.588282,48.475266,47.950150
0.063356,0.419971,49.257278,49.616592
0.114621,0.322994,46.558380,49.157333
0.039018,0.168786,44.336319,46.942459
0.019702,0.315160,46.138763,46.384102
0.044436,0.674753,51.593781,48.148067
0.160409,0.602329,49.982071,50.382870
0.223668,0.130744,49.848557,50.956871
-0.013185,0.123757,53.091049,51.786743
0.048107,0.043368,48.837662,51.210659
-0.231856,0.072780,50.449371,49.094273
-0.088153,0.243620,47.464371,50.068073
0.047979,0.230657,50.392151,50.706917
-0.019618,0.172123,51.651001,51.716702
-0.006387,0.171245,50.811768,51.579498
-0.063650,0.208292,48.723221,49.978745
0.020586,0.042838,50.153732,49.756432
0.029246,-0.150671,49.133301,49.936195
0.085692,0.281319,48.294067,49.191391
0.122938,0.228052,48.236847,48.426872
0.084583,0.336471,51.651001,49.480324
-0.133482,0.244854,49.438477,50.326206
-0.090032,0.263941,48.484802,49.093853
-0.249678,0.299421,49.676895,48.724407
-0.066568,0.382874,47.998428,49.034306
-0.058054,0.339206,49.676895,50.657719
-0.201490,0.308640,50.153732,50.694504
0.078781,0.196593,50.086975,50.596954
