dbg_id_a,dbg_iq_a,omega_diff,omega_pll
0.088109,0.317276,295.886993,300.661346
0.100466,0.411494,306.558624,300.442261
0.060979,0.190516,296.249390,300.730896
0.111913,0.255433,311.470032,300.876709
0.026773,0.188217,300.388336,301.355438
0.026504,0.219147,308.175110,301.564270
0.137265,0.161287,293.555267,301.099854
0.118175,0.222000,301.523224,301.237640
0.240249,0.319905,292.472839,300.164185
0.302136,0.103379,303.621307,300.090820
0.036723,0.234785,296.487823,299.469543
0.170821,0.488860,303.859711,299.184296
-0.005818,0.357880,292.475220,298.515106
0.160818,0.381856,302.662872,297.563690
0.246361,0.620447,294.871338,297.839508
-0.139369,0.584532,301.702026,298.207733
0.021313,0.452886,293.195251,298.916748
0.054068,0.486001,301.163208,298.866669
-0.181588,0.395946,298.167480,300.094666
0.144447,0.349877,302.362457,300.121185
0.135997,0.333996,298.407074,299.913330
-0.033781,0.278564,300.025360,298.926117
0.078392,0.050671,299.845337,300.003967
-0.034154,0.309784,300.144897,299.585541
0.081502,0.362147,298.833862,300.183167
0.118812,0.363410,301.885620,300.685852
0.012599,0.156098,299.606323,301.751526
-0.131107,0.182961,303.382874,301.798309
0.034392,0.063090,297.632233,301.506531
-0.082984,0.107273,302.429199,301.219482
-0.064890,0.170374,292.768494,301.536285
0.088789,0.218222,302.658081,301.686768
0.116561,0.140185,295.648590,301.225861
-0.279644,0.137593,299.310699,299.354370
0.114360,0.172745,294.752136,298.267975
-0.091371,0.091825,301.399231,298.027954
-0.015815,0.450969,294.876099,298.571655
0.188113,0.501491,300.083160,298.261047
0.135568,0.438203,293.970123,298.734619
0.161673,0.454454,304.574982,299.039886
0.057224,0.327737,300.025940,299.791138
0.003720,0.264598,303.616547,299.492157
0.335330,0.348122,294.213287,299.941071
0.183100,0.360671,305.356995,300.155090
0.166869,0.297741,294.213287,300.323059
0.087461,0.249753,303.201691,300.602600
0.017713,0.124493,299.787537,301.362671
-0.089630,0.124594,304.818176,301.312317
0.108434,0.186308,294.213287,300.879944
-0.068849,0.405008,301.580444,300.729675
0.027967,0.139814,290.379517,299.912476
-0.087287,0.187883,303.082489,300.462402
0.126466,0.060754,294.213287,299.773346
-0.016239,0.186844,303.559326,299.244659
0.063916,0.326498,288.341064,298.321564
0.115982,0.389163,301.463623,297.873718
0.078640,0.389379,291.874420,297.823181
0.112934,0.483183,300.323975,298.036957
-0.032043,0.513093,290.975586,298.213776
0.085059,0.529730,300.444366,298.936615
0.023937,0.451327,294.452911,299.723969
0.096705,0.482696,304.399750,300.261749
0.142658,0.373775,298.646698,300.391296
0.025944,0.295675,301.403412,300.091766
0.027042,0.264462,299.246033,300.410156
-0.053609,0.280083,300.504456,300.168945
0.360421,0.247255,294.876099,300.446228
0.047323,0.232880,310.983673,301.049316
-0.053417,0.031922,295.953766,301.225769
-0.076521,0.203915,310.516357,301.553162
-0.087197,0.095797,297.327057,301.578613
-0.140692,0.097834,302.600861,301.164093
-0.074227,0.174098,289.659515,301.210114
-0.032822,0.235362,303.792969,302.324005
0.021128,0.061227,290.975586,301.099152
-0.032939,0.063861,302.782074,299.729218
0.069740,0.168447,290.555969,298.264221
0.052587,0.433904,300.388336,298.053070
0.222735,0.475029,291.099548,297.621582
0.114349,0.510148,303.440094,297.661469
0.177648,0.586570,291.996002,297.779175
-0.021976,0.498640,301.461212,298.677185
-0.083971,0.423257,295.591370,300.292877
-0.159413,0.301798,300.025940,300.604492
-0.049557,0.328984,293.669708,300.717010
-0.041007,0.484621,300.683990,300.993927
0.091813,0.229261,291.457184,300.703247
-0.015589,0.203434,303.802490,301.489990
-0.022441,0.079203,293.073669,301.005646
-0.038353,0.251777,297.207825,301.077576
-0.006205,0.187445,294.036865,300.428802
-0.074401,0.223537,298.047058,300.804199
-0.143355,0.010109,290.198334,299.998230
-0.395794,0.247978,294.156067,300.070618
-0.085603,0.287586,290.017120,300.144989
-0.080975,0.349572,299.246307,299.690430
-0.011862,0.343933,289.540283,298.338684
0.044753,0.402404,296.430603,297.976349
0.098992,0.430246,293.614868,297.793152
0.145584,0.442699,301.761627,298.531158
-0.026732,0.438107,289.599915,298.426392
-0.088967,0.426796,300.924774,299.331146
-0.006946,0.437024,291.275970,299.635956
-0.055015,0.472084,299.185516,300.800598
0.058054,0.307783,289.119476,299.960022
0.158995,0.206906,300.923584,299.812164
-0.047737,0.206341,289.658905,299.845459
-0.333213,0.119067,297.448456,299.885895
0.225788,0.248279,286.121368,299.358551
0.011126,0.233265,306.978241,300.989685
0.159511,0.469868,296.430603,301.002258
-0.036319,0.269405,305.957794,301.850189
-0.136695,0.076417,292.596832,301.005981
-0.388734,-0.081771,301.580444,301.639618
-0.092709,0.136058,290.794373,301.106995
-0.093138,0.185052,296.792999,302.608398
-0.265477,-0.090890,288.457886,300.802124
-0.094957,0.106364,298.347473,299.727112
-0.123235,0.328271,289.421082,297.994598
-0.273449,0.205830,299.129486,298.296692
-0.055899,0.445242,291.814819,297.804993
-0.011703,0.502852,301.647186,298.491455
-0.120996,0.358662,289.115906,298.079437
-0.007914,0.533742,299.124725,299.175110
-0.257757,0.407711,289.120667,299.565491
-0.111429,0.469308,300.264374,300.513794
-0.365471,0.392784,291.218750,300.226837
-0.136011,0.458580,300.445557,300.997589
-0.106168,0.218592,287.022583,299.942139
-0.053312,0.259198,300.264374,300.701721
-0.209732,0.236065,295.472137,300.995728
-0.197667,0.299475,298.404694,301.665100
-0.229963,0.210356,293.912903,300.768555
-0.087699,0.235708,299.544342,300.974854
0.012544,0.234573,300.025940,300.136871
-0.085983,0.236339,290.918365,300.310608
-0.125761,0.164630,286.424164,299.796509
-0.091922,0.348710,298.647888,299.813049
-0.401485,0.417247,295.231354,298.359314
-0.020757,0.145568,295.650970,297.903992
-0.152900,0.451087,291.457184,297.441315
0.064685,0.541315,295.650970,298.461975
-0.285863,0.631492,291.996002,298.209839
-0.122206,0.557956,293.554077,299.270264
-0.043052,0.433840,291.156769,299.425537
-0.016443,0.461557,301.582825,300.521484
-0.080039,0.362473,289.958130,300.020721
0.163388,0.238503,297.987457,300.295044
-0.302002,0.579420,292.774750,299.965759
-0.087896,0.397265,291.872040,300.067139
-0.410649,0.428668,294.456482,299.748810
-0.006605,0.366773,289.897919,301.068909
-0.159410,0.241180,295.467377,301.383759
-0.078833,0.257668,299.243927,302.616547
-0.172452,0.248162,299.367920,301.653992
-0.097672,0.167976,298.652649,301.698456
-0.064228,0.112495,297.985077,301.449341
-0.042680,0.155939,288.343445,301.412445
-0.129436,0.178813,292.530060,300.180817
0.050346,0.228038,287.981049,299.043243
-0.148586,0.247995,300.321594,298.562775
0.147281,0.588650,295.295715,298.860077
-0.086550,0.376722,297.508240,298.227081
0.031743,0.538879,290.918365,298.491058
0.140453,0.670913,291.757599,298.250977
-0.023815,0.458075,290.555969,299.505463
-0.186335,0.471326,300.264374,299.787964
0.193575,0.559735,293.555267,299.715302
-0.201006,0.412307,302.124023,299.708740
0.026248,0.348733,295.290955,300.330078
-0.022336,0.281439,299.663544,299.161804
-0.033380,0.269186,288.162231,299.849701
-0.154702,0.517170,297.508240,300.147614
-0.069865,0.380170,292.773254,301.067169
-0.116130,0.314859,306.377411,301.408142
-0.036168,0.322823,295.710571,301.223999
0.024945,0.188468,297.269836,300.918732
-0.007450,0.117561,294.332520,300.681519
-0.037336,0.111723,299.546722,300.418030
-0.117943,0.206305,287.859436,300.053558
-0.138076,0.394355,303.199310,299.126282
0.021813,0.388005,294.511322,298.828674
-0.100819,0.364848,305.838593,298.482208
0.057863,0.358659,296.549805,298.004822
-0.112539,0.417347,300.264374,297.828003
0.077248,0.582236,287.381409,297.880524
-0.143630,0.594457,297.029022,298.854645
0.164741,0.486319,292.174835,299.781250
0.083142,0.516153,305.538177,300.305084
-0.040329,0.330242,297.148834,300.587189
-0.032988,0.294973,305.897461,300.564911
-0.210129,0.129754,297.451019,300.243195
-0.213799,0.366987,301.103607,300.688629
0.026018,0.257769,290.975586,301.290222
0.274341,0.306847,306.549072,302.313019
-0.120146,0.220939,300.683990,302.359070
0.019484,-0.178579,307.931915,302.254730
0.015932,0.146175,296.907440,301.288757
0.164504,0.078590,303.792969,301.553375
-0.015658,0.178955,296.192169,300.946381
0.048848,0.166208,301.761627,300.487732
-0.023367,0.097251,302.906036,299.746399
0.037829,0.309357,305.900574,299.171661
0.020784,0.317133,294.513702,298.382172
-0.019073,0.439976,305.356995,298.741608
0.109858,0.378352,294.570923,298.278687
0.043825,0.427014,303.497314,298.378418
0.128689,0.352330,296.010986,298.704224
0.020652,0.406348,305.776611,300.627594
-0.058631,0.428259,298.466675,300.102844
0.010059,0.378388,316.743866,300.905670
0.023945,0.406167,296.187408,300.102386
-0.192004,0.097996,310.091980,300.161072
-0.157196,0.342928,298.109070,299.815033
0.051630,0.307355,313.744568,301.482452
0.116365,0.290792,300.326355,301.372803
