file,frequency_hz,gain_db,phase_deg
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,1.25,-0.0203765618842466,-2.50591652021743
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,1.38108590901741,0.0194247604241442,-2.27878860788252
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,1.52591863046916,0.0445927483561579,-2.09252512055346
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,1.68593977507848,0.0972216431325455,-1.69947054197775
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,1.8627421334503,0.182942138970691,-0.568939773453025
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,2.05808553011299,0.173881669994847,0.563363203558879
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,2.27391434015334,0.00768179576319007,1.03802721762759
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,2.51237684279872,-0.119547980651092,0.0643402830760635
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,2.77584660458477,-0.192047188016172,-1.33142430621749
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,3.06694610494868,-0.434067443714291,-1.91183176191873
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,3.38857283940837,-0.257957097878895,-2.69730245517832
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,3.74392816014881,0.0067113661503911,-1.95193444297303
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,4.136549141084,0.23014320544355,4.05602577621949
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,4.57034378456735,-0.0525862589264207,1.8622731727981
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,5.04962992018502,0.0230081681795564,0.222746366150375
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,5.57917818281619,0.0983379507734004,-1.12209705318764
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,6.16425949774785,0.0450614366312565,0.496257673447587
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,6.81069754549303,-0.0939918464757514,-3.41338392455231
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,7.52492672852792,0.0531719768998347,-6.05247058535161
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,8.31405621692671,-0.0542699536182996,-0.179973581559494
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,9.18594071038086,0.109067777409222,3.15480885120894
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,10.1492586209411,0.126223387277706,-1.16212694309218
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,11.2135984546842,0.489358217109876,-1.68647781156594
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,12.389554252115,0.171879765812639,-2.65664227880615
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,13.6888310372822,0.161738628399004,-9.39870005654922
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,15.1243613252085,-0.358922332073546,-3.11659729110252
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,16.7104338473067,-0.274332186984043,-8.04014241443383
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,18.4628357760663,0.322726316729875,-8.7641336377815
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,20.3990098646622,-0.530395197500952,-1.38307962499201
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,22.5382280655937,0.557130568369972,2.17732670018043
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,24.9017833564898,0.156509676216728,-5.72891201732489
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,27.5132016824418,1.29138500956058,-7.01136355586976
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,30.3984761244596,-0.723177695789081,-11.3884346071699
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,33.5863256248747,0.0951352921051607,-5.15181384190751
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,37.1084808449478,1.97986210318267,-10.7002772365976
I_B=0.35_A=0.1_1-50HZ_D=20s.csv,41,-0.92461393943002,-4.6216253588878
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,1.25,-0.247116403367605,-0.694479730393482
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,1.38108590901741,-0.138710273268395,-0.144553749792891
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,1.52591863046916,-0.0833815518629168,0.11836193500784
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,1.68593977507848,0.0505212529989264,0.603266184005065
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,1.8627421334503,0.229085065153982,1.19917020943774
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,2.05808553011299,0.317775503771407,0.465656637137755
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,2.27391434015334,0.279160861081065,-0.735245864936019
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,2.51237684279872,0.0844626947582763,-1.08665650023181
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,2.77584660458477,-0.0331869220373837,-2.49854603913752
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,3.06694610494868,-0.0686592912622804,-3.01300042068837
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,3.38857283940837,0.105341668698949,-0.601575477216159
I_B=0.3_A=0.1_1-50HZ_D=20s.csv,3.74392816014881,0.391992559748297,0.984632518908995
