theta_e_meas,theta_e_ctrl,delta_theta_deg,u_mag_pu
0.951905,1.330118,21.669989,0.262514
5.165553,5.544147,21.691845,0.263399
3.073428,3.451507,21.662346,0.266705
1.018023,1.397151,21.722422,0.264343
5.239578,5.618982,21.738266,0.263589
3.134912,3.512898,21.657059,0.263340
1.048260,1.426037,21.645056,0.261701
5.201758,5.577793,21.545164,0.276638
3.111503,3.487825,21.561674,0.274795
1.062099,1.440200,21.663616,0.278142
5.257624,5.635495,21.650393,0.284944
3.181355,3.559444,21.662888,0.271113
1.092668,1.470412,21.643152,0.269901
5.312146,5.690680,21.688410,0.271949
3.274465,3.654617,21.781113,0.264732
1.187457,1.566692,21.728575,0.254012
5.355992,5.733614,21.636158,0.258536
3.247635,3.624269,21.579573,0.277523
1.145591,1.521912,21.561592,0.273528
5.370562,5.748537,21.656380,0.282269
3.291232,3.669250,21.658838,0.281777
1.214648,1.592922,21.673479,0.263529
5.418625,5.796951,21.676487,0.266201
3.332961,3.711169,21.669727,0.267705
1.279550,1.658955,21.738312,0.271233
5.497118,5.876665,21.746422,0.259079
3.393836,3.772068,21.671064,0.264928
1.283507,1.660578,21.604534,0.273713
5.464144,5.840856,21.583998,0.274305
3.365016,3.741534,21.572908,0.281131
1.323688,1.702283,21.691916,0.280579
5.528525,5.907239,21.698713,0.264540
3.440656,3.819020,21.678696,0.267963
1.352578,1.730679,21.663584,0.269089
5.559767,5.938147,21.679575,0.266352
3.523973,3.904137,21.781822,0.260287
1.416161,1.794677,21.687416,0.261318
5.595371,5.972997,21.636353,0.269436
3.482798,3.859436,21.579760,0.271655
1.386542,1.763177,21.579584,0.280786
5.618834,5.997433,21.692093,0.287510
3.532687,3.910999,21.675690,0.261462
1.461850,1.840631,21.702522,0.263249
5.655928,6.034215,21.674269,0.261358
3.574206,3.952609,21.680864,0.264223
1.507039,1.886066,21.716642,0.265884
5.723390,6.102597,21.726980,0.264790
3.617192,3.995163,21.656139,0.269274
1.513637,1.890799,21.609772,0.262768
5.693058,6.069820,21.586891,0.279918
3.589587,3.966034,21.568792,0.275093
1.545321,1.923733,21.681389,0.274269
5.747834,6.126305,21.684771,0.277477
3.669045,4.047595,21.689257,0.266224
1.578200,1.956324,21.664907,0.267181
5.784970,6.163314,21.677505,0.265300
3.746366,4.126310,21.769196,0.257888
1.644256,2.022728,21.684900,0.254865
5.832570,6.210450,21.650967,0.259310
3.705210,4.081282,21.547285,0.274550
1.610736,1.986973,21.556784,0.269093
5.833653,6.211504,21.649229,0.291008
3.740943,4.118424,21.628078,0.288742
1.671803,2.049989,21.668455,0.269190
5.860451,6.238066,21.635717,0.268253
3.787517,4.165705,21.668619,0.273458
1.723474,2.102409,21.711380,0.272190
5.949514,0.045831,21.743879,0.254594
3.826896,4.204312,21.624340,0.259865
1.734015,2.111105,21.605650,0.269606
5.902950,6.279195,21.557240,0.272118
3.805518,4.181738,21.555822,0.286281
1.760749,2.138868,21.664639,0.287972
5.955733,0.050451,21.652283,0.267515
3.878644,4.256844,21.669275,0.268541
1.778068,2.155518,21.626289,0.269652
5.992133,0.087050,21.663731,0.269959
3.945834,4.325275,21.740366,0.264183
1.843578,2.221696,21.664532,0.262976
6.029164,0.123469,21.628618,0.271264
3.904763,4.280709,21.540152,0.272791
1.815490,2.191767,21.559082,0.291080
6.048832,0.143894,21.671934,0.286003
3.974364,4.352851,21.685724,0.257833
1.889726,2.268027,21.675053,0.260666
6.087018,0.181842,21.658373,0.262270
4.007054,4.385250,21.668997,0.264392
1.933805,2.312349,21.688974,0.261358
6.157582,0.253543,21.723532,0.264548
4.037962,4.415305,21.620176,0.261498
1.941516,2.318472,21.597984,0.259635
6.111373,0.204420,21.556507,0.290449
4.014636,4.390985,21.563248,0.290540
1.964374,2.342409,21.659836,0.283391
6.160384,0.255113,21.652912,0.279716
4.086104,4.464407,21.675140,0.274251
1.991042,2.368833,21.645830,0.267829
6.208443,0.303775,21.687458,0.269405
4.162122,4.541871,21.758011,0.265888
2.065969,2.444600,21.693985,0.258484
6.251472,0.346192,21.652391,0.262429
4.122184,4.498221,21.545361,0.273243
2.032157,2.408553,21.565926,0.271404
6.264473,0.359622,21.676935,0.284399
4.172660,4.550576,21.652987,0.287877
2.098550,2.476880,21.676702,0.272686
0.007577,0.385504,21.653652,0.273554
4.214662,4.592946,21.674078,0.278715
2.166577,2.546273,21.754944,0.278537
0.094543,0.474033,21.743149,0.256771
4.270944,4.649040,21.663319,0.262263
2.166131,2.543284,21.609295,0.276873
0.065448,0.442297,21.591812,0.276708
4.256888,4.633867,21.599289,0.288701
2.208869,2.587434,21.690197,0.289484
0.131152,0.509798,21.694818,0.266826
4.336787,4.715429,21.694574,0.269592
2.247661,2.625939,21.673735,0.264907
0.176780,0.555451,21.696287,0.264614
4.414565,4.794418,21.763973,0.256267
2.307655,2.685894,21.671461,0.266548
0.207896,0.585378,21.628141,0.277073
4.375237,4.751584,21.563105,0.274824
2.280993,2.657380,21.565351,0.291236
0.237823,0.616396,21.690680,0.290031
4.436702,4.815072,21.678982,0.266171
2.357141,2.735531,21.680162,0.264565
0.271894,0.650056,21.667118,0.271378
4.484260,4.862881,21.693422,0.271835
2.437728,2.817708,21.771263,0.266987
0.352777,0.731945,21.724754,0.266229
4.539621,4.917916,21.674707,0.263540
2.431242,2.808371,21.607878,0.261040
0.332238,0.709123,21.593908,0.282009
4.527873,4.905070,21.611811,0.283438
2.471797,2.850173,21.679316,0.268528
0.389592,0.767905,21.675732,0.270207
4.590950,4.969194,21.671753,0.268123
2.509730,2.888075,21.677542,0.265297
0.430440,0.808913,21.684887,0.269477
4.670912,5.050740,21.762503,0.267078
2.564084,2.942384,21.675001,0.261737
0.473259,0.851213,21.655132,0.264847
4.629946,5.006258,21.561045,0.280562
2.533755,2.910057,21.560492,0.276238
0.494624,0.873293,21.696123,0.286358
4.681429,5.059422,21.657408,0.285437
2.606713,2.985015,21.675100,0.263749
0.517165,0.895079,21.652851,0.269259
4.727099,5.105460,21.678469,0.268747
2.685266,3.065212,21.769346,0.262034
0.601404,0.980672,21.730429,0.253687
4.764760,5.142265,21.629461,0.254569
2.649041,3.025368,21.561979,0.276395
0.555133,0.931660,21.573423,0.275738
4.747748,5.124650,21.594938,0.288956
2.682845,3.060686,21.648701,0.285364
0.604604,0.982783,21.668083,0.271098
4.804513,5.182668,21.666693,0.268301
2.716058,3.094083,21.659231,0.270399
0.642011,1.020456,21.683325,0.268397
4.877846,5.257457,21.750086,0.258126
2.764581,3.142489,21.652565,0.259610
0.667317,1.044736,21.624491,0.274818
4.831051,5.207340,21.559771,0.274060
2.732654,3.108902,21.557468,0.277464
0.687678,1.066056,21.679457,0.280512
4.880206,5.258234,21.659412,0.262159
2.808276,3.186752,21.685061,0.268142
0.699794,1.077061,21.615831,0.268396
4.911425,5.289394,21.656021,0.266496
2.854241,3.233340,21.720768,0.270238
0.771616,1.150307,21.697424,0.267881
4.944577,5.322041,21.627085,0.268328
2.836639,3.213288,21.580406,0.270544
0.740886,1.117550,21.581276,0.287335
4.945853,5.323298,21.626036,0.291040
2.888644,3.267181,21.688541,0.261855
0.798324,1.176425,21.663630,0.266479
5.008868,5.387341,21.684954,0.265321
2.916869,3.294924,21.660967,0.264309
0.857102,1.236034,21.711197,0.263171
5.079285,5.458651,21.736050,0.263809
2.964238,3.341803,21.632858,0.262415
0.877587,1.255131,21.631657,0.262191
5.029324,5.405168,21.534285,0.281512
2.940639,3.316911,21.558815,0.281141
0.884250,1.262108,21.649681,0.287476
5.083701,5.461615,21.652876,0.290385
3.003066,3.381013,21.654745,0.269302
0.910314,1.287807,21.628746,0.269345
5.128596,5.506920,21.676374,0.272859
3.084895,3.464634,21.757420,0.270404
1.005563,1.384801,21.728762,0.253334
5.171414,5.548942,21.630720,0.257826
3.066957,3.443647,21.582729,0.275848
0.964244,1.340616,21.564526,0.273812
5.174933,5.552363,21.625154,0.287084
3.106593,3.484635,21.660204,0.285554
1.025077,1.403140,21.661423,0.265840
5.235747,5.614178,21.682487,0.265638
3.144607,3.522635,21.659435,0.268716
1.084338,1.463243,21.709631,0.267920
5.308115,5.687522,21.738420,0.261095
3.206762,3.584916,21.666582,0.266942
1.109499,1.486982,21.628155,0.275798
5.279943,5.656462,21.572903,0.273961
3.188720,3.565320,21.577616,0.281079
1.145400,1.523933,21.688322,0.276559
5.357180,5.736033,21.706684,0.261384
3.271998,3.650513,21.687277,0.269360
1.180606,1.558541,21.654074,0.264716
5.397086,5.775625,21.688705,0.261328
3.353425,3.733370,21.769258,0.261410
1.255659,1.634350,21.697397,0.261289
5.435478,5.813200,21.641863,0.268734
3.322590,3.699214,21.578939,0.271294
1.218619,1.594907,21.559713,0.292277
5.445624,5.823756,21.665373,0.293392
3.367572,3.745842,21.673302,0.262497
1.288323,1.666696,21.679167,0.263866
5.488549,5.866792,21.671728,0.265216
3.408986,3.787412,21.682198,0.265560
1.346578,1.725760,21.725548,0.269517
5.561253,5.940549,21.732086,0.265822
3.461871,3.840142,21.673298,0.266479
1.358903,1.736313,21.624004,0.262180
5.533269,5.910012,21.585812,0.279138
3.432670,3.809221,21.574810,0.275137
1.385280,1.763691,21.681368,0.273266
5.589095,5.967652,21.689766,0.279170
3.506175,3.884599,21.682100,0.265642
1.416587,1.794678,21.663048,0.267873
5.614045,5.992028,21.656843,0.270144
3.585526,3.965699,21.782303,0.257552
1.482391,1.861100,21.698420,0.255831
5.667747,6.045743,21.657598,0.261948
3.548882,3.925476,21.577215,0.278262
1.446734,1.823107,21.564573,0.274017
5.679339,6.057745,21.681067,0.284135
3.587699,3.965643,21.654585,0.283366
1.524495,1.903327,21.705456,0.265312
5.713435,6.091584,21.666363,0.263658
3.634292,4.012640,21.677723,0.271745
1.571820,1.950979,21.724222,0.267913
5.798198,6.177911,21.755924,0.255588
3.684199,4.062125,21.653534,0.262808
1.586055,1.963327,21.616129,0.265349
5.761029,6.137666,21.579704,0.268737
3.663894,4.040449,21.575024,0.279271
1.617553,1.995895,21.677437,0.279437
5.812659,6.190750,21.663000,0.268623
3.742200,4.120757,21.689734,0.268602
1.639167,2.016802,21.636875,0.265953
5.848893,6.226978,21.662676,0.265924
3.807435,4.187049,21.750301,0.260008
1.700086,2.078108,21.659096,0.263874
5.889782,6.267350,21.633032,0.268820
3.767205,4.143293,21.548243,0.269501
1.683112,2.059738,21.579094,0.285493
5.913331,0.008560,21.681559,0.292462
3.830119,4.208353,21.671213,0.259753
1.749654,2.127874,21.670397,0.259470
5.945748,0.040451,21.651423,0.263361
3.870420,4.248675,21.672466,0.265099
1.797524,2.176103,21.690933,0.265286
6.022750,0.118738,21.725014,0.264286
3.905437,4.282842,21.623711,0.264144
1.813731,2.190885,21.609343,0.260761
5.980925,0.073968,21.556292,0.288427
3.884017,4.260268,21.557575,0.288980
1.835559,2.213565,21.658167,0.278116
6.038615,0.133559,21.665230,0.277787
3.967147,4.345695,21.689209,0.263141
1.859250,2.236662,21.624128,0.262624
6.077031,0.172082,21.671410,0.266788
4.025065,4.404372,21.732674,0.264850
1.928873,2.307111,21.671455,0.249074
6.109635,0.203908,21.626795,0.261557
3.977831,4.353465,21.522255,0.277743
1.888892,2.265002,21.549522,0.273311
6.109440,0.203891,21.636959,0.286659
4.021258,4.398797,21.631344,0.288154
1.947696,2.325776,21.662395,0.272384
6.139260,0.233778,21.640821,0.273225
4.056928,4.434821,21.651703,0.279931
2.001441,2.380575,21.722773,0.276770
6.219262,0.315455,21.736795,0.254849
4.100648,4.478214,21.632959,0.262405
2.006656,2.383856,21.611952,0.275427
6.180897,0.274276,21.575558,0.275291
4.086486,4.463142,21.580841,0.287662
2.039538,2.417926,21.680010,0.283760
6.241606,0.336824,21.680916,0.267630
4.162423,4.540905,21.685423,0.272453
2.070485,2.448545,21.661247,0.266086
0.002290,0.380934,21.694712,0.263921
4.235650,4.615345,21.754930,0.256540
2.135891,2.514306,21.681583,0.263617
0.035902,0.413536,21.636881,0.278295
4.202718,4.579146,21.567755,0.276115
2.112185,2.488821,21.579594,0.293798
0.067775,0.446478,21.698118,0.293274
4.271377,4.650030,21.695221,0.265235
2.196910,2.575752,21.706072,0.264766
0.109483,0.487845,21.678535,0.267825
4.314239,4.692696,21.684019,0.270093
2.265609,2.645344,21.757215,0.265620
0.188583,0.567862,21.731047,0.265475
4.364670,4.742587,21.653034,0.263915
2.266714,2.644006,21.617247,0.261659
0.164627,0.541531,21.594990,0.283378
4.357680,4.734776,21.606005,0.284196
2.303370,2.681750,21.679562,0.273451
0.222589,0.600964,21.679340,0.273036
