omega_ref,omega_pll,Iq_ref,Iq_meas
1399.969482,1403.757202,0.337105,0.281243
1399.969482,1398.233154,-0.091385,-0.345536
1399.969482,1396.097412,-0.091385,-0.170290
1399.969482,1394.135620,0.726200,0.720401
1399.969482,1400.815063,0.726200,0.471536
1399.969482,1400.677368,0.065254,0.029268
1399.969482,1399.323853,0.065254,-0.253207
1399.969482,1397.169922,0.210416,0.320973
1399.969482,1400.528198,0.210416,0.261832
1399.969482,1403.281250,-0.023355,-0.241550
1399.969482,1397.190796,-0.023355,-0.099516
1399.969482,1394.667114,0.524071,0.516492
1399.969482,1393.710571,0.524071,0.651218
1399.969482,1399.399292,0.968044,0.608550
1399.969482,1399.723877,0.968044,1.305356
1399.969482,1399.666138,0.198438,0.257025
1399.969482,1398.226929,0.198438,0.248726
1399.969482,1402.314453,0.394526,0.611424
1399.969482,1404.276123,0.394526,0.131109
1399.969482,1399.530884,-0.038995,-0.154903
1399.969482,1396.562622,-0.038995,-0.068155
1399.969482,1396.092529,0.890146,0.894685
1399.969482,1403.116455,0.890146,0.688039
1399.969482,1400.758423,0.148697,0.479664
1399.969482,1401.948120,0.148697,-0.093147
1399.969482,1400.025391,0.152633,0.176414
1399.969482,1402.854370,0.152633,0.289324
1399.969482,1404.648315,-0.098860,-0.530751
1399.969482,1399.637817,-0.098860,-0.109048
1399.969482,1395.282349,0.500468,0.867439
1399.969482,1394.910034,0.500468,0.506082
1399.969482,1402.736450,0.931212,0.984690
1399.969482,1399.821167,0.931212,1.308059
1399.969482,1401.559082,0.334562,0.482998
1399.969482,1401.183838,0.334562,0.143769
1399.969482,1404.762573,0.266766,0.411211
1399.969482,1405.984619,0.266766,0.107722
1399.969482,1401.101318,-0.153362,0.046187
1399.969482,1397.478516,-0.153362,-0.035870
1399.969482,1396.968018,0.967828,0.894212
1399.969482,1403.951050,0.967828,1.205085
1399.969482,1402.708862,-0.014227,0.205334
1399.969482,1403.897095,-0.014227,-0.266474
1399.969482,1401.244629,-0.018676,0.287597
1399.969482,1404.098511,-0.018676,0.045661
1399.969482,1405.748779,-0.183120,-0.479778
1399.969482,1400.161499,-0.183120,-0.076320
1399.969482,1395.471680,0.316856,0.466788
1399.969482,1395.632568,0.316856,0.439866
1399.969482,1402.056030,0.880238,1.090665
1399.969482,1399.511597,0.880238,1.038972
1399.969482,1400.970459,0.263494,0.277095
1399.969482,1400.298340,0.263494,0.099509
1399.969482,1403.103760,0.141335,0.293312
1399.969482,1404.974609,0.141335,-0.127309
1399.969482,1400.830688,-0.142095,-0.145799
1399.969482,1396.614868,-0.142095,-0.105601
1399.969482,1395.264282,0.973341,0.446815
1399.969482,1402.846069,0.973341,1.225021
1399.969482,1402.160400,0.057543,0.198338
1399.969482,1402.836182,0.057543,-0.129999
1399.969482,1400.771973,0.045984,0.032744
1399.969482,1403.795654,0.045984,0.085609
1399.969482,1405.124756,-0.272442,-0.658043
1399.969482,1399.745728,-0.272442,-0.033406
1399.969482,1394.475830,0.295186,0.062922
1399.969482,1394.340088,0.295186,0.171343
1399.969482,1401.469727,0.931681,1.361428
1399.969482,1399.651733,0.931681,0.872379
1399.969482,1399.279785,0.392912,0.107003
1399.969482,1400.299561,0.392912,0.480540
1399.969482,1404.032104,0.304009,0.220348
1399.969482,1403.807007,0.304009,-0.060247
1399.969482,1399.873291,-0.018147,0.235715
1399.969482,1395.720459,-0.018147,-0.353209
1399.969482,1394.958008,1.009187,0.568249
1399.969482,1402.434692,1.009187,1.461048
1399.969482,1402.475220,0.145466,0.178288
1399.969482,1402.578857,0.145466,0.057377
1399.969482,1400.235229,0.071702,0.198831
1399.969482,1404.021362,0.071702,-0.018037
1399.969482,1404.416382,-0.387651,-0.770780
1399.969482,1398.284668,-0.387651,-0.157205
1399.969482,1394.212646,0.402883,0.347157
1399.969482,1394.067871,0.402883,0.217494
1399.969482,1400.256348,0.909396,1.154100
1399.969482,1399.974609,0.909396,0.825341
1399.969482,1400.101440,0.255494,0.363542
1399.969482,1398.604004,0.255494,0.052534
1399.969482,1403.030396,0.299720,0.326576
1399.969482,1402.737671,0.299720,0.017825
1399.969482,1398.064819,0.055864,0.191148
1399.969482,1394.636353,0.055864,-0.194076
1399.969482,1394.570557,0.935086,0.882376
1399.969482,1400.930420,0.935086,1.269618
1399.969482,1401.152954,0.178308,0.239539
1399.969482,1401.105957,0.178308,0.102797
1399.969482,1399.303467,0.178512,0.339472
1399.969482,1404.215088,0.178512,0.338376
1399.969482,1404.083862,-0.582886,-1.049128
1399.969482,1397.009644,-0.582886,-0.285885
1399.969482,1392.097778,0.386545,0.048632
1399.969482,1393.580200,0.386545,0.410290
1399.969482,1399.281616,0.870351,1.094099
1399.969482,1398.701538,0.870351,0.585668
1399.969482,1399.485962,0.233927,-0.142303
1399.969482,1397.839722,0.233927,0.387703
1399.969482,1402.210083,0.384764,0.323084
1399.969482,1401.625488,0.384764,-0.018552
1399.969482,1398.091675,0.133280,0.299306
1399.969482,1392.312134,0.133280,0.398275
1399.969482,1394.258301,0.979247,1.247879
1399.969482,1400.853394,0.979247,1.180818
1399.969482,1400.787842,0.152712,0.175655
1399.969482,1401.834839,0.152712,0.252438
1399.969482,1400.309937,0.196577,0.326075
1399.969482,1403.931152,0.196577,0.130140
1399.969482,1403.868530,-0.357816,-0.580191
1399.969482,1398.739502,-0.357816,-0.309214
1399.969482,1392.119629,0.321763,0.120613
1399.969482,1394.087036,0.321763,0.620626
1399.969482,1400.784546,0.851317,0.975774
1399.969482,1399.787354,0.851317,0.432455
1399.969482,1400.002075,0.295952,0.585257
1399.969482,1399.597290,0.295952,0.373022
1399.969482,1403.515015,0.382010,0.261560
1399.969482,1402.865845,0.382010,0.381883
1399.969482,1400.598511,0.227096,0.231558
1399.969482,1394.116211,0.227096,0.392067
1399.969482,1394.984741,1.038289,1.736302
1399.969482,1403.070190,1.038289,1.193603
1399.969482,1402.309814,0.141843,0.141555
1399.969482,1403.283569,0.141843,0.103422
1399.969482,1402.811401,0.217365,-0.068204
1399.969482,1406.800293,0.217365,0.124813
1399.969482,1406.200439,-0.447857,-0.716928
1399.969482,1401.363159,-0.447857,-0.490361
1399.969482,1394.011963,0.172942,-0.024362
1399.969482,1395.533813,0.172942,0.428826
1399.969482,1401.830322,0.876016,0.832080
1399.969482,1400.043701,0.876016,0.807540
1399.969482,1401.295288,0.246533,0.537954
1399.969482,1400.937256,0.246533,0.412187
1399.969482,1406.714966,0.242092,0.128140
1399.969482,1402.634399,0.242092,0.219111
1399.969482,1399.074463,0.304291,0.507175
1399.969482,1394.093140,0.304291,0.330462
