raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
915791.000000,104.521790,0.219956,0.111261
898208.000000,105.981735,0.219956,0.286133
882373.000000,101.305733,0.170281,0.286850
866821.000000,97.166054,0.170281,0.223056
850365.000000,97.194435,0.256168,0.148370
834132.000000,96.514091,0.256168,0.507953
819784.000000,90.415039,0.268495,0.228003
804715.000000,88.999451,0.268495,0.150099
788610.000000,91.345085,0.328146,0.368493
774389.000000,87.369621,0.328146,0.189160
760009.000000,85.653000,0.359840,0.216969
743535.000000,91.113487,0.359840,0.422930
727917.000000,92.414742,0.307279,0.329141
712925.000000,91.369400,0.307279,0.214940
696882.000000,94.005409,0.311668,0.371932
679251.000000,100.518517,0.311668,0.203786
662622.000000,101.544250,0.211303,0.139535
646553.000000,100.378716,0.211303,0.239785
628084.000000,106.601006,0.210358,0.183726
610729.000000,106.841118,0.210358,0.217829
594609.000000,103.001038,0.164536,0.259137
576780.000000,105.412521,0.164536,0.276521
558956.000000,106.727577,0.164288,0.211578
542089.000000,104.459427,0.164288,0.116208
525458.000000,102.198914,0.187342,-0.061913
507769.000000,103.912819,0.187342,0.176050
490490.000000,103.661621,0.180470,0.426183
474430.000000,99.846581,0.180470,0.151992
456835.000000,102.208656,0.228394,0.165060
438659.000000,105.425964,0.228394,0.275994
422497.000000,101.450737,0.174131,0.150834
405486.000000,101.553116,0.174131,0.140277
386754.000000,106.756767,0.199664,0.241807
369674.000000,104.933472,0.199664,0.094213
354240.000000,98.743370,0.188270,0.138613
337870.000000,97.506889,0.188270,0.333815
321127.000000,97.849007,0.244074,0.106221
306357.000000,92.213402,0.244074,0.098171
291325.000000,89.733521,0.314558,0.212134
274304.000000,94.442993,0.314558,0.390658
258568.000000,93.851913,0.275336,0.211449
243214.000000,92.694244,0.275336,0.167198
225500.000000,99.270981,0.289687,0.145535
207547.000000,104.403786,0.289687,0.445545
190311.000000,105.426064,0.177983,0.232717
172138.000000,108.761726,0.177983,0.184889
152423.000000,115.284760,0.124350,0.152844
133735.000000,115.903717,0.124350,0.197858
116483.000000,111.474380,0.075248,0.018319
97450.000000,113.600952,0.075248,0.111499
78960.000000,112.815781,0.082876,0.130841
62681.000000,105.436073,0.082876,-0.199290
45343.000000,103.741005,0.180236,0.129579
27972.000000,102.748413,0.180236,0.230277
11972.000000,98.077766,0.201938,0.156326
2093563.000000,94.033005,0.201938,0.179983
2076886.000000,95.164543,0.286150,0.360023
2060054.000000,96.752327,0.286150,0.234467
2044390.000000,94.574921,0.259196,0.297915
2028032.000000,95.668434,0.259196,0.292337
2009858.000000,101.963585,0.251417,0.142437
1993008.000000,102.099876,0.251417,0.235082
1976398.000000,101.544640,0.206884,0.304924
1958451.000000,105.034546,0.206884,0.139384
