lut_index,lut_raw21,ideal_raw21,corr_error_counts,corr_error_deg
0,0,0,0,0
1,2181,2048,133,0.0228309631347656
2,4339,4096,243,0.0417137145996094
3,6548,6144,404,0.0693511962890625
4,8740,8192,548,0.0940704345703125
5,10952,10240,712,0.122222900390625
6,13170,12288,882,0.151405334472656
7,15365,14336,1029,0.176639556884766
8,17555,16384,1171,0.201015472412109
9,19709,18432,1277,0.219211578369141
10,21824,20480,1344,0.230712890625
11,23894,22528,1366,0.234489440917969
12,25949,24576,1373,0.235691070556641
13,28037,26624,1413,0.242557525634766
14,30103,28672,1431,0.245647430419922
15,32121,30720,1401,0.240497589111328
16,34144,32768,1376,0.2362060546875
17,36164,34816,1348,0.231399536132812
18,38175,36864,1311,0.225048065185547
19,40165,38912,1253,0.215091705322266
20,42146,40960,1186,0.203590393066406
21,44115,43008,1107,0.190029144287109
22,46023,45056,967,0.165996551513672
23,47932,47104,828,0.142135620117188
24,49840,49152,688,0.11810302734375
25,51753,51200,553,0.0949287414550781
26,53664,53248,416,0.0714111328125
27,55595,55296,299,0.0513267517089844
28,57548,57344,204,0.0350189208984375
29,59561,59392,169,0.0290107727050781
30,61598,61440,158,0.0271224975585938
31,63691,63488,203,0.0348472595214844
32,65792,65536,256,0.0439453125
33,67927,67584,343,0.0588798522949219
34,70068,69632,436,0.0748443603515625
35,72212,71680,532,0.0913238525390625
36,74332,73728,604,0.103683471679688
37,76411,75776,635,0.109004974365234
38,78459,77824,635,0.109004974365234
39,80470,79872,598,0.102653503417969
40,82437,81920,517,0.0887489318847656
41,84343,83968,375,0.0643730163574219
42,86240,86016,224,0.0384521484375
43,88097,88064,33,0.00566482543945312
44,89884,90112,-228,-0.0391387939453125
45,91650,92160,-510,-0.0875473022460938
46,93421,94208,-787,-0.135097503662109
47,95166,96256,-1090,-0.187110900878906
48,96902,98304,-1402,-0.240669250488281
49,98631,100352,-1721,-0.295429229736328
50,100412,102400,-1988,-0.341262817382812
51,102176,104448,-2272,-0.3900146484375
52,103958,106496,-2538,-0.435676574707031
53,105801,108544,-2743,-0.470867156982422
54,107682,110592,-2910,-0.499534606933594
55,109562,112640,-3078,-0.528373718261719
56,111454,114688,-3234,-0.555152893066406
57,113388,116736,-3348,-0.574722290039062
58,115343,118784,-3441,-0.590686798095703
