raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
661418.000000,280.099976,0.528809,0.529983
610086.000000,293.421326,0.528809,0.499543
558753.000000,302.915527,0.300624,0.550612
508200.000000,306.233521,0.300624,0.456011
457397.000000,308.323334,0.246463,0.315637
406075.000000,310.023376,0.246463,0.241988
354998.000000,308.992279,0.239683,0.262371
307238.000000,298.179962,0.239683,0.243641
259551.000000,291.085876,0.418836,0.132026
209368.000000,294.899353,0.418836,0.373793
154927.000000,311.036346,0.219221,0.361206
100082.000000,322.551727,0.219221,0.438506
47516.000000,321.984802,0.109517,0.211249
2095326.000000,310.577484,0.109517,0.201772
2045676.000000,303.561340,0.293716,0.101013
1994129.000000,305.220154,0.293716,0.450872
1942492.000000,307.023407,0.259025,0.325841
1894051.000000,298.582947,0.259025,0.440915
1847716.000000,286.272339,0.466673,0.198059
1802468.000000,274.820984,0.466673,0.233184
1754972.000000,274.748291,0.582166,0.386610
1704255.000000,285.789948,0.582166,0.912408
1652458.000000,297.761505,0.352056,0.609640
1600339.000000,307.236572,0.352056,0.560135
1548952.000000,310.876282,0.220800,0.383621
1498005.000000,311.330292,0.220800,0.431432
1446513.000000,312.044769,0.208994,0.268079
1396958.000000,305.466248,0.208994,0.268516
1348859.000000,295.953339,0.369949,0.198100
1300489.000000,291.075378,0.369949,0.339666
1249330.000000,297.476471,0.354743,0.358724
1194890.000000,312.641266,0.354743,0.373844
1140519.000000,322.278015,0.106505,0.546079
1089736.000000,316.450470,0.106505,0.096830
1041210.000000,304.448822,0.284752,0.189980
991895.000000,298.435516,0.284752,0.220206
941162.000000,299.316315,0.336084,0.413269
889106.000000,304.236145,0.336084,0.276834
840814.000000,296.877289,0.360506,0.382226
795245.000000,283.479187,0.360506,0.258886
750349.000000,272.707428,0.602477,0.203353
703881.000000,270.844391,0.602477,0.502987
654216.000000,280.370239,0.526045,0.821360
602603.000000,293.720734,0.526045,0.607003
550783.000000,304.109924,0.288608,0.653204
499943.000000,308.016144,0.288608,0.556786
448836.000000,310.851501,0.221083,0.427628
397587.000000,312.052368,0.221083,0.096928
347704.000000,306.692413,0.262607,0.470799
300546.000000,294.237030,0.262607,0.071394
252546.000000,288.684235,0.442802,0.222638
201169.000000,296.623260,0.442802,0.385868
145748.000000,315.334900,0.176142,0.564394
90797.000000,326.267242,0.176142,0.189254
39194.000000,322.053894,0.108732,0.396325
2087460.000000,309.325928,0.108732,0.234741
2037933.000000,301.955597,0.309695,0.099345
1986327.000000,303.642670,0.309695,0.234815
1934685.000000,305.380768,0.275390,0.288812
