lut_index,lut_raw21,ideal_raw21,corr_error_counts,corr_error_deg
141,139675,144384,-4709,-0.808353424072266
142,140607,145408,-4801,-0.824146270751953
143,141539,146432,-4893,-0.839939117431641
144,142481,147456,-4975,-0.854015350341797
145,143408,148480,-5072,-0.87066650390625
146,144286,149504,-5218,-0.895729064941406
147,145195,150528,-5333,-0.915470123291016
148,146081,151552,-5471,-0.939159393310547
149,146947,152576,-5629,-0.966281890869141
150,147770,153600,-5830,-1.00078582763672
151,148618,154624,-6006,-1.03099822998047
152,149434,155648,-6214,-1.06670379638672
153,150247,156672,-6425,-1.10292434692383
154,151056,157696,-6640,-1.13983154296875
155,151890,158720,-6830,-1.17244720458984
156,152677,159744,-7067,-1.21313095092773
157,153507,160768,-7261,-1.24643325805664
158,154336,161792,-7456,-1.2799072265625
159,155187,162816,-7629,-1.30960464477539
160,156014,163840,-7826,-1.34342193603516
161,156890,164864,-7974,-1.36882781982422
162,157759,165888,-8129,-1.39543533325195
163,158624,166912,-8288,-1.4227294921875
164,159512,167936,-8424,-1.44607543945312
165,160432,168960,-8528,-1.46392822265625
166,161322,169984,-8662,-1.48693084716797
167,162205,171008,-8803,-1.51113510131836
168,163093,172032,-8939,-1.53448104858398
169,163997,173056,-9059,-1.55508041381836
170,164901,174080,-9179,-1.57567977905273
171,165833,175104,-9271,-1.59147262573242
172,166793,176128,-9335,-1.60245895385742
173,167737,177152,-9415,-1.61619186401367
174,168681,178176,-9495,-1.62992477416992
175,169632,179200,-9568,-1.6424560546875
176,170606,180224,-9618,-1.65103912353516
177,171629,181248,-9619,-1.65121078491211
178,172635,182272,-9637,-1.65430068969727
179,173635,183296,-9661,-1.65842056274414
180,174628,184320,-9692,-1.66374206542969
181,175622,185344,-9722,-1.66889190673828
182,176634,186368,-9734,-1.67095184326172
183,177652,187392,-9740,-1.67198181152344
184,178680,188416,-9736,-1.67129516601562
185,179698,189440,-9742,-1.67232513427734
186,180681,190464,-9783,-1.67936325073242
187,181688,191488,-9800,-1.68228149414062
188,182690,192512,-9822,-1.68605804443359
189,183669,193536,-9867,-1.69378280639648
190,184678,194560,-9882,-1.69635772705078
191,185654,195584,-9930,-1.70459747314453
192,186647,196608,-9961,-1.70991897583008
193,187614,197632,-10018,-1.71970367431641
194,188590,198656,-10066,-1.72794342041016
195,189594,199680,-10086,-1.73137664794922
196,190594,200704,-10110,-1.73549652099609
