raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
389396.000000,210.336411,0.210314,0.086078
356631.000000,203.645935,0.210314,0.300628
323863.000000,199.676147,0.278485,0.233763
294002.000000,187.876938,0.278485,0.248131
261014.000000,189.694031,0.372925,0.249236
228889.000000,189.842484,0.372925,0.520949
193647.000000,199.266220,0.308785,0.222544
156714.000000,211.922455,0.308785,0.327158
120298.000000,217.608093,0.098791,0.257562
82897.000000,224.338165,0.098791,0.114462
49346.000000,216.100571,0.106167,0.433782
15233.000000,210.930084,0.106167,0.067562
2080529.000000,200.866867,0.264557,0.034746
2047505.000000,197.062759,0.264557,0.222827
2013634.000000,198.486755,0.326644,0.453387
1979928.000000,198.658188,0.326644,0.281352
1944675.000000,204.093704,0.251554,0.282188
1912941.000000,197.170105,0.251554,0.227457
1880236.000000,195.198624,0.307787,0.301643
1850136.000000,186.730392,0.307787,0.325518
1819917.000000,180.852890,0.437055,0.678969
1788672.000000,181.522797,0.437055,0.249273
1757305.000000,182.644974,0.459984,0.334870
1722832.000000,193.838318,0.459984,0.565470
1690034.000000,196.376938,0.335352,0.499771
1654464.000000,205.888123,0.335352,0.426094
1620202.000000,208.770309,0.222510,0.343545
1585602.000000,210.395050,0.222510,0.293643
1551141.000000,210.930237,0.185135,0.448265
1517996.000000,206.086121,0.185135,0.152086
1482418.000000,210.253387,0.186950,0.248434
1448835.000000,206.845917,0.186950,0.174668
1414894.000000,204.833939,0.205999,0.288171
1382586.000000,199.128845,0.205999,0.234681
1351012.000000,192.212158,0.314796,0.210307
1318664.000000,191.385040,0.314796,0.257547
1287442.000000,187.266708,0.401339,0.288691
1251856.000000,198.505615,0.401339,0.653787
1217001.000000,204.587814,0.270669,0.432673
1179540.000000,216.034317,0.270669,0.417488
1143612.000000,219.355896,0.121331,0.277230
1109410.000000,214.372437,0.121331,0.202098
1075441.000000,210.275284,0.167441,0.136305
1043911.000000,199.416489,0.167441,0.204968
1010709.000000,197.490433,0.304075,0.140100
978812.000000,192.598740,0.304075,0.265950
944172.000000,197.717438,0.297788,0.324152
909282.000000,203.280807,0.297788,0.462182
876749.000000,199.053207,0.260655,0.293066
844237.000000,196.663086,0.260655,0.146425
814309.000000,186.606583,0.376420,0.320221
782990.000000,184.675186,0.376420,0.386505
754043.000000,177.144897,0.518666,0.152156
722893.000000,178.704117,0.518666,0.449413
691572.000000,181.741867,0.496163,0.554032
658332.000000,189.383530,0.496163,0.441277
623533.000000,200.537384,0.328172,0.666668
590491.000000,201.737854,0.328172,0.421631
555100.000000,209.178665,0.202303,0.260028
522044.000000,206.571274,0.202303,0.444556
