omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
650.015259,648.925354,0.536026,0.588186
650.015259,650.818970,0.285262,0.305639
650.015259,651.571655,0.285262,0.327508
650.015259,651.766968,0.084532,0.271345
650.015259,652.085999,0.084532,0.236265
650.015259,651.522888,0.121140,0.234250
650.015259,650.343384,0.121140,0.394331
650.015259,650.003723,0.163082,-0.049983
650.015259,650.604980,0.163082,-0.053360
650.015259,650.577454,0.169153,-0.031079
650.015259,651.585205,0.169153,0.346266
650.015259,653.046204,0.037113,0.398924
650.015259,651.744385,0.037113,-0.117131
650.015259,649.815369,0.050988,0.102032
650.015259,648.382629,0.050988,0.157576
650.015259,648.495361,0.485770,0.346581
650.015259,647.560730,0.485770,0.515249
650.015259,647.696106,0.523007,0.502201
650.015259,647.073792,0.523007,0.478563
650.015259,647.756775,0.434322,0.175275
650.015259,649.950623,0.434322,0.442343
650.015259,652.521790,0.183904,0.476131
650.015259,652.032104,0.183904,0.504315
650.015259,651.830933,0.082714,0.179269
650.015259,650.576477,0.082714,0.013839
650.015259,650.118530,0.081483,-0.110566
650.015259,650.306152,0.081483,0.170154
650.015259,650.956909,0.230065,0.277057
650.015259,649.775269,0.230065,0.339331
650.015259,650.142090,0.223988,0.231744
650.015259,652.102661,0.223988,0.061757
650.015259,652.038818,-0.148398,-0.372910
650.015259,650.448120,-0.148398,-0.282023
650.015259,648.562805,0.178765,0.156481
650.015259,648.641235,0.178765,0.123504
650.015259,647.628906,0.358623,0.187392
650.015259,646.720032,0.358623,0.282013
650.015259,646.843933,0.481069,0.396257
650.015259,647.332886,0.481069,0.465405
650.015259,648.954651,0.551925,0.748920
650.015259,651.451355,0.551925,0.544221
650.015259,650.733826,0.077994,0.179446
650.015259,651.222046,0.077994,0.047059
650.015259,651.251282,0.057431,-0.073816
650.015259,651.804932,0.057431,0.212614
650.015259,650.637512,0.163826,0.087662
650.015259,649.231750,0.163826,0.240935
650.015259,649.183594,0.265545,0.432500
650.015259,649.601990,0.265545,0.268931
650.015259,651.414368,0.181704,0.243691
650.015259,652.890259,0.181704,0.058761
650.015259,650.634705,0.090472,0.300475
650.015259,648.992004,0.090472,0.169920
650.015259,647.623901,0.387188,0.179178
650.015259,647.620911,0.387188,0.096901
650.015259,647.770447,0.470214,0.231251
650.015259,647.691162,0.470214,0.536611
650.015259,648.534973,0.551889,0.616660
650.015259,648.977051,0.551889,0.753157
650.015259,650.545837,0.276685,0.348243
650.015259,651.395996,0.276685,0.349106
650.015259,651.690979,0.089270,0.240860
650.015259,652.028625,0.089270,0.221450
650.015259,651.868408,0.095497,0.228818
650.015259,650.816345,0.095497,0.044515
650.015259,650.226746,0.130953,0.025910
650.015259,650.241272,0.130953,-0.030179
650.015259,650.482849,0.173362,-0.078842
650.015259,650.629395,0.173362,0.363292
650.015259,652.472900,0.151648,0.151665
650.015259,651.425232,0.151648,0.042883
650.015259,650.452332,0.041896,0.120235
650.015259,649.121704,0.041896,-0.011568
650.015259,648.914063,0.433115,0.295118
650.015259,647.882629,0.433115,0.433189
650.015259,647.969482,0.487488,0.457925
650.015259,647.599487,0.487488,0.441970
650.015259,648.369324,0.384203,0.223755
650.015259,650.433105,0.384203,0.497278
650.015259,652.668945,0.143243,0.400944
650.015259,651.972839,0.143243,0.093828
650.015259,651.193909,0.107871,-0.012072
650.015259,650.735474,0.107871,0.006233
650.015259,650.446838,0.035539,0.139762
650.015259,650.172546,0.035539,0.071493
650.015259,650.671936,0.280413,0.303212
650.015259,649.717590,0.280413,0.260125
650.015259,649.583069,0.295319,0.285274
650.015259,651.364563,0.295319,0.237561
650.015259,651.746277,-0.052547,-0.126278
650.015259,650.759827,-0.052547,-0.081534
650.015259,649.095703,0.148871,0.209465
650.015259,648.862976,0.148871,0.005594
650.015259,647.698975,0.320171,0.216045
650.015259,646.813232,0.320171,0.247694
650.015259,647.158569,0.497758,0.406127
650.015259,647.478699,0.497758,0.448367
650.015259,649.440918,0.547992,0.547649
650.015259,651.951294,0.547992,0.465659
650.015259,650.909790,0.017664,0.215815
650.015259,650.880859,0.017664,0.182230
650.015259,650.470032,0.093097,-0.055454
650.015259,650.192810,0.093097,0.241455
650.015259,649.662964,0.308970,0.292352
650.015259,650.167908,0.308970,0.305533
650.015259,650.190674,0.158692,0.148378
650.015259,649.648438,0.158692,0.157815
650.015259,650.865173,0.197746,0.267870
650.015259,653.009521,0.197746,0.244949
650.015259,651.240234,0.097817,0.157095
650.015259,649.958191,0.097817,0.059313
650.015259,649.136658,0.266941,0.092098
650.015259,648.910706,0.266941,0.004661
650.015259,648.301819,0.324921,0.166665
650.015259,647.151001,0.324921,0.460141
650.015259,648.149170,0.576127,0.594527
650.015259,647.979431,0.576127,0.510090
650.015259,650.001953,0.399545,0.400224
650.015259,651.142090,0.399545,0.392319
650.015259,651.831543,0.143482,0.334910
650.015259,652.267029,0.143482,0.288952
650.015259,651.701477,0.083061,0.257334
650.015259,650.968933,0.083061,0.098491
650.015259,650.492126,0.101836,-0.050495
650.015259,650.749146,0.101836,-0.158488
650.015259,650.640442,0.154591,-0.294600
650.015259,650.762817,0.154591,0.359932
650.015259,652.569519,0.135695,0.328263
650.015259,651.551025,0.135695,-0.029311
650.015259,650.608398,0.006382,0.107881
650.015259,648.953186,0.006382,0.126134
650.015259,649.331604,0.424698,0.263249
650.015259,648.452515,0.424698,0.489065
650.015259,647.578613,0.429991,0.112943
650.015259,646.934265,0.429991,0.405412
650.015259,647.372803,0.487745,0.372337
650.015259,650.012024,0.487745,0.249585
650.015259,652.077820,0.165206,0.461531
650.015259,651.861145,0.165206,0.275235
650.015259,651.489136,0.110742,0.020275
650.015259,650.843689,0.110742,0.038389
650.015259,650.206421,0.022119,0.026825
650.015259,650.175110,0.022119,0.081737
650.015259,650.426331,0.261409,0.276818
650.015259,649.608459,0.261409,0.323128
650.015259,649.765991,0.290963,0.362232
650.015259,651.217346,0.290963,0.233296
650.015259,651.171021,-0.034299,-0.228157
650.015259,650.500549,-0.034299,-0.128463
650.015259,648.859436,0.195695,-0.041617
650.015259,648.341431,0.195695,0.343216
650.015259,647.469482,0.413867,0.217357
650.015259,647.175171,0.413867,0.690276
650.015259,647.459778,0.424122,0.359404
650.015259,647.661438,0.424122,0.416240
650.015259,649.349854,0.545591,0.583869
650.015259,652.150146,0.545591,0.538680
650.015259,651.222168,-0.012549,0.189114
650.015259,651.479309,-0.012549,-0.123646
650.015259,650.977234,0.052079,-0.101880
650.015259,651.185303,0.052079,-0.023551
650.015259,650.397522,0.185975,0.298361
650.015259,649.179016,0.185975,0.309472
650.015259,649.355347,0.276060,0.217491
650.015259,649.058777,0.276060,0.269742
650.015259,650.624146,0.268441,0.298771
650.015259,652.771362,0.268441,0.321799
650.015259,650.876343,0.092223,0.295686
650.015259,649.543213,0.092223,0.246301
650.015259,648.143921,0.330915,0.151098
650.015259,648.316772,0.330915,0.031778
650.015259,648.032532,0.397978,0.199449
650.015259,647.732117,0.397978,0.594922
650.015259,648.605652,0.543754,0.594566
650.015259,648.549927,0.543754,0.663368
650.015259,650.731995,0.314888,0.436096
650.015259,651.559998,0.314888,0.340624
650.015259,651.945740,0.083412,0.207110
650.015259,653.060425,0.083412,0.167005
650.015259,651.666565,0.013013,0.181512
650.015259,651.050232,0.013013,0.035447
650.015259,649.849915,0.146237,-0.021201
650.015259,649.941467,0.146237,-0.080868
650.015259,649.781677,0.225530,0.341950
650.015259,650.507263,0.225530,0.360041
650.015259,652.671753,0.160295,0.179755
650.015259,651.193970,0.160295,-0.007399
650.015259,649.920410,0.087722,0.189961
650.015259,648.637268,0.087722,0.043793
650.015259,649.544250,0.443788,0.328204
650.015259,648.264954,0.443788,0.454834
650.015259,647.602417,0.458650,0.648839
650.015259,647.068604,0.458650,0.477702
650.015259,647.857849,0.433505,0.377616
650.015259,649.787415,0.433505,0.154816
650.015259,652.100586,0.196338,0.320389
650.015259,651.888916,0.196338,0.089658
