Id_A,Iq_A,pos_mech_rad,Uq
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
0.000000,0.000000,0.065272,0.000000
