omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
-0.003098,0.153349,0.153381,13.093713
-0.005769,0.150947,0.151057,13.063368
-0.003122,0.150267,0.150299,13.033824
-0.001861,0.151254,0.151265,13.009879
-0.001881,0.162468,0.162479,13.018638
-0.002951,0.166612,0.166639,12.996353
-0.007197,0.168921,0.169075,12.988548
-0.007040,0.170867,0.171012,12.971842
-0.008811,0.172620,0.172845,12.982359
-0.004968,0.171036,0.171108,13.026308
-0.003202,0.160670,0.160702,13.086280
-0.003268,0.158771,0.158804,13.075835
-0.003671,0.152998,0.153042,13.063493
-0.005080,0.152485,0.152570,13.044335
-0.005212,0.150392,0.150482,13.040633
-0.002278,0.148734,0.148751,13.035128
-0.001573,0.154244,0.154252,13.051573
-0.002270,0.155708,0.155724,13.039201
-0.001574,0.157767,0.157775,13.034705
-0.001254,0.158299,0.158304,13.065421
0.000846,0.145777,0.145779,13.074996
0.004423,0.147460,0.147526,13.054024
0.004062,0.149105,0.149160,13.016922
-0.000344,0.148909,0.148910,13.004680
-0.005019,0.160938,0.161017,12.989658
-0.008035,0.162229,0.162428,12.974804
-0.004980,0.168273,0.168347,12.975378
-0.008363,0.168623,0.168830,12.981020
-0.009438,0.172376,0.172634,13.016668
-0.009274,0.176236,0.176479,13.071445
-0.006084,0.157946,0.158063,13.052936
-0.003067,0.152181,0.152212,13.058562
-0.001003,0.153715,0.153719,13.049561
0.003405,0.150891,0.150929,13.062771
-0.002362,0.147418,0.147437,13.050332
-0.003521,0.152539,0.152580,13.025290
-0.006855,0.157296,0.157446,13.026922
-0.002897,0.160977,0.161003,13.013998
-0.005019,0.159596,0.159675,13.047667
-0.001860,0.159746,0.159757,13.093907
-0.000852,0.150975,0.150977,13.056989
0.000952,0.148560,0.148563,13.031151
-0.001012,0.154516,0.154520,13.009296
-0.003077,0.161231,0.161260,13.009002
0.002175,0.163459,0.163474,13.000120
-0.001606,0.162071,0.162079,12.981060
-0.005676,0.169217,0.169312,13.004014
-0.011827,0.171333,0.171740,13.005839
-0.013896,0.166812,0.167390,13.046573
-0.008064,0.163524,0.163723,13.064437
-0.003950,0.157575,0.157625,13.058998
-0.001661,0.153587,0.153596,13.071435
-0.000491,0.151363,0.151364,13.061155
-0.001778,0.154226,0.154236,13.040379
-0.003810,0.154958,0.155005,13.037701
0.000129,0.155449,0.155449,13.041919
0.000552,0.159534,0.159535,13.039630
-0.001040,0.155560,0.155564,13.058017
-0.002007,0.150899,0.150913,13.094153
-0.002692,0.150425,0.150449,13.074260
-0.003194,0.147951,0.147985,13.044839
-0.002925,0.147105,0.147134,13.012430
0.000211,0.160659,0.160659,13.022650
-0.001170,0.164557,0.164561,13.004297
-0.006720,0.169736,0.169869,12.998512
-0.007611,0.169137,0.169308,12.978472
-0.011010,0.174234,0.174582,12.990294
-0.003858,0.168403,0.168447,13.033001
-0.003804,0.159905,0.159950,13.066190
-0.005450,0.159470,0.159563,13.070151
-0.004828,0.154578,0.154653,13.073666
-0.005202,0.151098,0.151187,13.047515
-0.006607,0.148588,0.148735,13.042166
0.001811,0.147620,0.147631,13.036754
-0.001069,0.153484,0.153487,13.056085
-0.001859,0.153570,0.153581,13.038006
-0.001939,0.154878,0.154890,13.036833
-0.002309,0.156034,0.156051,13.064679
0.001098,0.144257,0.144261,13.064455
0.005364,0.148221,0.148318,13.046656
0.003195,0.152348,0.152382,13.023396
0.001203,0.153379,0.153383,13.011164
-0.006012,0.162869,0.162980,12.982803
-0.009431,0.165138,0.165407,12.969067
-0.009517,0.170082,0.170348,12.973342
-0.009204,0.170581,0.170829,12.979859
-0.011419,0.172784,0.173161,13.018931
-0.008967,0.175167,0.175396,13.069846
-0.004760,0.156783,0.156855,13.052627
-0.002936,0.146812,0.146841,13.061781
0.000374,0.149765,0.149765,13.053331
0.002092,0.149586,0.149600,13.051383
-0.002258,0.151345,0.151362,13.040114
-0.005645,0.156357,0.156459,13.032615
-0.007268,0.157219,0.157387,13.028709
-0.005464,0.155732,0.155828,13.015196
-0.005433,0.157388,0.157482,13.049274
0.000581,0.160659,0.160660,13.105231
-0.000666,0.148723,0.148724,13.055770
0.005342,0.143830,0.143929,13.027853
-0.000293,0.160274,0.160274,13.008087
-0.003041,0.164047,0.164075,13.006949
0.001330,0.164630,0.164635,13.000052
-0.003475,0.160978,0.161015,12.982280
-0.005411,0.170030,0.170117,12.999042
-0.012056,0.175502,0.175916,12.996038
-0.015290,0.168730,0.169421,13.044724
-0.010024,0.166923,0.167224,13.063086
-0.002328,0.161103,0.161120,13.068316
-0.004055,0.153959,0.154013,13.076326
-0.004149,0.152987,0.153043,13.068389
-0.001705,0.144345,0.144355,13.058861
-0.002302,0.149926,0.149944,13.039158
0.002075,0.150198,0.150213,13.042313
0.001689,0.157746,0.157755,13.046907
-0.000617,0.153105,0.153106,13.060109
-0.003058,0.155979,0.156009,13.097414
-0.003126,0.151566,0.151598,13.067141
-0.003279,0.149551,0.149587,13.035379
-0.004105,0.146460,0.146517,13.013410
-0.000500,0.159444,0.159445,13.020247
-0.001376,0.164223,0.164229,13.001415
-0.006310,0.169597,0.169714,12.985647
-0.007874,0.169431,0.169614,12.975015
-0.007687,0.169615,0.169789,12.982333
-0.006411,0.167560,0.167683,13.025260
-0.004796,0.161176,0.161248,13.072543
-0.005337,0.164149,0.164235,13.073951
-0.005055,0.156564,0.156646,13.071621
-0.005251,0.152923,0.153013,13.055376
-0.004709,0.151416,0.151489,13.039665
-0.001025,0.147780,0.147783,13.040180
-0.000512,0.153434,0.153435,13.055247
-0.001788,0.152670,0.152680,13.034175
-0.003627,0.155544,0.155586,13.026141
-0.001211,0.154433,0.154438,13.056811
0.001373,0.150789,0.150795,13.064961
0.004172,0.149328,0.149386,13.062436
0.002945,0.150042,0.150071,13.023534
0.002248,0.152490,0.152507,13.018033
-0.006232,0.158037,0.158160,13.001709
-0.006090,0.158940,0.159056,12.985256
-0.006409,0.164183,0.164308,12.974591
-0.007116,0.166528,0.166680,12.976742
-0.007764,0.171396,0.171572,13.010550
-0.008347,0.175535,0.175733,13.062941
-0.008984,0.160900,0.161151,13.045588
-0.002992,0.152523,0.152552,13.056466
-0.000667,0.150894,0.150896,13.048044
0.002142,0.151330,0.151345,13.032942
-0.001805,0.154399,0.154409,13.022973
-0.006161,0.160718,0.160836,13.030257
-0.006891,0.162076,0.162222,13.031250
-0.007929,0.156145,0.156346,13.026834
-0.003459,0.156624,0.156662,13.057436
0.001719,0.153283,0.153293,13.092654
0.001805,0.148193,0.148204,13.058407
0.004741,0.145949,0.146026,13.019434
-0.000311,0.156438,0.156439,12.994723
-0.003206,0.162064,0.162096,12.985463
0.000350,0.170058,0.170059,12.983002
-0.005616,0.165861,0.165956,12.983060
-0.005906,0.172937,0.173038,13.001023
-0.012793,0.178474,0.178932,13.001603
-0.014603,0.168449,0.169080,13.044508
-0.008787,0.165719,0.165952,13.061069
-0.006181,0.151443,0.151569,13.069682
-0.005902,0.151855,0.151970,13.081340
0.000289,0.149182,0.149183,13.059282
-0.001656,0.151302,0.151311,13.044168
-0.003181,0.154582,0.154615,13.040560
0.000265,0.155337,0.155337,13.040774
0.000016,0.154733,0.154733,13.039660
-0.001737,0.152096,0.152106,13.055906
-0.001703,0.150661,0.150670,13.093840
0.001844,0.154326,0.154337,13.069572
-0.002073,0.149127,0.149142,13.035998
-0.003462,0.144738,0.144780,13.003631
-0.000378,0.161672,0.161673,13.014131
-0.003250,0.167537,0.167568,12.992997
-0.006969,0.165936,0.166082,12.987017
-0.008503,0.168499,0.168713,12.978575
-0.008095,0.170274,0.170466,12.993608
-0.004554,0.169089,0.169151,13.030347
-0.002587,0.159752,0.159773,13.080999
-0.002587,0.157465,0.157486,13.073324
-0.002634,0.155459,0.155481,13.058527
-0.005676,0.154336,0.154440,13.045034
-0.007344,0.152104,0.152281,13.028086
-0.003807,0.148865,0.148913,13.031460
-0.000837,0.153966,0.153969,13.055231
-0.002694,0.157537,0.157560,13.030416
-0.003192,0.161364,0.161396,13.030540
-0.003357,0.164323,0.164357,13.075437
0.000399,0.147291,0.147291,13.080455
0.004553,0.145728,0.145799,13.056933
0.003003,0.150485,0.150515,13.022764
0.000246,0.148018,0.148018,13.023011
-0.004665,0.158688,0.158757,13.002068
-0.006824,0.160460,0.160605,12.967330
-0.008877,0.167987,0.168221,12.967829
-0.009402,0.170371,0.170630,12.968857
-0.013146,0.173943,0.174439,13.008055
-0.010830,0.178408,0.178737,13.065596
-0.006695,0.160000,0.160140,13.050544
