dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.058008,0.235986,91.319084,92.274467
0.095169,0.382311,106.840134,95.892906
-0.060439,0.509895,105.700493,102.286385
-0.042949,-0.020353,104.861259,105.577560
-0.043335,0.032037,108.757019,106.711029
-0.160924,-0.125427,120.022301,112.892982
0.020615,0.210785,110.734108,116.477226
0.121011,0.099406,100.727676,113.050781
-0.297614,0.092511,116.306549,111.984673
-0.095674,0.123983,110.794312,114.396133
0.140671,-0.115973,95.694069,108.619278
-0.032843,0.131587,104.562347,104.021675
0.017053,0.134548,104.502441,103.855453
0.081000,0.171052,93.956367,100.694214
-0.063546,0.168023,92.218613,95.473244
-0.238435,0.219149,99.105835,94.325287
0.342119,0.365640,101.747513,96.931541
-0.031487,0.209437,92.754364,96.053215
0.003261,0.296793,99.115372,94.498650
0.057916,0.312491,110.435486,99.852203
-0.117896,0.463568,100.126266,103.084366
-0.048627,0.242128,99.344254,100.763031
0.065935,0.263112,107.612610,103.446365
0.004356,0.190062,102.825165,106.143982
0.145947,0.202437,92.821121,102.337372
0.132539,0.132694,96.712112,98.041656
-0.307122,0.263220,100.965500,98.560272
-0.077787,0.260475,91.495514,97.026459
-0.013552,0.267915,83.951950,91.208969
-0.072268,0.085806,99.115372,90.494194
-0.013634,0.368335,93.593597,92.489250
0.126833,0.496254,82.387924,88.128204
0.028170,0.264344,94.432831,87.013107
-0.307959,0.310161,97.370148,91.536835
0.002809,0.400064,98.209381,94.257301
0.080544,0.252069,93.059540,93.856400
-0.191065,0.372452,103.540421,97.409386
0.252590,0.093839,106.363297,103.880890
-0.010079,0.202191,95.148087,103.651237
-0.037514,-0.052800,105.218887,102.117172
0.046998,0.311223,112.228394,107.200661
0.041200,0.122813,97.131729,107.284889
0.039269,0.168728,102.100372,103.586136
0.162854,0.145733,109.291077,105.507828
0.130633,0.051183,102.949142,106.727631
-0.308757,0.354112,97.436905,105.153275
-0.002345,0.224356,101.213455,102.586906
-0.060434,0.101113,108.633041,103.957359
0.023951,0.162890,99.105835,103.544815
-0.043217,-0.090200,97.732544,99.389938
-0.302672,0.040616,110.435486,101.474846
-0.189202,0.213361,102.710724,104.525742
-0.011192,0.203723,93.240738,102.201279
0.310481,0.057585,105.457306,101.900581
-0.056728,0.306455,104.207993,104.076782
0.128641,0.162390,95.157623,101.674431
-0.123129,0.289669,94.375610,97.633667
-0.062754,0.161472,101.022720,97.879433
0.055051,0.152013,95.815659,98.326416
-0.166904,0.038843,85.926056,93.318748
0.087390,0.303442,96.893311,90.423347
0.106596,0.249425,101.685524,95.488907
-0.319066,0.329050,89.101791,95.182335
0.009260,0.371089,99.167824,93.584648
0.037101,0.362734,108.995438,100.250488
-0.046893,0.194463,104.022026,105.448036
0.032356,0.441398,101.685524,105.786430
0.072129,0.155445,112.528801,108.046318
0.004715,0.302162,117.082596,113.515114
-0.092376,0.197240,103.545189,113.462875
-0.001613,0.140293,103.187561,109.904564
0.225485,-0.090614,121.998787,111.923500
0.011512,0.153051,101.509094,111.072586
0.098283,0.047752,96.354485,103.661057
-0.153745,0.318700,104.622841,101.117859
-0.049171,0.164158,101.928711,101.021988
-0.178770,-0.156568,91.857910,97.588417
0.027922,0.170972,97.851753,93.606621
0.110992,0.229224,108.518600,94.725555
0.111107,0.174855,97.551346,96.315102
-0.035750,0.222229,91.137886,94.280563
-0.043548,0.320906,105.104446,94.613052
0.097566,0.253094,107.259750,100.624596
-0.094103,0.356373,92.458725,100.599411
0.066829,0.262887,101.804733,100.956551
-0.116060,-0.109651,109.777451,105.818260
-0.226856,0.215956,96.354485,105.164597
0.153374,0.276027,91.562271,99.803993
0.012116,0.156136,98.152161,96.797348
0.057229,0.177698,98.991394,97.496330
0.004381,0.306935,88.562965,94.838844
0.157398,0.127314,85.268021,88.611603
-0.111375,0.501883,98.452568,89.352104
-0.091935,0.073648,87.904930,90.264664
0.091494,0.338493,83.351135,85.505508
0.046210,0.276773,96.654892,86.846466
-0.092884,0.370885,95.272064,91.313484
0.059591,0.244332,89.645386,91.744957
-0.073712,0.235705,91.080666,91.069031
-0.100728,0.475468,102.286339,95.625099
0.058300,0.327547,101.327896,101.264389
-0.084206,0.158680,92.277527,100.215530
-0.001721,0.235588,108.039383,101.147972
0.061662,0.243818,107.378960,107.046616
0.003298,0.280585,95.274452,105.331390
-0.044345,0.275326,103.542809,102.891434
-0.330197,0.204923,107.917786,105.966583
0.068521,0.117042,102.224350,106.618530
0.069863,0.139002,96.890930,103.128830
0.141605,0.144676,103.724007,101.987961
-0.110634,0.236326,106.120110,104.165245
-0.037535,0.250616,96.232895,102.448776
0.043228,0.184258,98.690987,99.358856
0.181106,0.316470,112.590790,103.323044
0.299816,0.292124,98.211769,104.616112
0.143028,0.119977,95.872879,100.398773
-0.433846,0.307348,112.593178,102.656166
-0.012338,0.288838,115.826134,107.847321
-0.033074,0.199722,90.959076,102.954788
-0.090585,0.225496,96.294884,97.717522
0.052585,0.187058,101.325516,97.813095
0.034606,0.131135,92.457535,96.747337
-0.131533,0.209020,85.028412,90.579002
-0.047309,0.357505,99.169022,90.394356
0.050584,0.361100,98.030571,94.784683
0.005943,0.218459,88.503365,93.051254
0.035586,0.327354,101.685524,93.751846
0.105871,0.296412,107.858185,100.553375
-0.060206,0.150046,101.267105,104.529503
-0.021070,0.278077,104.262833,105.489586
0.097157,0.251333,117.205383,109.846870
-0.029771,0.168758,116.307144,115.814041
0.177435,0.178231,103.543999,114.630203
0.042964,0.048468,111.213326,111.278038
-0.230188,0.253922,115.827324,114.114525
0.024734,0.040585,98.630196,111.143059
-0.015092,0.093850,100.187958,104.195168
-0.036477,0.167437,106.779343,103.743782
0.072324,0.167354,97.911209,102.216774
-0.238586,-0.114466,90.420959,96.948486
-0.130110,0.234592,97.551346,93.919434
-0.025523,0.335583,103.120804,96.110817
0.185139,0.181232,96.473694,96.766319
-0.179532,0.315836,92.935562,94.298576
0.097636,0.347153,109.119415,97.263969
-0.053005,0.469230,102.758408,102.303558
-0.083469,0.151803,96.588135,101.486061
0.015095,0.281920,108.156204,102.079666
0.155788,0.285049,104.494095,105.358330
-0.050019,0.193683,95.520020,104.017822
0.093417,0.125692,93.955994,99.003662
0.255836,0.080684,101.261139,98.030960
-0.050064,0.274343,97.074509,98.210953
-0.213064,0.453146,85.506439,93.601959
0.094699,0.173432,96.168518,89.632492
-0.089581,0.274872,95.872879,91.936592
0.110434,0.439732,83.236694,90.015488
0.120552,0.202415,88.920593,86.387878
0.034858,0.454182,101.566315,89.773293
0.093613,0.455108,100.374222,93.622101
0.097628,0.347155,92.515945,93.727219
0.144852,0.148111,98.934174,95.724907
0.056181,0.402975,108.394623,101.857910
0.095593,0.232618,101.633072,104.764359
-0.120449,0.262815,97.608566,101.903748
-0.036550,0.208613,110.731125,104.931610
0.079728,0.210493,103.063583,108.171997
-0.141152,0.100435,96.654892,104.385239
0.315742,0.215615,108.032227,104.247894
-0.014983,0.108238,107.917786,106.786972
-0.307374,0.309179,100.603104,105.580261
0.011932,0.206825,99.592209,103.024826
0.128426,-0.089621,106.182098,102.993301
-0.012312,0.152989,103.244781,104.284523
0.075888,0.178877,94.251633,100.658394
-0.213001,-0.159065,106.363297,99.672401
-0.167453,0.264689,108.156204,104.282471
-0.027465,0.253196,104.198456,103.485588
