dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
0.000327,0.125746,22.230148,22.787342
0.027880,0.126503,20.132065,22.547098
0.064277,0.108077,23.250580,22.429440
0.003188,0.140266,21.152496,21.827946
0.145431,0.055249,21.696091,21.387600
-0.356677,0.324729,21.991730,21.005526
-0.160300,0.232402,21.038055,22.084888
-0.047756,0.120415,21.095276,21.507183
-0.104235,0.173545,20.370483,21.170410
0.110435,0.115314,21.514893,21.191351
-0.073621,0.223073,20.904541,21.465811
-0.040590,0.134302,22.115707,21.614014
0.000133,0.129539,21.810532,21.919449
0.028477,0.085185,22.945404,22.344490
-0.119917,0.314464,23.069382,22.640425
0.103373,-0.104570,22.592545,22.755013
-0.029173,0.187860,23.612976,22.785700
0.028333,0.169006,22.296906,22.579147
-0.035450,0.386997,21.505356,22.162411
0.045181,0.132828,20.313263,21.585819
0.074482,-0.141229,19.826889,20.775993
0.044513,0.150146,19.836426,19.858795
0.028094,0.055526,17.375946,18.851234
0.062388,0.017404,17.013550,18.106537
0.137236,0.395465,17.023087,17.379852
0.149289,0.297319,17.919540,16.900654
0.143057,0.164231,17.433167,16.721561
0.120101,0.274971,19.960403,16.963888
-0.021126,0.233956,19.235611,17.285368
-0.037333,0.198970,18.815994,17.692085
-0.054268,0.245569,20.914078,18.428965
0.033777,0.342476,20.132065,19.077236
-0.096077,0.192972,18.215179,19.493607
0.091654,0.348780,18.453598,20.057648
0.009221,0.268099,20.370483,20.393539
0.165164,0.357686,18.396378,20.426285
-0.066375,0.188704,18.339157,20.286266
-0.067740,0.182119,19.655228,20.029133
-0.010612,0.233289,19.292831,19.769154
-0.025767,0.252098,18.701553,19.392050
-0.077193,0.187148,17.852783,19.114025
0.055320,0.255009,17.614365,18.839417
-0.275559,0.191545,17.919540,19.154577
0.123839,0.300311,21.152496,19.779211
-0.123256,0.200779,20.666122,19.816406
-0.036199,0.215521,21.629333,20.709419
-0.002145,0.217790,20.675659,21.188442
-0.030862,0.204858,22.592545,22.099577
0.123171,0.154517,22.344589,22.907347
-0.004389,0.176869,22.411346,23.649920
0.150841,0.114310,24.509430,24.361282
0.046284,0.132448,22.897720,24.617662
0.088992,0.111402,22.888184,24.634270
0.156189,0.011411,21.810532,24.256325
0.072752,0.081530,23.670197,23.766897
0.165822,-0.043229,22.411346,23.283627
0.279202,-0.154981,21.696091,22.555395
0.131217,0.085483,20.971298,21.793655
0.213084,-0.057646,20.666122,21.001091
0.165006,-0.152033,21.152496,20.752232
0.030849,0.076322,20.189285,20.393965
0.037846,-0.130237,21.390915,20.603804
-0.037869,0.309352,24.204254,20.857384
-0.008847,0.034822,21.753311,20.925041
-0.032428,0.094616,23.136139,21.139250
-0.041703,0.104145,20.370483,21.143316
-0.033486,0.088962,20.313263,21.030514
0.000183,0.350640,19.960403,20.677828
-0.008169,0.199870,20.790100,20.293026
-0.025181,0.205633,19.111633,19.694532
-0.055160,0.162244,17.194748,18.893295
-0.056879,0.178715,18.215179,18.114885
-0.063778,0.179094,17.614365,17.260990
0.086967,0.414558,16.546249,16.367031
0.008159,0.249428,14.982224,15.561077
0.168397,0.433046,15.335083,15.093018
0.118601,0.288213,15.401840,14.549562
0.072457,0.226324,15.525818,14.247202
0.072389,0.208537,14.619827,14.012982
-0.201101,-0.034449,15.096664,13.936136
0.014428,0.319006,15.153885,13.954889
0.035011,0.300164,15.335083,14.462431
-0.027918,0.195620,17.013550,15.236607
0.072011,0.258411,16.956329,16.065519
0.426522,0.387476,18.281937,16.848614
0.086284,0.221422,18.396378,17.593605
-0.105762,0.191243,18.815994,18.128014
-0.056781,0.227942,16.899109,18.555328
-0.011633,0.224067,22.950172,18.916374
0.184310,0.235410,17.738342,18.684189
-0.214057,0.184083,16.717911,18.291658
-0.144994,0.250112,18.157959,17.963224
0.015332,0.234407,15.940666,17.531494
-0.006176,0.264552,17.914772,17.293322
-0.107824,0.257186,16.002655,17.150574
-0.031744,0.239585,16.660690,17.150389
-0.104679,0.305936,18.758774,17.435122
0.156850,0.135341,18.572807,18.195724
0.179282,0.136096,20.494461,19.079557
0.242739,0.065781,22.468567,20.373003
-0.247434,0.321988,23.970604,21.875856
-0.053762,0.217832,23.732185,23.320816
-0.069870,0.190003,32.057762,25.018782
0.117670,-0.044340,25.882721,26.323601
-0.123573,0.227709,31.819344,27.042185
-0.018668,0.076045,25.649071,27.273211
-0.020361,0.061486,24.743080,26.703510
-0.015053,0.062996,23.727417,25.889269
-0.005672,0.094886,24.328232,25.052074
-0.067239,0.412383,23.908615,24.176517
0.005002,0.047264,23.307800,23.730562
0.032619,-0.113191,23.069382,23.030476
0.037581,0.137542,23.007393,22.810596
0.032021,0.071456,23.789406,22.478695
0.006210,-0.099825,21.634102,22.592419
0.089527,0.148310,22.768974,22.771154
0.198585,0.328691,22.468567,22.753231
0.117787,0.053913,22.950172,22.857162
0.164690,0.064646,22.292137,22.749331
0.131899,0.112310,22.468567,22.955379
0.127849,0.195425,20.551682,23.085251
-0.012090,0.111531,21.572113,22.799734
-0.116416,0.056813,21.810532,22.310986
-0.167746,0.098068,22.530556,21.734432
-0.057364,0.154325,19.354820,20.841953
-0.259794,0.101378,19.178391,20.076105
-0.051384,0.169298,19.111633,19.347588
-0.117518,0.184253,17.738342,18.633450
0.058755,0.264808,18.095970,18.188986
0.010897,0.253177,17.437935,17.615232
-0.110351,0.210464,17.795563,17.601553
-0.003698,0.254655,21.510124,17.806501
-0.087608,0.253548,19.531250,17.738127
-0.291147,0.299689,19.235611,18.254688
-0.016443,0.232950,19.354820,18.523664
0.247553,0.130896,18.754005,19.202719
-0.019576,0.236832,19.831657,19.822424
-0.042869,0.213539,22.110939,20.810577
0.007594,0.207030,21.033287,21.173752
-0.038508,0.193814,20.976067,21.241480
0.043969,0.150306,21.152496,21.178764
0.071410,0.120769,19.955635,20.821045
0.186318,-0.021449,20.732880,20.804470
0.012445,0.143171,18.877983,20.151833
0.153451,0.076280,19.831657,19.467411
0.122287,0.120048,18.520355,18.878231
0.152371,0.133289,18.215179,18.543407
0.073715,0.202571,19.593239,18.298565
0.043352,0.098680,19.178391,18.212124
-0.060506,0.153120,19.173622,18.487223
-0.065022,0.250786,20.675659,19.223049
-0.134123,0.373050,21.090508,20.078796
-0.062177,0.216328,21.748543,20.951399
-0.048391,0.172998,23.012161,21.734983
-0.051343,0.099746,22.468567,22.481911
-0.030738,-0.139231,21.395683,22.837101
-0.038671,0.214340,23.488998,23.348455
-0.038702,0.190416,22.830963,23.071892
-0.044495,0.150151,22.110939,22.984043
-0.043717,0.100144,20.852089,22.157328
-0.049098,0.115766,19.173622,21.236166
-0.111697,0.010441,18.815994,20.385305
-0.110706,0.018149,21.572113,19.787447
0.140850,0.412200,19.650459,19.187872
-0.042797,0.140675,19.054413,18.657349
0.025230,0.200864,17.733574,18.309788
0.020491,0.201403,17.976761,18.118267
0.003323,0.142545,18.334389,18.467291
0.176424,0.256919,18.873215,18.462936
-0.128864,0.013213,18.692017,18.490713
0.125882,0.131878,18.815994,18.500021
0.299216,0.265573,18.215179,18.816559
0.143720,0.185812,19.416809,18.832443
0.110565,0.188507,18.215179,19.354145
0.444061,0.221428,18.396378,19.213522
-0.002866,0.129507,19.111633,18.963545
0.155101,0.197972,18.219948,18.588383
-0.326738,0.194454,16.899109,18.108591
0.049882,0.193718,18.396378,17.672981
0.067877,0.237451,18.572807,17.254797
-0.034568,0.218020,23.546219,17.240330
-0.101561,0.240364,15.935898,16.724865
-0.130191,0.344829,14.977455,16.148260
0.209910,0.151854,16.417503,16.107904
-0.057092,0.301611,16.593933,15.951883
-0.224678,0.343936,17.080307,16.047230
-0.224137,0.380360,17.313957,16.278158
-0.136914,0.382301,16.779900,16.754656
-0.060404,0.275786,17.437935,17.409927
0.203697,0.095768,18.992424,18.118240
-0.273010,0.473247,19.774437,19.004517
-0.053499,0.262869,21.748543,20.181068
-0.032278,0.136539,21.629333,21.018988
-0.034229,0.151759,22.411346,21.685411
-0.027512,0.184647,21.810532,21.931339
-0.013861,0.186171,20.794868,21.918180
-0.036401,0.248846,21.152496,21.619713
-0.018232,0.250832,20.551682,21.403063
-0.003305,0.298960,18.033981,20.620789
0.010103,0.220512,20.790100,20.160139
0.047196,0.067448,19.593239,19.622908
0.059898,0.193378,19.955635,19.279909
0.063784,-0.011257,19.416809,19.761868
0.058024,0.127742,20.613670,20.330643
0.090547,0.274555,20.375252,21.537319
0.031653,-0.121698,21.271706,22.425920
0.173868,0.220247,21.986961,23.478020
0.125518,0.093650,22.354126,23.971809
-0.004526,0.030783,21.867752,24.730408
-0.039758,0.059854,22.950172,24.719131
-0.245293,-0.135082,22.292137,24.554575
-0.026484,0.096448,21.748543,23.780716
0.026864,0.200652,20.856857,23.031900
-0.048020,0.173101,22.950172,22.165392
-0.045141,0.146695,20.852089,21.326324
-0.022313,0.178247,21.152496,20.669306
-0.237336,0.068278,19.950867,20.118490
-0.027147,0.234024,18.634796,19.711102
-0.092108,0.197365,20.012856,19.489094
0.134527,0.251442,20.012856,19.553892
-0.360470,0.166917,20.194054,19.696749
-0.095479,0.217615,20.313263,19.937820
-0.003245,0.204004,19.650459,20.629341
0.101301,0.210415,22.110939,20.897913
0.143425,0.186906,21.214485,21.056711
-0.324736,0.241823,21.572113,21.154617
-0.217109,0.252091,20.070076,21.239309
0.075715,0.174384,20.074844,21.181297
0.169277,0.095400,20.432472,20.912394
-0.048807,0.201338,18.153191,20.345837
0.064749,0.141457,20.189285,19.792391
0.234558,-0.038148,18.458366,19.033922
0.186580,-0.006294,18.215179,18.156544
-0.015717,0.163890,17.256737,17.364292
-0.053827,0.262802,17.738342,16.647549
0.178507,0.090278,17.075539,16.170151
0.193261,0.291468,16.355515,15.841507
0.121905,0.214778,16.899109,15.717693
0.036941,0.256431,17.795563,16.090796
-0.029358,0.262991,18.339157,16.598209
-0.139394,0.387281,18.391609,17.671822
-0.058877,0.252300,19.831657,18.141579
-0.088105,0.323821,17.557144,18.849165
-0.078001,0.315339,18.215179,19.255566
-0.030541,0.168621,18.572807,19.711651
-0.054474,0.263894,18.515587,19.660881
-0.037169,0.266882,18.873215,19.351727
-0.039273,0.312292,17.437935,18.727398
-0.033655,0.179180,16.717911,18.082476
-0.053096,0.200250,17.375946,17.459282
-0.004855,0.253365,16.241074,16.775713
-0.029519,0.205055,15.339851,16.389675
0.006378,0.311596,16.655922,16.385952
-0.014344,0.396982,18.458366,16.721418
-0.008903,0.251336,18.277168,17.189896
0.011197,0.298768,18.873215,17.988178
-0.189124,0.007192,20.070076,19.057255
0.050228,0.200988,20.437241,19.963076
0.037670,0.183726,21.333694,21.801792
0.068814,0.177220,20.914078,22.100376
0.057029,0.145852,20.732880,22.636290
0.043953,0.100040,20.790100,22.351658
0.110688,0.121881,20.194054,21.772602
0.074604,0.066617,20.976067,21.095587
-0.092950,0.019895,19.054413,20.480980
0.182926,0.118216,19.474030,20.502245
0.098614,0.120323,19.354820,20.143932
-0.087667,0.103482,19.292831,19.425131
-0.052341,0.147599,18.815994,19.287693
0.164202,0.167986,18.935204,19.112133
-0.277372,0.178367,21.209717,19.331827
0.222489,0.113047,21.448135,19.614573
0.011576,0.217492,20.012856,20.077110
0.118936,0.078641,21.452904,21.044287
-0.179154,0.196406,22.587776,21.723190
-0.111347,0.194790,21.810532,22.491219
0.131158,0.066471,22.830963,22.987724
-0.321177,0.326990,21.815300,23.743332
-0.045799,0.135028,24.566650,24.029694
-0.064694,0.158683,21.090508,23.429003
-0.044200,0.116344,21.810532,22.772652
-0.057196,0.161537,22.230148,22.113884
0.130656,-0.051124,23.789406,21.376482
-0.050914,0.165586,20.973682,20.802864
0.135499,-0.005817,19.533634,20.078068
0.126277,-0.155141,20.015240,19.479294
-0.058979,0.471605,20.492077,19.248253
0.065986,0.085224,20.313263,19.263821
0.038086,0.182760,20.494461,19.445131
0.038681,0.037524,20.852089,19.821316
0.036964,0.152180,21.271706,20.790445
0.069802,0.087824,21.631718,21.375156
0.091141,0.145117,22.709370,22.258194
0.186674,0.492293,21.991730,22.570930
0.049124,-0.097605,22.051334,22.586168
0.061029,0.133777,21.331310,22.240156
-0.011598,0.125211,20.794868,21.645552
-0.055837,0.116887,20.613670,20.930738
0.082203,0.367298,20.613670,20.208412
-0.101662,0.106234,21.030903,19.670170
-0.018821,0.203160,20.194054,19.075340
-0.061889,0.178856,21.152496,18.956360
-0.172455,0.157466,20.375252,19.192398
-0.118065,0.190793,20.554066,19.823994
0.174300,0.318753,22.530556,20.800138
-0.115947,0.185245,22.709370,21.936457
-0.099093,0.158216,25.107861,23.078472
-0.070313,0.156275,23.488998,24.085781
-0.376962,0.114536,24.566650,24.926279
0.001183,0.147036,24.926662,25.395727
-0.103585,0.136513,24.807453,25.472548
-0.169736,0.118781,24.027824,25.239031
0.039587,0.110946,24.507046,24.730286
0.004725,0.124367,22.950172,24.818998
0.146642,0.092234,22.888184,23.948833
0.053917,0.131997,21.631718,23.193251
-0.203921,0.235688,22.170544,22.600468
-0.268663,0.282510,22.230148,22.407015
0.154959,0.013797,23.550987,22.212896
