dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.097340,0.335899,48.174858,50.944527
0.029333,0.122278,48.477650,48.811386
-0.013281,0.228962,48.894882,47.733246
0.031682,0.174064,50.394535,48.275219
0.103152,0.270072,51.113369,49.301003
0.167311,0.317434,48.716068,49.310375
0.040568,0.238250,45.539143,47.638336
-0.231420,0.044150,42.604210,44.821541
-0.101359,0.259802,45.779945,43.199623
-0.150214,0.258503,48.177242,44.004097
-0.055136,0.306745,51.411392,46.833214
-0.042735,0.329939,51.172974,49.515182
-0.053263,0.243812,47.638416,50.386089
-0.014038,0.187022,46.199562,49.148903
0.044924,0.197395,46.259167,47.382965
-0.182959,0.232331,52.431824,47.948673
0.049153,0.224018,54.827930,50.504971
-0.047173,0.459434,55.786373,53.605316
0.163590,0.067382,54.647923,55.459404
-0.037439,0.111689,55.607559,56.110512
-0.069560,0.018015,50.932171,55.422306
-0.033887,0.393749,52.671432,54.539333
-0.014033,0.164042,54.408314,54.787514
-0.038056,0.087105,56.984425,55.827808
-0.010433,0.108771,58.063866,58.141247
0.176401,0.203692,57.284832,58.832783
0.127973,0.098801,53.688885,58.497192
0.080910,0.058798,52.310825,56.009422
0.128466,0.071536,49.614311,53.099155
0.139152,0.047514,54.528118,51.497101
-0.087924,0.147089,58.303478,52.442654
-0.083241,0.201266,56.505203,54.339397
0.169508,0.035749,54.647923,55.373863
-0.209359,0.317393,49.195290,53.826668
-0.009927,0.125355,46.319069,51.047192
0.061947,0.018911,49.854221,48.978954
0.026506,0.137776,50.753357,49.418495
0.022723,-0.105361,53.269863,50.688095
0.040436,0.243629,52.910450,51.867668
0.008409,-0.046778,55.786522,51.927052
0.134407,0.153502,48.715847,50.616814
-0.097280,-0.049765,46.678558,48.489227
-0.074189,0.260905,47.038086,46.995174
-0.042249,0.322084,47.397614,46.501038
-0.020129,0.376703,49.552917,47.430798
-0.110737,0.240340,50.392151,49.072269
0.016007,0.258583,50.506592,50.154861
