dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.319323,0.230762,203.609467,215.421356
-0.084757,0.361399,219.192505,221.033203
-0.105631,0.210586,196.723938,211.960846
0.004216,0.094962,190.486908,207.875656
0.013855,0.116979,193.543442,197.063553
-0.068952,0.137123,187.430389,195.805786
0.164623,0.002469,214.157104,194.155075
0.033907,0.566769,194.621094,195.994873
-0.179734,0.290156,205.769547,203.677231
0.066376,0.328963,192.346573,196.929764
0.038728,0.369179,189.590454,195.847015
0.011455,0.295500,183.720596,184.697617
0.080542,0.588134,163.645752,181.016785
-0.006715,0.376325,194.983490,178.746765
0.102855,0.386626,177.488327,178.550613
-0.190809,0.775193,209.245682,186.229050
-0.145097,0.349608,194.563873,190.288483
0.171897,0.593469,200.257309,202.599136
-0.428337,0.296510,213.558685,203.835159
-0.109422,0.389405,197.799210,208.349152
0.149652,0.055657,209.784515,206.958817
0.010808,0.206887,197.379593,206.302429
-0.001764,0.264618,217.573654,209.982864
0.069377,0.156692,202.891830,205.097244
0.097386,0.079550,197.319992,211.162262
-0.008276,0.135371,194.745071,199.847519
0.038652,0.265458,178.204773,194.935654
-0.079107,0.305706,204.510696,188.487289
-0.091186,0.310225,180.602081,185.998993
0.159031,0.342082,211.101776,194.342484
0.030460,0.403337,216.195587,200.869827
0.108252,0.494148,223.085892,216.807495
-0.100491,0.181165,225.243576,218.722473
-0.000088,0.047528,193.066010,220.831619
0.000187,0.071855,219.011765,215.939957
-0.296833,-0.094989,186.174957,205.219910
-0.018791,0.186604,204.095840,200.933685
-0.009787,0.197360,193.719864,194.316025
-0.084824,0.361383,210.561752,200.736267
0.063279,0.311449,214.395523,200.727234
-0.105122,0.226342,190.248489,201.815140
0.119687,0.169098,203.905106,197.286911
0.081670,0.162997,169.878006,189.707596
-0.007927,0.242881,190.067291,186.909851
-0.019514,0.124224,182.514191,177.992630
-0.019567,0.528886,188.570023,182.545822
-0.104569,0.418259,200.614929,184.627182
0.086233,0.471173,193.958282,194.796570
0.068518,0.579999,221.042633,201.384613
0.010085,0.358686,195.465088,204.270157
-0.082389,0.251471,209.608078,210.779465
-0.151208,0.408909,199.117661,208.575623
0.009835,0.199795,202.589035,210.244781
-0.235024,-0.016372,216.073990,205.934769
-0.047820,0.228582,207.805634,208.746490
0.034213,0.244581,212.726593,207.907272
-0.029155,0.065675,188.035965,201.121704
0.024406,0.086440,198.822021,198.769470
-0.036933,0.148973,181.617737,187.843231
0.257484,0.178334,188.632019,190.812729
0.051712,0.282732,217.452057,190.373306
0.010574,0.282126,199.837692,199.276154
0.000032,0.422437,237.526901,209.482086
-0.050202,0.322945,205.407150,215.256790
0.170411,0.222933,217.452057,220.860550
-0.115546,-0.101025,198.817261,211.196045
0.029134,0.144125,194.983490,207.098053
-0.201581,0.031518,196.242340,196.984573
-0.016491,0.193608,189.948090,195.732239
0.067205,0.262791,216.259964,195.669128
0.091922,0.563738,205.230713,197.291626
-0.305663,0.221090,203.251846,204.374954
-0.092828,0.269635,189.590454,196.853714
0.067382,0.268216,185.756683,195.229874
0.034331,0.309243,188.989639,184.409500
0.016386,0.281848,163.164139,179.896057
-0.014697,0.417570,192.165375,178.798492
-0.058104,0.448211,179.224014,178.205261
0.017685,0.639178,208.163269,187.056488
-0.141757,0.454712,197.498810,190.432083
0.044975,0.391403,197.079193,202.872543
-0.128896,0.451788,216.135986,204.759506
0.014039,0.341024,197.861206,208.613342
0.008223,0.108960,211.641800,207.924362
-0.006024,0.146917,190.429688,205.697189
0.062195,0.243682,214.579117,210.630264
-0.281452,0.166127,206.489563,205.539993
0.020918,0.134001,192.706589,210.896912
0.037663,0.203717,197.980408,200.106827
-0.170189,0.020032,174.670227,194.388824
-0.075193,0.321086,204.570297,189.300629
0.036181,0.248878,184.077026,185.414719
0.020627,0.467640,208.226440,194.590836
-0.047189,0.181514,222.487457,201.657990
-0.175010,0.276017,222.007645,217.340393
-0.068845,0.310267,232.793701,219.940903
-0.019635,0.075801,191.567841,219.786011
0.008330,-0.117502,213.319061,215.882095
-0.258012,0.038978,184.616989,204.369247
0.058307,0.102354,203.495026,200.945175
-0.029264,0.233769,198.879242,194.405838
-0.075268,0.033338,201.749802,200.981094
0.075586,0.212016,215.539932,201.526367
-0.031918,0.209372,186.052322,200.865341
-0.021717,0.228317,202.836990,196.849380
0.048702,0.230505,169.582367,188.156616
0.036796,0.226376,185.270309,186.463882
-0.056951,0.142526,188.331604,178.159744
0.056305,0.528997,188.398361,182.591904
-0.071805,0.470852,205.650330,185.937500
-0.020487,0.482589,193.967819,195.372101
-0.011511,0.241405,222.311020,203.129440
-0.008179,0.306857,198.879242,204.613449
-0.208576,0.270168,207.862854,211.384583
0.058682,0.207425,202.655792,208.807510
0.043242,0.082723,198.040009,210.182831
-0.328761,-0.018526,219.430923,206.798264
0.060539,0.216792,194.444656,207.943939
0.066285,0.232411,209.064484,208.062836
-0.112494,0.034947,192.651749,200.467590
0.208437,0.402634,195.636749,198.467255
0.134097,0.280763,188.570023,187.615433
0.054716,0.291725,182.280548,190.196289
0.166694,0.207086,219.492920,192.004150
0.055340,0.390072,204.091080,199.862427
-0.065681,0.471746,235.128403,211.373016
0.158408,0.205009,210.080154,215.376373
0.298963,0.002950,210.442551,221.001617
-0.159658,0.212557,204.753876,211.124649
0.067757,0.096359,188.035965,205.949097
0.265199,0.154589,198.397644,197.295319
-0.137612,0.214303,184.254654,194.719254
0.230236,0.049958,215.473175,196.425446
0.108412,0.476831,210.022934,197.138779
-0.119710,0.415347,198.936462,203.883255
0.081522,0.239940,199.356079,196.638580
0.177827,0.255318,181.498535,194.570267
-0.037148,0.196557,195.403107,184.867294
0.062822,0.383927,163.226135,178.555054
0.012693,0.435415,190.787323,179.615051
0.161024,0.342564,181.622513,178.444107
0.072527,0.488901,206.546783,188.716293
-0.026689,0.470431,206.367981,192.129730
-0.116816,0.314605,193.424225,202.866592
-0.014742,0.370912,216.436386,206.038452
0.043497,0.303337,193.185806,207.986893
-0.055126,0.222624,215.055954,208.610672
0.070238,0.213847,194.203857,205.161392
0.141750,0.276978,208.046448,210.532837
-0.262925,0.219848,212.421417,206.189148
0.193956,-0.011697,184.497833,209.348068
0.073335,0.102149,201.096542,200.040649
-0.154146,0.186139,169.576416,192.509018
0.102548,0.289331,203.791855,190.329971
-0.028326,0.377460,192.945007,185.917023
-0.054539,0.455086,215.656769,196.635132
0.065194,0.177678,221.347809,203.962448
-0.179408,0.309717,212.720047,218.091751
-0.130892,0.243613,232.853302,221.430496
0.038831,0.111213,193.904938,218.250534
0.071601,0.161787,202.353607,215.139893
-0.210658,0.079290,188.150406,202.900253
0.037631,0.142144,200.080872,200.605560
0.126527,0.177279,204.925537,194.666153
-0.091761,0.421254,191.802979,200.103958
0.306349,0.425927,217.571259,202.537567
0.166244,0.265450,184.383392,199.697891
0.152645,0.179455,198.211670,197.471512
0.095621,0.213056,173.950195,187.526031
0.127106,0.489638,176.467896,185.766815
0.012558,0.374886,194.025040,178.931427
0.261391,0.467499,179.824829,182.155121
0.005706,0.460414,209.188461,187.629562
-0.033472,0.487853,187.854767,194.852478
0.127249,0.345926,220.088959,204.532593
0.156506,0.392376,205.469131,204.753571
-0.420816,0.441574,202.178955,210.642258
0.101800,0.220660,206.060410,209.162720
0.091829,0.310556,194.025040,209.416092
-0.141980,0.257537,221.891403,208.180511
0.092582,0.165070,199.003220,207.282181
0.128677,0.175724,205.049515,208.032776
-0.125484,0.160879,192.584991,199.477875
0.134737,0.185596,188.455582,197.525513
0.079492,0.223950,196.485519,187.685394
-0.163982,0.313041,179.643631,189.156311
-0.072174,0.524304,216.255188,193.988174
0.109655,0.517764,202.293396,200.154816
-0.070024,0.426544,231.533051,213.153992
-0.049068,0.263732,211.343765,215.484512
0.149907,0.093967,202.293396,220.219711
-0.149869,0.433520,207.986832,211.297241
0.063399,0.013255,184.078217,203.859055
0.223795,0.094709,209.841736,197.511246
-0.314775,0.426601,183.300980,193.581436
0.057313,0.248149,211.157806,197.680878
0.136533,0.458424,205.650330,198.360260
-0.209728,0.309424,191.807755,203.398407
0.110764,0.184933,195.822723,196.430557
0.119193,0.244318,173.773773,192.750336
-0.034065,0.251111,193.424225,184.630951
0.123608,0.289465,166.463852,176.588745
0.108803,0.453143,188.570023,179.316132
-0.111822,0.444856,181.622513,177.698364
0.267648,0.347875,200.200089,188.374466
-0.033744,0.439095,213.258270,192.271576
0.001403,0.562642,190.908920,201.867752
-0.119978,0.355391,218.052872,206.840332
0.112443,0.274688,193.305023,207.267532
-0.121979,0.270589,211.522583,209.062927
0.230403,0.443854,199.239258,205.376785
0.114621,0.221683,201.454163,210.732925
-0.126184,0.232602,220.689774,207.581223
