raw21,omega_pll,Iq_ref,dbg_iq_a
1161153.000000,301.151794,0.289359,0.387242
1108313.000000,300.336456,0.289359,0.257647
1058436.000000,301.262543,0.231759,0.168480
1009534.000000,300.857910,0.231759,0.282245
959674.000000,301.093750,0.282314,0.353806
907843.000000,300.782776,0.282314,0.457708
859245.000000,301.351044,0.242369,0.251673
812557.000000,301.448059,0.242369,0.339608
767280.000000,301.822784,0.092329,0.041935
720577.000000,301.494720,0.092329,0.142611
671472.000000,302.063263,0.177902,0.131932
620514.000000,300.627838,0.177902,0.143526
569991.000000,299.719025,0.375604,0.212207
519813.000000,297.886505,0.375604,0.418984
469476.000000,297.831482,0.562598,0.448886
417843.000000,297.768707,0.562598,0.524966
365875.000000,298.396576,0.454415,0.386682
318077.000000,298.039154,0.454415,0.333917
271234.000000,299.168304,0.526184,0.465321
222605.000000,299.184448,0.526184,0.603675
169831.000000,299.888702,0.417432,0.393036
114362.000000,299.848450,0.417432,0.458937
60690.000000,300.932922,0.226770,0.387756
10357.000000,300.077942,0.226770,0.033884
2058199.000000,300.860413,0.297700,0.265781
2007584.000000,301.020081,0.297700,0.398437
1955932.000000,302.165253,0.171191,0.258786
1906916.000000,301.448456,0.171191,0.200398
1859989.000000,301.840271,0.068817,0.036410
1814278.000000,301.234131,0.068817,0.293461
1766686.000000,301.955719,0.069644,0.076004
1716058.000000,301.888824,0.069644,0.114108
1664693.000000,301.255341,0.195576,0.082792
1613543.000000,299.439758,0.195576,0.162675
1562832.000000,298.582520,0.438455,0.195283
1512434.000000,298.005798,0.438455,0.394650
1460496.000000,298.513977,0.427839,0.387825
1409942.000000,298.521393,0.427839,0.597068
1361363.000000,298.924683,0.450008,0.318837
1313930.000000,298.869263,0.450008,0.416019
1264686.000000,298.998901,0.461587,0.435777
1212140.000000,298.674042,0.461587,0.570620
1157719.000000,299.294556,0.394745,0.404395
1105275.000000,299.291382,0.394745,0.431674
1055663.000000,300.024078,0.345245,0.416246
1006601.000000,300.537262,0.345245,0.351187
956459.000000,300.994507,0.266363,0.342709
904773.000000,300.758057,0.266363,0.140302
856439.000000,300.835022,0.247625,0.215030
810138.000000,300.855865,0.247625,0.240314
765116.000000,300.746521,0.204318,0.349955
718193.000000,301.437958,0.204318,0.191807
668842.000000,301.903564,0.124754,0.417040
617741.000000,301.027069,0.124754,0.076824
567116.000000,299.667450,0.312904,0.201066
516843.000000,298.801819,0.312904,0.425374
466578.000000,298.099792,0.493950,0.271406
415091.000000,298.060944,0.493950,0.409340
363352.000000,298.254120,0.471105,0.043025
315502.000000,298.301727,0.471105,0.422847
268503.000000,299.130127,0.483835,0.474654
219679.000000,299.114471,0.483835,0.448005
166809.000000,299.372467,0.450448,0.720889
111558.000000,299.427979,0.450448,0.440050
