raw21,omega_pll_rad_s,Iq_ref,dbg_iq_a
1017653.000000,12.030519,0.193881,0.173140
1015629.000000,11.761687,0.201974,0.178503
1013659.000000,11.580523,0.201974,0.195102
1011741.000000,11.394064,0.205045,0.188711
1009818.000000,11.434128,0.205045,0.197447
1007942.000000,11.414094,0.205932,0.236695
1005977.000000,11.768463,0.205932,0.216296
1004149.000000,11.598974,0.203302,0.193002
1002328.000000,11.432796,0.203302,0.216678
1000484.000000,11.472389,0.207107,0.197274
998668.000000,11.449723,0.207107,0.164936
996829.000000,11.497685,0.205977,0.255688
994954.000000,11.629972,0.205977,0.254842
993018.000000,11.889915,0.202029,0.271978
991050.000000,12.139754,0.202029,0.306478
989025.000000,12.394241,0.198750,0.070550
986981.000000,12.619426,0.198750,0.112001
984815.000000,13.042603,0.193184,0.215555
982593.000000,13.415863,0.193184,0.245875
980317.000000,13.723802,0.185522,0.230873
978004.000000,13.935636,0.185522,0.246680
975596.000000,14.257795,0.180146,0.229415
973151.000000,14.428397,0.180146,0.206753
970682.000000,14.502681,0.176451,0.211955
968192.000000,14.517406,0.176451,0.272128
965705.000000,14.504248,0.174845,0.026089
963215.000000,14.455059,0.174845,0.129960
960760.000000,14.316559,0.177907,0.216480
958302.000000,14.146610,0.177907,0.218051
955815.000000,14.175333,0.180962,0.265665
953416.000000,14.044169,0.180962,0.008312
951044.000000,13.909405,0.180912,0.214937
948532.000000,14.286035,0.180912,0.182429
946140.000000,14.325335,0.177933,0.110773
943695.000000,14.651416,0.177933,-0.075059
941104.000000,15.409184,0.173949,0.333762
938552.000000,15.666105,0.173949,-0.119068
935610.000000,17.091068,0.161879,0.155334
932783.000000,17.548561,0.161879,0.132778
929881.000000,17.771944,0.145830,0.214551
926988.000000,17.531511,0.145830,0.117873
923837.000000,17.776081,0.146432,0.140073
920740.000000,17.569969,0.146432,0.264778
917575.000000,17.622860,0.143769,0.173078
914510.000000,17.231106,0.143769,0.237348
911461.000000,17.098143,0.148684,0.267245
908401.000000,17.156641,0.148684,0.170532
905455.000000,17.118441,0.149800,-0.099346
902509.000000,17.158953,0.149800,0.176523
899646.000000,16.944250,0.149711,0.254111
896847.000000,16.753036,0.149711,0.144696
894070.000000,16.636232,0.153372,0.161566
891361.000000,16.436943,0.153372,0.205770
888592.000000,16.604479,0.155221,0.199979
885923.000000,16.503523,0.155221,0.093597
883242.000000,16.665155,0.155655,0.151961
880572.000000,16.864292,0.155655,0.245723
877896.000000,17.169201,0.151203,0.196509
875195.000000,17.509058,0.151203,0.271199
872501.000000,17.611301,0.144971,0.223862
869653.000000,18.044044,0.144971,0.189952
866880.000000,18.064974,0.139989,0.169725
864116.000000,17.984045,0.139989,0.176866
861329.000000,17.717413,0.141737,0.170527
858545.000000,17.320509,0.141737,0.186441
855784.000000,16.774002,0.149683,0.193777
853042.000000,16.398346,0.149683,0.161155
850311.000000,16.004223,0.157680,0.173173
847643.000000,15.564812,0.157680,0.322322
845003.000000,15.370173,0.165610,0.199478
842453.000000,15.240012,0.165610,0.320876
839985.000000,15.110879,0.168587,0.373146
837601.000000,14.949497,0.168587,0.145534
835269.000000,14.876146,0.171399,0.189914
833017.000000,14.782164,0.171399,0.142521
830824.000000,14.698171,0.173125,-0.098728
828718.000000,14.442300,0.173125,0.321381
826629.000000,14.245261,0.176824,0.017962
824576.000000,14.014489,0.176824,0.087922
822560.000000,13.816420,0.181293,0.094336
820528.000000,13.858903,0.181293,0.047217
818370.000000,14.334220,0.177350,-0.054002
816282.000000,14.371615,0.177350,-0.080765
814152.000000,14.533051,0.176450,0.199985
812026.000000,14.552165,0.176450,0.124739
809840.000000,14.612136,0.175431,0.188688
807628.000000,14.593996,0.175431,0.127830
805397.000000,14.494833,0.174810,0.151594
803075.000000,14.563881,0.174810,0.253204
800838.000000,14.188351,0.177061,0.116907
798591.000000,14.005405,0.177061,-0.053534
796445.000000,13.464671,0.181004,0.088661
794256.000000,13.202342,0.181004,0.496105
792104.000000,13.077728,0.190539,0.529770
790068.000000,12.865852,0.190539,0.160936
787897.000000,13.287398,0.190193,0.135928
785866.000000,13.282722,0.190193,0.191540
783902.000000,13.250072,0.187561,0.257136
781933.000000,13.468687,0.187561,0.092717
780010.000000,13.485335,0.186358,0.492566
778051.000000,13.775934,0.186358,0.219737
776063.000000,14.201886,0.181710,0.381654
774043.000000,14.636724,0.181710,0.438713
771991.000000,14.920622,0.173745,0.101737
769877.000000,15.278138,0.173745,0.331328
767632.000000,15.792239,0.166371,0.171325
765360.000000,15.935552,0.166371,0.232422
762956.000000,16.143692,0.160419,-0.037143
760527.000000,16.062807,0.160419,0.159402
757893.000000,16.461943,0.159661,0.120270
755192.000000,16.783989,0.159661,0.154324
752585.000000,16.632359,0.154019,0.076290
749973.000000,16.492147,0.154019,0.103850
747275.000000,16.697392,0.156362,0.121679
744695.000000,16.524128,0.156362,0.098950
742180.000000,16.349180,0.155212,0.000441
739668.000000,16.216579,0.155212,0.101757
737164.000000,16.130762,0.159005,0.173361
734711.000000,15.860601,0.159005,0.130403
732265.000000,15.770938,0.163812,0.067740
729895.000000,15.564285,0.163812,0.118937
727551.000000,15.410449,0.166031,0.132993
725105.000000,15.717548,0.166031,0.150153
722745.000000,15.712078,0.164168,0.151806
720250.000000,16.214760,0.164168,0.105972
717879.000000,16.124971,0.159909,0.200498
715420.000000,16.328732,0.159909,0.246628
712952.000000,16.344379,0.156842,0.197435
710448.000000,16.356354,0.156842,0.221068
707802.000000,16.668308,0.156340,0.194224
705032.000000,17.084831,0.156340,0.089950
702386.000000,16.747257,0.151277,0.238364
699589.000000,16.933779,0.151277,0.203578
696845.000000,16.713221,0.151355,0.097825
694059.000000,16.663847,0.151355,0.161177
691230.000000,16.723139,0.154165,0.168662
688277.000000,17.241482,0.154165,0.289156
685440.000000,17.094929,0.148389,0.091582
682692.000000,16.693495,0.148389,0.289405
679834.000000,16.819666,0.153930,0.218040
677174.000000,16.412289,0.153930,0.153205
674523.000000,16.130363,0.157705,0.460937
671946.000000,15.719391,0.157705,0.046225
669494.000000,14.943745,0.165587,0.217309
667027.000000,14.660522,0.165587,0.206152
664568.000000,14.599663,0.173040,0.240675
662207.000000,14.273142,0.173040,0.193972
659902.000000,13.987807,0.178198,-0.061830
657648.000000,13.774286,0.178198,0.053398
655388.000000,13.762803,0.182653,0.462850
653102.000000,13.870135,0.182653,0.234616
650770.000000,14.084814,0.180375,0.031030
648486.000000,14.017916,0.180375,0.144082
646132.000000,14.124054,0.180749,0.077176
643679.000000,14.336727,0.180749,0.212944
641291.000000,14.053782,0.178027,0.153125
638814.000000,13.941877,0.178027,0.228662
636314.000000,13.726437,0.182301,0.102238
633839.000000,13.501909,0.182301,0.400338
631438.000000,13.197949,0.186446,0.122223
629069.000000,12.885734,0.186446,0.234803
626772.000000,12.529744,0.192728,0.284041
624501.000000,12.490623,0.192728,0.231469
622173.000000,12.756686,0.194805,0.217613
619916.000000,12.885123,0.194805,0.234176
617688.000000,13.029551,0.192847,-0.065046
615517.000000,12.981279,0.192847,0.471011
613280.000000,13.201087,0.189969,0.234497
611042.000000,13.488342,0.189969,0.183388
608792.000000,13.722342,0.185829,0.221274
606453.000000,14.147551,0.185829,0.151433
604109.000000,14.406367,0.178506,0.201792
601625.000000,14.834677,0.178506,0.253349
599081.000000,15.317312,0.170501,0.244443
596351.000000,16.173656,0.170501,0.188443
593563.000000,16.773504,0.157776,0.201418
590652.000000,17.393599,0.157776,0.153887
587631.000000,18.004446,0.144901,0.147144
584524.000000,18.566498,0.144901,0.165755
581334.000000,18.906160,0.133385,0.168318
578110.000000,19.074017,0.133385,0.156561
