raw21,omega_pll,Iq_ref,Iq_meas
1921041.000000,46.803627,0.210877,0.181791
1912948.000000,46.912357,0.210877,0.187423
1904503.000000,48.255573,0.218620,0.228671
1896166.000000,48.979439,0.218620,0.336477
1888172.000000,48.397106,0.201313,0.135599
1880598.000000,46.695599,0.201313,0.246942
1873342.000000,44.647572,0.226872,0.242635
1866204.000000,43.037949,0.226872,0.335364
1858669.000000,43.355774,0.260456,0.171200
1850584.000000,45.446400,0.260456,0.200870
1842434.000000,47.156204,0.235830,0.317916
1834785.000000,46.726128,0.235830,0.082617
1827593.000000,45.011345,0.227055,0.152435
1820681.000000,42.962872,0.227055,0.069201
1813333.000000,43.035919,0.262346,0.057443
1805478.000000,44.776379,0.262346,0.207260
1797076.000000,47.725586,0.240894,0.427128
1788807.000000,49.257133,0.240894,0.197881
1780695.000000,49.635147,0.198137,0.143413
1772634.000000,49.453976,0.198137,0.154118
1764831.000000,48.497890,0.198931,0.249187
1756669.000000,48.857967,0.198931,0.287714
1748053.000000,50.502949,0.203508,0.102414
1739288.000000,52.010052,0.203508,0.071350
1730187.000000,53.931381,0.170931,0.151742
1721318.000000,54.278103,0.170931,-0.064501
1712972.000000,52.729206,0.148808,0.017825
1705033.000000,50.275307,0.148808,0.144594
1697079.000000,48.664898,0.192088,0.082012
1688406.000000,49.895622,0.192088,-0.031244
1679208.000000,52.468552,0.190476,0.336626
1670078.000000,53.985634,0.190476,0.198812
1661438.000000,53.330475,0.151233,-0.004744
1653332.000000,51.136135,0.151233,0.061802
1645364.000000,49.201691,0.182058,0.134214
1636955.000000,49.338696,0.182058,0.159396
1628053.000000,51.066605,0.196433,0.087350
1618922.000000,52.999374,0.196433,0.162563
1609963.000000,53.704765,0.158934,0.180021
1601347.000000,53.013489,0.158934,0.151520
1592473.000000,53.286747,0.157463,0.135971
1584259.000000,51.383293,0.157463,0.009684
1575825.000000,50.732410,0.178649,-0.027473
1567189.000000,50.998158,0.178649,0.298919
1558302.000000,52.007393,0.180087,0.420132
1549394.000000,52.773102,0.180087,0.251053
1540716.000000,52.494839,0.162608,0.200008
1532584.000000,50.589417,0.162608,0.042435
1524727.000000,48.470577,0.187327,0.187444
1516682.000000,47.755180,0.187327,0.089336
1508043.000000,49.246170,0.212573,0.142619
1498923.000000,51.880447,0.212573,0.306009
1490032.000000,52.941742,0.170519,0.184629
1481489.000000,52.498161,0.170519,0.283494
1473319.000000,50.954250,0.167918,0.211788
1465049.000000,50.167889,0.167918,0.211753
1456645.000000,50.101192,0.191458,0.216532
