raw21,omega_pll,Iq_ref,Iq_meas
1124613.000000,19.127037,0.180320,0.067430
1121496.000000,18.638718,0.180320,0.104082
1118404.000000,18.303139,0.188576,0.081394
1115297.000000,18.193470,0.188576,0.094810
1112105.000000,18.459061,0.187033,0.003677
1108831.000000,18.947977,0.187033,0.328376
1105426.000000,19.695021,0.174676,0.030991
1101878.000000,20.649336,0.174676,0.263125
1098302.000000,21.345753,0.158155,0.099186
1094598.000000,22.117754,0.158155,0.071144
1090877.000000,22.624777,0.145339,0.209738
1087087.000000,23.076305,0.145339,0.233237
1083421.000000,22.889345,0.142664,0.171845
1079856.000000,22.347351,0.142664,0.146125
1076342.000000,21.758884,0.153951,0.424529
1072794.000000,21.376730,0.153951,0.142083
1069489.000000,20.434668,0.167189,0.114560
1066234.000000,19.678644,0.167189,0.099342
1063003.000000,19.167467,0.179869,0.186247
1059793.000000,18.849449,0.179869,0.124434
1056674.000000,18.446564,0.187094,0.261050
1053577.000000,18.188910,0.187094,0.199404
1050473.000000,18.111538,0.190463,0.101988
1047272.000000,18.451050,0.190463,0.086747
1044178.000000,18.394566,0.187649,0.177187
1041102.000000,18.327938,0.187649,0.034207
1037889.000000,18.730183,0.184305,0.209398
1034573.000000,19.293945,0.184305,0.152126
1031438.000000,19.142584,0.180190,0.222113
1028315.000000,18.994692,0.180190,0.130386
1025209.000000,18.814785,0.183480,0.175553
1022164.000000,18.501389,0.183480,0.186135
1019180.000000,18.095318,0.190693,0.169583
1016242.000000,17.690899,0.190693,0.170779
1013336.000000,17.367599,0.197997,0.199484
1010536.000000,16.897350,0.197997,0.184166
1007813.000000,16.374023,0.207969,0.235025
1004966.000000,16.481009,0.207969,0.198452
1002396.000000,15.721292,0.214539,0.360001
999666.000000,15.719662,0.214539,0.298307
997033.000000,15.525024,0.216547,0.175282
994322.000000,15.701044,0.216547,0.246109
991585.000000,15.947087,0.212366,0.024040
988748.000000,16.492233,0.212366,0.263426
985824.000000,17.119131,0.200675,0.163579
982772.000000,17.902388,0.200675,0.125629
