raw21,omega_pll_rad_s,Iq_ref,dbg_iq_a
1339087.000000,98.934166,0.237790,0.174997
1322013.000000,100.343666,0.237790,0.144523
1305903.000000,99.998306,0.223422,0.209885
1290793.000000,98.382347,0.223422,0.300313
1273375.000000,100.726677,0.219660,0.167701
1255257.000000,100.305534,0.219660,0.489898
1238227.000000,100.165802,0.224717,0.238287
1220802.000000,99.746712,0.224717,0.118171
1201658.000000,100.843918,0.214657,0.191915
1183211.000000,99.221069,0.214657,0.275845
1166063.000000,99.652107,0.230329,0.232676
1147814.000000,99.231323,0.230329,0.150433
1129260.000000,99.764122,0.228834,0.202439
1113006.000000,98.988007,0.228834,0.465126
1096573.000000,99.912727,0.226783,0.136091
1079293.000000,99.380493,0.226783,0.467997
1063058.000000,100.402473,0.224709,0.355066
1047740.000000,98.954933,0.224709,0.193929
1031357.000000,100.085655,0.231586,0.272792
1014545.000000,100.227844,0.231586,0.204989
998682.000000,99.562927,0.227079,0.274450
983102.000000,97.992790,0.227079,0.261986
965484.000000,100.162628,0.224563,0.192037
948401.000000,99.308434,0.224563,0.196089
932013.000000,99.483261,0.236474,0.392351
913990.000000,100.155289,0.236474,0.265505
896597.000000,100.501442,0.218178,0.217659
880916.000000,98.738693,0.218178,0.281105
865167.000000,100.187256,0.225017,0.258716
848619.000000,99.921616,0.225017,0.138646
832595.000000,100.180252,0.224177,0.277449
818363.000000,99.062523,0.224177,0.126094
803083.000000,100.204475,0.223591,0.394233
787150.000000,99.840508,0.223591,0.298164
773203.000000,99.111916,0.232799,0.208876
758682.000000,98.710342,0.232799,0.123361
742280.000000,100.331039,0.222733,0.292667
726876.000000,100.128960,0.222733,0.177854
711968.000000,99.703026,0.226409,0.203874
695805.000000,99.650566,0.226409,0.226312
678313.000000,101.835037,0.207221,0.198057
662029.000000,100.264420,0.207221,-0.005101
646061.000000,99.549194,0.231765,0.187669
627800.000000,100.378273,0.231765,0.436172
610755.000000,100.014061,0.223161,0.183100
594849.000000,98.194115,0.223161,0.234176
577349.000000,100.022270,0.227580,0.251444
559581.000000,99.560791,0.227580,0.184793
543000.000000,99.468437,0.231063,0.255010
526621.000000,99.356522,0.231063,0.362923
509190.000000,100.145378,0.223682,0.364528
492004.000000,99.254662,0.223682,0.226418
476088.000000,99.190643,0.233085,0.163638
458948.000000,98.766678,0.233085,0.059021
440800.000000,99.432747,0.231285,0.292972
424652.000000,98.413696,0.231285,0.176812
408056.000000,99.237976,0.237079,0.206591
389493.000000,99.511322,0.237079,0.214350
372168.000000,100.450531,0.219623,0.083328
356876.000000,99.200882,0.219623,0.184108
340840.000000,99.917847,0.227814,0.304073
324192.000000,100.356911,0.227814,0.201948
309222.000000,99.308327,0.229497,0.229446
294553.000000,98.407242,0.229497,0.218763
277783.000000,100.748810,0.220566,0.199172
261797.000000,99.462715,0.220566,0.168464
246659.000000,99.219475,0.234821,0.294875
229532.000000,100.785217,0.234821,0.159310
211711.000000,100.879860,0.214869,0.131480
194430.000000,99.778961,0.214869,0.405658
176914.000000,100.672310,0.219975,0.194469
157579.000000,100.386856,0.219975,0.318446
138664.000000,100.134438,0.225081,0.321684
121470.000000,98.738922,0.225081,0.139457
103143.000000,99.606720,0.228655,0.207437
84122.000000,99.379875,0.228655,0.178294
67599.000000,99.215034,0.233975,0.298953
50826.000000,99.071159,0.233975,0.229532
33223.000000,99.894302,0.226022,0.554109
16811.000000,99.672401,0.226022,0.183067
1350.000000,99.499786,0.231711,0.124463
2082142.000000,99.273384,0.231711,0.250054
2065056.000000,100.784409,0.219107,0.215881
2049050.000000,99.495491,0.219107,0.152150
2033129.000000,99.552467,0.232511,0.344333
2015244.000000,100.457344,0.232511,0.216038
1997723.000000,100.974953,0.214050,0.166041
1981490.000000,99.173965,0.214050,0.530152
1963801.000000,100.986816,0.215835,0.274894
1946060.000000,100.568489,0.215835,0.204516
1930143.000000,99.585335,0.228878,0.240284
1914483.000000,99.388657,0.228878,0.158964
1897730.000000,100.426994,0.220311,0.208675
1881778.000000,99.253693,0.220311,0.102357
1867362.000000,99.156967,0.233715,0.239639
1851972.000000,98.992638,0.233715,0.222388
1835951.000000,99.574776,0.229899,0.277570
1821860.000000,98.370338,0.229899,0.069233
1807125.000000,99.163040,0.234487,0.219871
1790826.000000,99.482666,0.234487,0.242049
1774848.000000,100.861526,0.216853,0.277534
1759540.000000,99.556427,0.216853,0.167145
1742941.000000,100.172493,0.224337,0.277620
1724996.000000,101.361519,0.224337,0.332013
1708593.000000,100.534157,0.218140,0.255880
1692461.000000,98.922531,0.218140,0.235725
1674262.000000,100.773628,0.218832,0.194206
1656994.000000,99.316513,0.218832,0.046494
1640921.000000,98.546623,0.240900,0.268143
1623328.000000,99.163239,0.240900,0.193108
1605575.000000,99.799759,0.226640,0.199885
