raw21,omega_pll,Iq_ref,Iq_meas
326579.000000,14.409106,0.175488,0.144244
324284.000000,13.779360,0.175488,0.196559
322002.000000,13.387443,0.185721,0.001351
319903.000000,12.649425,0.185721,0.171391
317840.000000,12.106980,0.198554,0.136274
315834.000000,11.666298,0.198554,0.213444
313855.000000,11.395481,0.205705,0.213547
311817.000000,11.456079,0.205705,0.200650
309916.000000,11.167540,0.208023,0.232541
308009.000000,11.075807,0.208023,0.281521
306149.000000,10.915499,0.210584,0.222239
304238.000000,11.004669,0.210584,0.124882
302237.000000,11.402088,0.205754,0.231542
300243.000000,11.682682,0.205754,0.264961
298166.000000,12.131194,0.198492,0.362981
296039.000000,12.569771,0.198492,0.099655
293850.000000,13.034862,0.189475,0.246957
291566.000000,13.599627,0.189475,0.184234
289275.000000,13.934085,0.180493,0.211348
286908.000000,14.317089,0.180493,0.244577
284508.000000,14.632851,0.173509,0.305514
282112.000000,14.759285,0.173509,0.189160
279732.000000,14.718060,0.172660,0.183718
277343.000000,14.658036,0.172660,0.186906
274972.000000,14.523869,0.174607,0.154931
272621.000000,14.354650,0.174607,0.201283
270306.000000,14.122118,0.178633,0.176843
267993.000000,13.952829,0.178633,0.205995
265694.000000,13.805301,0.181813,0.206353
263399.000000,13.698606,0.181813,0.203766
261039.000000,13.853417,0.181343,0.204156
258711.000000,13.889495,0.181343,0.284499
256294.000000,14.185723,0.178029,0.210043
253719.000000,14.859428,0.178029,0.192260
251110.000000,15.410011,0.165782,0.214430
248386.000000,16.105930,0.165782,0.216054
245513.000000,16.985786,0.150004,0.216982
242520.000000,17.866236,0.150004,0.006023
239373.000000,18.837753,0.131446,0.047260
236127.000000,19.685087,0.131446,0.101330
232847.000000,20.223671,0.117534,0.180631
229488.000000,20.681709,0.117534,0.111171
226150.000000,20.804998,0.111663,0.119026
222863.000000,20.608034,0.111663,0.109238
219569.000000,20.396757,0.115692,0.098237
216323.000000,20.050924,0.115692,0.121744
213112.000000,19.676010,0.122852,0.097078
209749.000000,19.849209,0.122852,0.062358
206664.000000,19.149008,0.128081,0.061016
203647.000000,18.460270,0.128081,0.196385
200583.000000,18.201769,0.137521,0.342800
197644.000000,17.669538,0.137521,0.012848
194760.000000,17.201958,0.147497,0.164599
191889.000000,16.914328,0.147497,0.082263
