dbg_id_a,dbg_iq_a,omega_diff,omega_pll
0.041627,0.374076,391.883850,399.226685
-0.087425,0.395333,399.131775,400.232544
0.146051,0.548089,396.432892,401.511475
0.093503,0.248854,401.411072,401.872986
-0.100383,0.360073,395.717621,402.369934
-0.084459,0.246893,391.521454,402.184326
0.090367,0.092813,395.898834,401.760315
0.233210,0.205969,397.872925,401.383911
-0.023740,0.145111,385.351196,400.143066
-0.234746,0.057470,394.878387,399.798767
-0.069357,0.414375,396.738068,400.519592
-0.084813,0.313575,386.734009,399.980408
0.058016,0.359981,393.924713,399.272217
-0.031830,0.516241,396.494873,399.243622
0.020211,0.390991,387.573242,399.031555
0.092636,0.126268,394.339569,398.969116
0.242831,0.485114,400.271423,399.463715
-0.276060,0.492563,392.127045,399.658020
0.146460,0.528189,400.571838,400.191101
0.047907,0.415850,399.193787,401.601288
-0.242413,0.242278,394.821167,401.137054
0.235556,0.054056,399.613403,400.479523
0.000199,0.360622,402.491089,401.236176
0.117731,0.196823,390.746613,399.663055
0.089649,0.256635,401.170258,399.160461
-0.003203,0.517212,398.955353,398.991669
-0.147305,0.207759,391.523834,398.286438
0.368239,0.613879,402.370697,398.136597
0.030610,0.630809,403.209930,399.414612
-0.189301,0.458678,385.053162,399.074036
0.087253,0.426772,401.951080,399.616180
0.059455,0.710435,399.793762,400.465118
-0.269798,0.482834,397.214905,399.721649
0.077195,0.399482,403.327942,400.461304
0.092261,0.413411,407.705322,401.850800
-0.160611,0.255985,399.971008,401.898254
-0.004635,0.235548,405.902863,401.896179
0.035937,0.204029,407.943726,402.903198
0.131948,0.268286,393.733978,401.537598
0.017260,0.124557,401.954651,401.155060
-0.117231,0.011529,402.193085,400.543243
-0.265389,0.347285,397.872925,399.439636
0.155328,0.431594,404.167175,399.299103
0.132088,0.408429,406.446472,399.663849
-0.118810,0.415605,397.753723,398.835968
-0.179485,0.380720,409.021393,399.231995
0.132689,0.469967,404.706024,399.494598
-0.092244,0.457860,399.913788,399.081482
0.328668,0.195347,408.062958,398.994171
0.093230,0.514427,410.218262,400.496033
-0.120164,0.489413,406.146057,400.710632
0.048885,0.347216,406.203278,401.714539
0.112386,0.278213,405.364044,401.673187
-0.056091,0.154792,394.940399,400.692993
0.065643,0.252548,406.026855,400.232971
-0.006347,0.653617,404.288788,399.377197
-0.007284,0.335513,404.768005,398.553131
0.073415,0.370028,419.027802,399.594452
0.018136,0.450882,400.812622,399.263794
-0.102394,0.538470,398.895752,398.444092
0.182217,0.687363,408.182159,398.981232
0.055795,0.512317,403.568756,399.197571
-0.105417,0.474451,400.392883,398.833313
0.006847,0.493877,409.975067,399.876068
-0.013490,0.654249,402.784363,400.155762
-0.022030,0.278002,405.845642,400.359955
0.127028,0.265231,409.021393,402.180481
-0.101980,0.350075,403.871552,402.223755
-0.059485,0.282915,403.985992,401.786652
0.053360,0.078666,411.605835,402.227905
0.276971,0.067879,403.871552,401.645935
-0.026740,0.304213,405.731201,399.906372
0.066132,0.242643,413.341522,400.075073
0.003507,0.327791,402.069092,399.776459
-0.086354,0.281117,397.515320,398.889221
0.106834,0.268637,406.866089,399.475922
-0.008122,0.469746,403.151520,399.359955
0.058851,0.247789,409.145355,399.118164
0.118519,0.302450,411.357880,399.705597
0.016634,0.498846,402.913116,399.808258
-0.048528,0.509902,410.699860,400.093048
0.396823,0.395625,409.860626,401.021454
-0.042404,0.381675,397.520081,400.801727
0.003847,0.242980,402.727142,400.154694
0.131713,0.155821,409.202576,400.852570
-0.058691,0.432002,401.470673,400.235596
0.128579,0.248764,405.845642,398.791138
0.173134,0.454137,404.167175,398.543152
0.177918,0.495525,400.753021,398.120087
-0.101516,0.398888,403.568756,397.628235
0.050783,0.491307,411.238678,398.436646
-0.014447,0.628569,397.337677,398.859009
-0.101936,0.489593,410.999084,399.498962
0.023589,0.435332,409.381104,400.207123
0.157734,0.763601,397.097321,400.124359
-0.332208,0.544575,402.851105,399.968597
0.150481,0.252664,410.938263,401.223389
-0.024220,0.366032,400.514618,401.284119
-0.079124,0.206075,412.082672,401.959106
-0.300108,0.264564,414.409637,402.602783
-0.042255,0.356331,397.510529,402.238892
-0.139881,0.010869,404.415131,401.178986
0.140433,-0.024669,406.026855,400.525818
