omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
369.720428,0.285968,0.286502,1.000000
369.298126,0.320750,0.294541,1.000000
367.280640,0.295221,0.303136,1.000000
367.374847,0.362950,0.312202,1.000000
369.274292,0.300056,0.321648,1.000000
368.943176,0.682324,0.331379,1.000000
368.047028,0.328912,0.341297,1.000000
368.469147,0.280151,0.351303,1.000000
369.802429,0.227574,0.361298,1.000000
369.979675,0.251840,0.371180,1.000000
369.658478,0.453522,0.380850,1.000000
367.279083,0.430746,0.390212,1.000000
368.444580,0.421894,0.399171,1.000000
369.799286,0.412025,0.407638,1.000000
371.483643,0.373330,0.415527,1.000000
369.985199,0.255747,0.422758,1.000000
369.761810,0.383694,0.429259,1.000000
370.064270,0.269606,0.434965,1.000000
369.649597,0.546486,0.439818,1.000000
367.671844,0.434225,0.443768,1.000000
368.969788,0.456276,0.446777,1.000000
370.385406,0.444341,0.448812,1.000000
371.282349,0.453228,0.449854,1.000000
371.067535,0.508851,0.449892,1.000000
370.190277,0.407587,0.448926,1.000000
370.548859,0.465880,0.446963,1.000000
370.775482,0.570332,0.444025,1.000000
369.874084,0.355515,0.440140,1.000000
368.919891,0.525031,0.435347,1.000000
371.276520,0.105442,0.429695,1.000000
373.549835,0.392017,0.423239,1.000000
373.049072,0.498143,0.416045,1.000000
370.939606,0.418379,0.408184,1.000000
371.382813,0.230442,0.399737,1.000000
372.475159,0.374533,0.390787,1.000000
371.527466,0.404485,0.381425,1.000000
369.692047,0.461337,0.371746,1.000000
371.008545,0.324008,0.361846,1.000000
372.380188,0.388586,0.351826,1.000000
371.608093,0.424075,0.341787,1.000000
370.142761,0.355207,0.331829,1.000000
370.632294,0.522370,0.322054,1.000000
371.007172,0.258413,0.312560,1.000000
371.915894,0.268824,0.303443,1.000000
370.455109,0.391701,0.294795,1.000000
369.788666,0.278402,0.286704,1.000000
371.905090,0.179999,0.279252,1.000000
372.612213,0.338617,0.272514,1.000000
371.189270,0.509315,0.266559,1.000000
371.105530,0.142293,0.261446,1.000000
373.558075,0.185884,0.257228,1.000000
374.143646,0.533455,0.253948,1.000000
372.082703,0.286073,0.251639,1.000000
369.670990,0.494637,0.250325,1.000000
369.486267,0.285183,0.250020,1.000000
369.786102,0.538126,0.250726,1.000000
369.950378,0.200731,0.252438,1.000000
369.177917,0.147018,0.255137,1.000000
369.366028,0.144692,0.258797,1.000000
370.499115,0.250916,0.263381,1.000000
370.077728,0.389289,0.268844,1.000000
367.765411,0.485394,0.275129,1.000000
367.925140,0.350144,0.282173,1.000000
370.737335,0.154246,0.289906,1.000000
371.206360,0.307775,0.298249,1.000000
370.347260,0.481535,0.307117,1.000000
