omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep_active
257.634613,0.267221,0.300000,0.000000
256.559357,0.323805,0.300000,0.000000
255.963898,0.356644,0.300000,0.000000
257.076172,0.327573,0.300000,0.000000
257.676331,0.281810,0.300000,0.000000
256.848022,0.377993,0.300000,0.000000
257.391144,0.327646,0.300000,0.000000
259.201477,0.244692,0.300000,0.000000
258.993134,0.427295,0.300000,0.000000
256.915741,0.379627,0.300000,0.000000
256.401093,0.232829,0.300000,0.000000
254.678635,0.268488,0.300000,0.000000
255.611145,0.632767,0.300000,0.000000
256.498718,0.341510,0.300000,0.000000
257.347290,0.271595,0.300000,0.000000
255.768860,0.215109,0.300000,0.000000
256.267914,0.190705,0.300000,0.000000
255.886078,0.334693,0.300000,0.000000
255.945694,0.468008,0.300000,0.000000
256.695038,0.122227,0.300000,0.000000
257.967010,0.314307,0.300000,0.000000
257.714874,0.285837,0.300000,0.000000
256.502808,0.293003,0.300000,0.000000
256.730011,0.340243,0.300000,0.000000
257.465942,0.296023,0.300000,0.000000
255.039063,0.355228,0.300000,0.000000
255.982391,0.381342,0.300000,0.000000
258.793488,0.432194,0.300000,0.000000
257.880737,0.274316,0.300000,0.000000
257.497589,0.141419,0.300000,0.000000
259.122223,0.246356,0.300000,0.000000
257.653748,0.283915,0.300000,0.000000
255.447647,0.235587,0.300000,0.000000
255.699127,0.316726,0.300000,0.000000
258.263580,0.203719,0.300000,0.000000
257.625031,0.264622,0.300000,0.000000
255.445084,0.119746,0.300000,0.000000
255.735291,0.364617,0.300000,0.000000
257.187164,0.303248,0.300000,0.000000
255.963470,0.310148,0.300000,0.000000
254.839722,0.333582,0.300000,0.000000
257.366821,0.317100,0.300000,0.000000
258.667938,0.253452,0.300000,0.000000
257.244141,0.234296,0.300000,0.000000
255.977066,0.624105,0.300000,0.000000
257.293457,0.318707,0.300000,0.000000
255.932709,0.274680,0.300000,0.000000
254.879333,0.273203,0.300000,0.000000
256.669250,0.136550,0.300000,0.000000
258.275726,0.269847,0.300000,0.000000
257.262543,0.268131,0.300000,0.000000
257.516327,0.288042,0.300000,0.000000
257.481537,0.255718,0.300000,0.000000
257.739624,0.285903,0.300000,0.000000
257.223419,0.315520,0.300000,0.000000
257.642975,0.073226,0.300000,0.000000
258.244446,0.248897,0.300000,0.000000
259.018250,0.122772,0.300000,0.000000
257.448975,0.218527,0.300000,0.000000
256.228485,0.306248,0.300000,0.000000
255.673126,0.268558,0.300000,0.000000
255.036255,0.364762,0.300000,0.000000
257.059570,0.246691,0.300000,0.000000
257.778442,0.264470,0.300000,0.000000
257.258545,0.264861,0.300000,0.000000
257.685059,0.206531,0.300000,0.000000
256.275024,0.246211,0.300000,0.000000
254.694565,0.173819,0.300000,0.000000
255.691879,0.260780,0.300000,0.000000
256.580353,0.438783,0.300000,0.000000
256.471039,0.249519,0.300000,0.000000
255.911377,0.368767,0.300000,0.000000
257.088074,0.422066,0.300000,0.000000
257.340302,0.267645,0.300000,0.000000
255.006287,0.255745,0.300000,0.000000
255.211288,0.323422,0.300000,0.000000
257.628296,0.382697,0.300000,0.000000
257.464325,0.264003,0.300000,0.000000
256.870758,0.556873,0.300000,0.000000
257.581940,0.381348,0.300000,0.000000
257.195526,0.281118,0.300000,0.000000
255.055389,0.235130,0.300000,0.000000
255.335709,0.244476,0.300000,0.000000
257.835693,0.378256,0.300000,0.000000
256.504181,0.279519,0.300000,0.000000
256.166748,0.460490,0.300000,0.000000
255.722549,0.259065,0.300000,0.000000
256.848267,0.283851,0.300000,0.000000
254.389206,0.266275,0.300000,0.000000
253.861618,0.272714,0.300000,0.000000
256.162109,0.278065,0.300000,0.000000
257.700104,0.264622,0.300000,0.000000
256.843964,0.379954,0.300000,0.000000
255.934402,0.130836,0.300000,0.000000
256.476563,0.241628,0.300000,0.000000
255.718903,0.225063,0.300000,0.000000
254.466354,0.299566,0.300000,0.000000
255.984924,0.344707,0.300000,0.000000
257.565155,0.219468,0.300000,0.000000
257.726471,0.396782,0.300000,0.000000
256.933228,0.311631,0.300000,0.000000
256.647522,0.312252,0.300000,0.000000
257.114258,0.338159,0.300000,0.000000
257.130737,0.483317,0.300000,0.000000
257.671478,0.206121,0.300000,0.000000
257.797516,0.294667,0.300000,0.000000
258.409424,0.708989,0.300000,0.000000
257.252136,0.496292,0.300000,0.000000
256.114502,0.306587,0.300000,0.000000
255.548584,0.362316,0.300000,0.000000
255.609482,0.197172,0.300000,0.000000
256.408661,0.268640,0.300000,0.000000
256.895935,0.246039,0.300000,0.000000
255.700943,0.337406,0.300000,0.000000
256.976013,0.514089,0.300000,0.000000
256.261261,0.289480,0.300000,0.000000
255.015137,0.023471,0.300000,0.000000
256.332306,0.403513,0.300000,0.000000
257.035278,0.505405,0.300000,0.000000
256.917114,0.263238,0.300000,0.000000
255.497040,0.325947,0.300000,0.000000
257.136810,0.508789,0.300000,0.000000
257.104675,0.222438,0.300000,0.000000
254.636795,0.342757,0.300000,0.000000
255.635483,0.272688,0.300000,0.000000
257.835968,0.302837,0.300000,0.000000
256.782806,0.264058,0.300000,0.000000
256.401642,0.249344,0.300000,0.000000
256.971405,0.363732,0.300000,0.000000
257.337372,0.280503,0.300000,0.000000
255.414230,0.270874,0.300000,0.000000
255.558884,0.227627,0.300000,0.000000
257.578308,0.323625,0.300000,0.000000
256.181335,0.231857,0.300000,0.000000
255.302200,0.353791,0.300000,0.000000
255.170074,0.224107,0.300000,0.000000
256.176605,0.312150,0.300000,0.000000
254.391510,0.227502,0.300000,0.000000
253.571762,0.107929,0.300000,0.000000
255.820648,0.263215,0.300000,0.000000
257.537872,0.218962,0.300000,0.000000
256.763641,0.368893,0.300000,0.000000
256.382874,0.707496,0.300000,0.000000
256.647003,0.302683,0.300000,0.000000
255.848328,0.344307,0.300000,0.000000
254.148972,0.311341,0.300000,0.000000
256.449982,0.141746,0.300000,0.000000
257.156677,0.250184,0.300000,0.000000
256.632813,0.369198,0.300000,0.000000
256.752869,0.429113,0.300000,0.000000
256.164215,0.260939,0.300000,0.000000
257.512054,0.250561,0.300000,0.000000
257.083435,0.177849,0.300000,0.000000
257.083710,0.204056,0.300000,0.000000
257.585510,0.248948,0.300000,0.000000
258.216125,0.399239,0.300000,0.000000
257.233673,0.567242,0.300000,0.000000
255.902222,0.274252,0.300000,0.000000
255.360199,0.253158,0.300000,0.000000
254.985443,0.207856,0.300000,0.000000
256.201996,0.221007,0.300000,0.000000
256.848450,0.326596,0.300000,0.000000
256.404755,0.385565,0.300000,0.000000
257.266998,0.288697,0.300000,0.000000
255.766525,0.266863,0.300000,0.000000
254.917709,0.268460,0.300000,0.000000
256.100067,0.102885,0.300000,0.000000
256.410950,0.248601,0.300000,0.000000
256.477478,0.295809,0.300000,0.000000
255.903259,0.410774,0.300000,0.000000
256.985870,0.341277,0.300000,0.000000
257.363403,0.338427,0.300000,0.000000
254.521515,0.103753,0.300000,0.000000
254.995636,0.498523,0.300000,0.000000
257.812927,0.229555,0.300000,0.000000
257.521179,0.264403,0.300000,0.000000
256.848236,0.382789,0.300000,0.000000
258.581848,0.399070,0.300000,0.000000
257.745636,0.249592,0.300000,0.000000
255.108414,0.204265,0.300000,0.000000
255.478012,0.466107,0.300000,0.000000
257.783600,0.360735,0.300000,0.000000
256.495941,0.215899,0.300000,0.000000
254.833099,0.357328,0.300000,0.000000
255.272583,0.259012,0.300000,0.000000
256.581421,0.276644,0.300000,0.000000
255.039200,0.342278,0.300000,0.000000
254.184433,0.094990,0.300000,0.000000
256.043579,0.287865,0.300000,0.000000
257.888153,0.280507,0.300000,0.000000
257.565460,0.352188,0.300000,0.000000
