raw21,omega_pll,Iq_ref,dbg_iq_a
1087639.000000,199.480988,0.286269,0.356633
1055022.000000,200.211639,0.286718,0.256227
1022581.000000,200.050720,0.286718,0.292064
990414.000000,199.273804,0.280657,0.335105
955756.000000,201.167831,0.280657,0.296722
922210.000000,199.935272,0.272168,0.334060
887548.000000,200.171661,0.272168,0.278876
855890.000000,200.374817,0.282671,0.170416
824199.000000,200.557968,0.282671,0.388615
793713.000000,200.197891,0.278313,0.528738
764896.000000,199.484955,0.278313,0.331394
733278.000000,199.702087,0.289213,0.321182
702929.000000,198.693710,0.289213,0.318123
668864.000000,200.846115,0.294000,0.172740
635884.000000,199.760971,0.294000,0.316163
601579.000000,199.349213,0.280863,0.354376
566973.000000,200.123596,0.280863,0.227621
533505.000000,199.502625,0.284056,0.025235
498986.000000,199.372879,0.284056,0.357536
466211.000000,199.182556,0.288878,0.434456
430737.000000,199.476990,0.288878,0.257989
396962.000000,198.637299,0.289603,0.332969
362835.000000,199.608673,0.289603,0.229316
330838.000000,199.349808,0.289549,0.281401
300501.000000,198.172577,0.289549,0.339268
267804.000000,200.358994,0.301853,0.230607
236662.000000,199.562119,0.301853,0.376116
201321.000000,199.682709,0.284297,0.375301
165784.000000,200.243439,0.284297,0.257532
128286.000000,199.905975,0.278185,0.305631
91498.000000,199.810349,0.278185,0.235465
57475.000000,200.041672,0.284051,0.380598
23012.000000,199.977509,0.284051,0.175040
2088650.000000,199.020233,0.283021,0.342707
2055029.000000,200.530869,0.283021,0.212643
2022229.000000,200.084457,0.281370,0.383814
1987787.000000,199.556000,0.281370,0.311445
1952806.000000,201.140488,0.290109,0.243085
1920420.000000,200.259674,0.290109,0.272987
1887274.000000,200.944153,0.279357,0.327531
1857415.000000,200.711014,0.279357,0.185805
1826181.000000,200.684662,0.273977,0.275871
1795906.000000,200.257141,0.273977,0.273053
1764284.000000,200.638153,0.280099,0.223327
1730577.000000,200.892288,0.280099,0.262691
1697501.000000,199.599823,0.268696,0.217142
1661748.000000,201.200241,0.268696,0.228351
1628220.000000,200.276962,0.275352,0.291512
1592943.000000,199.993851,0.275352,0.278874
1559303.000000,199.914734,0.282718,0.241452
1525471.000000,199.393539,0.282718,0.249690
1490558.000000,199.407883,0.288849,0.255940
1456924.000000,199.555283,0.288849,0.176613
1422344.000000,199.753586,0.289040,0.297018
1390560.000000,198.918564,0.289040,0.432193
1357877.000000,200.179718,0.291135,0.230318
1326835.000000,200.079697,0.291135,0.308785
1294804.000000,199.304810,0.280832,0.076110
1259835.000000,201.238205,0.280832,0.396895
1225349.000000,200.559814,0.272928,0.271785
1187675.000000,200.223526,0.272928,0.178663
1152418.000000,200.244110,0.281067,0.205607
1116427.000000,200.614044,0.281067,0.558237
1083088.000000,199.862274,0.277723,0.575528
1050949.000000,200.163284,0.277723,0.142459
1018012.000000,200.489532,0.284346,0.295714
986155.000000,198.927856,0.284346,0.260816
951190.000000,200.822662,0.289639,0.215357
917074.000000,200.519638,0.289639,0.271581
883285.000000,199.736267,0.275980,0.221230
851194.000000,200.492081,0.275980,0.205962
820206.000000,200.478561,0.279835,0.322207
789146.000000,200.664795,0.279835,0.080760
760489.000000,199.606506,0.274087,0.297283
728676.000000,200.369400,0.274087,0.286707
697848.000000,199.451263,0.279890,0.260465
663814.000000,201.124130,0.279890,0.267847
629863.000000,200.824112,0.275559,0.559372
596341.000000,199.473495,0.275559,0.278593
561232.000000,200.011749,0.288441,0.179763
527933.000000,199.955368,0.288441,0.217926
493251.000000,199.599152,0.282073,0.279268
460191.000000,198.892593,0.282073,0.390399
425412.000000,198.928970,0.293921,0.298970
390612.000000,198.682632,0.293921,0.325078
357707.000000,198.721161,0.297338,0.471708
325050.000000,199.886948,0.297338,0.337993
295159.000000,198.481506,0.280892,0.314148
262169.000000,200.333969,0.280892,0.223413
230123.000000,200.665359,0.280786,0.245306
194725.000000,200.766708,0.280786,0.242883
158020.000000,201.011307,0.275662,0.149861
121534.000000,200.031219,0.275662,0.286444
84104.000000,200.250687,0.282038,0.264547
50585.000000,199.738785,0.282038,0.207253
16554.000000,199.916138,0.286784,0.194575
2081813.000000,199.162674,0.286784,0.298025
2048614.000000,199.657883,0.285681,0.289897
2014644.000000,200.591354,0.285681,0.155411
1980800.000000,199.590363,0.271463,0.554632
1945257.000000,201.289764,0.271463,0.275821
1913456.000000,200.642914,0.272269,0.257291
1880499.000000,201.196106,0.272269,0.265442
1850124.000000,201.105301,0.269469,0.576267
1819943.000000,200.483917,0.269469,0.241635
1788554.000000,200.439606,0.276291,0.164113
1757283.000000,199.646378,0.276291,0.248403
1722734.000000,200.820313,0.286484,0.243367
1689965.000000,199.202682,0.286484,0.345483
1654461.000000,199.799408,0.286610,0.302212
1620300.000000,199.803558,0.286610,0.249983
1585767.000000,199.006744,0.281309,0.061413
1551561.000000,199.151184,0.281309,0.319689
1518386.000000,199.276016,0.289333,0.399492
1482711.000000,199.836472,0.289333,0.357406
1449039.000000,199.697464,0.279979,0.288679
1414849.000000,200.672897,0.279979,0.257362
1382626.000000,199.801575,0.274551,0.142427
1351076.000000,199.391022,0.274551,0.301781
1318672.000000,200.570892,0.290360,0.176408
1287332.000000,199.154160,0.290360,0.356662
1251775.000000,199.788803,0.287069,0.340811
1217021.000000,199.914581,0.287069,0.362556
1179484.000000,199.728058,0.280644,0.364191
1143560.000000,199.591827,0.280644,0.262662
