raw21,omega_pll,Iq_ref,dbg_iq_a
784957.000000,18.226530,0.189715,0.174309
782215.000000,18.492147,0.191426,0.282321
779539.000000,18.624317,0.191426,0.161043
776907.000000,18.819408,0.187271,0.185870
774177.000000,19.422846,0.187271,0.355055
771422.000000,19.817286,0.178372,0.249521
768517.000000,20.504980,0.178372,0.154613
765534.000000,20.848610,0.167645,0.335824
762358.000000,21.160078,0.167645,0.173170
759021.000000,21.405888,0.158587,0.042348
755579.000000,21.673943,0.158587,0.019287
752180.000000,21.548214,0.157300,0.021012
748695.000000,21.730431,0.157300,0.155130
745322.000000,21.505402,0.157185,0.137289
742011.000000,21.417738,0.157185,0.102946
738762.000000,21.159948,0.161040,0.024828
735542.000000,20.857721,0.161040,0.110755
732379.000000,20.520391,0.166763,0.106770
729241.000000,20.372368,0.166763,0.095055
726093.000000,20.506966,0.170105,0.145277
723052.000000,20.305014,0.170105,0.185784
719904.000000,20.676353,0.169966,0.175466
716765.000000,20.850243,0.169966,0.184475
713609.000000,20.901583,0.164902,0.195656
710402.000000,20.902603,0.164902,0.212855
707048.000000,21.080462,0.162904,0.181647
703579.000000,21.242214,0.162904,0.121565
700037.000000,21.453949,0.161956,0.278467
696439.000000,21.562614,0.161956,0.208741
692834.000000,21.588255,0.158096,0.213536
689087.000000,22.048038,0.158096,0.158616
685403.000000,22.072849,0.152859,-0.019128
681862.000000,21.589838,0.152859,0.295122
678224.000000,21.658478,0.156381,0.140114
674778.000000,21.179802,0.156381,0.216819
671437.000000,20.491615,0.163328,0.344551
668088.000000,19.997005,0.163328,0.027498
664955.000000,19.311966,0.176821,0.167374
661777.000000,18.958311,0.176821,0.134227
658639.000000,18.860056,0.184797,0.225648
655577.000000,18.759119,0.184797,0.204924
652477.000000,18.844656,0.186630,0.112945
649349.000000,18.966455,0.186630,0.172353
646132.000000,19.165022,0.183368,-0.011118
642653.000000,19.866060,0.183368,-0.157121
639214.000000,19.786140,0.176744,0.135883
635672.000000,19.621958,0.176744,0.158308
632210.000000,19.216555,0.180629,0.115753
628778.000000,18.842945,0.180629,0.149071
625452.000000,18.460220,0.186079,0.248211
622157.000000,18.437765,0.186079,0.154712
618927.000000,18.515371,0.189761,0.189426
615766.000000,18.564917,0.189761,0.294480
612614.000000,18.714832,0.188602,0.162748
609530.000000,18.796961,0.188602,0.263506
606363.000000,19.098850,0.183834,0.193072
603177.000000,19.289988,0.183834,0.076344
599868.000000,19.705086,0.179765,0.215127
596436.000000,20.409021,0.179765,0.198147
592833.000000,21.221251,0.167998,0.209774
589080.000000,22.056969,0.167998,0.206394
585175.000000,22.984926,0.149697,0.179316
581199.000000,23.488489,0.149697,0.209844
577162.000000,23.799738,0.138318,0.206158
573096.000000,23.846346,0.138318,0.185848
569067.000000,23.429619,0.136125,0.226918
565074.000000,22.790916,0.136125,0.173100
561145.000000,22.334946,0.147453,0.190111
557093.000000,22.483833,0.147453,0.199142
553184.000000,22.590469,0.149500,0.200014
549400.000000,22.744003,0.149500,0.181726
545645.000000,22.973192,0.145815,0.286126
541880.000000,23.291889,0.145815,0.343757
538122.000000,23.337755,0.139950,0.124277
534300.000000,23.338318,0.139950,0.072921
530464.000000,23.273607,0.141573,0.083205
526644.000000,23.027502,0.141573,0.063623
522735.000000,23.024122,0.142912,0.069097
518884.000000,22.811344,0.142912,0.088856
